osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry
300906310,,Mistelvägen,residential,40,False,True,34.664,,"LINESTRING (14.112318 56.5510821, 14.1128543 56.5509831)"
300906309,,Mistelvägen,residential,40,False,False,92.309,,"LINESTRING (14.112318 56.5510821, 14.1122104 56.5510244, 14.1120757 56.5509594, 14.1119444 56.5509074, 14.111941 56.5508239, 14.1120488 56.5507664, 14.1121565 56.5507627, 14.1122137 56.5508202, 14.1122436 56.5509193, 14.112318 56.5510821)"
300906309,,Mistelvägen,residential,40,False,True,92.309,,"LINESTRING (14.112318 56.5510821, 14.1122436 56.5509193, 14.1122137 56.5508202, 14.1121565 56.5507627, 14.1120488 56.5507664, 14.111941 56.5508239, 14.1119444 56.5509074, 14.1120757 56.5509594, 14.1122104 56.5510244, 14.112318 56.5510821)"
300906309,,Mistelvägen,residential,40,False,False,88.496,,"LINESTRING (14.112318 56.5510821, 14.1123995 56.551376, 14.112378 56.5516895, 14.1123351 56.5518728)"
300906330,,Maskrosvägen,residential,40,False,False,18.59,,"LINESTRING (14.1218298 56.5513938, 14.1216081 56.5512797)"
300906327,,Primulavägen,residential,40,False,True,153.293,,"LINESTRING (14.1218298 56.5513938, 14.1222346 56.5513604, 14.1224418 56.5513191, 14.122571 56.5512933, 14.1226461 56.5511632, 14.1227079 56.550898, 14.1226845 56.5508161, 14.1225919 56.5507477, 14.1222874 56.5505521, 14.1221433 56.5504544)"
300906330,,Maskrosvägen,residential,40,False,True,117.173,,"LINESTRING (14.1218298 56.5513938, 14.1222604 56.5518555, 14.1224134 56.5519936, 14.1229027 56.552251)"
394649817,,Blomstervägen,residential,40,False,True,38.53,,"LINESTRING (14.1178574 56.5467146, 14.1177747 56.5463711)"
394649817,,Blomstervägen,residential,40,False,False,62.13300000000001,,"LINESTRING (14.1178574 56.5467146, 14.1179317 56.546825, 14.1179314 56.546856, 14.1179096 56.5468846, 14.1178696 56.5469064, 14.1178175 56.5469181, 14.1177612 56.5469179, 14.1177094 56.5469059, 14.1176698 56.5468839, 14.1176486 56.5468551, 14.1176489 56.5468241, 14.1176707 56.5467956, 14.1178574 56.5467146)"
394649817,,Blomstervägen,residential,40,False,True,62.13300000000001,,"LINESTRING (14.1178574 56.5467146, 14.1176707 56.5467956, 14.1176489 56.5468241, 14.1176486 56.5468551, 14.1176698 56.5468839, 14.1177094 56.5469059, 14.1177612 56.5469179, 14.1178175 56.5469181, 14.1178696 56.5469064, 14.1179096 56.5468846, 14.1179314 56.546856, 14.1179317 56.546825, 14.1178574 56.5467146)"
70376149,,Furugatan,residential,40,False,False,71.027,,"LINESTRING (14.1153989 56.547916, 14.115196 56.5479253, 14.1151216 56.5479286, 14.1150633 56.5479189, 14.1150162 56.5478977, 14.1149874 56.5478682, 14.1149812 56.5478348, 14.1149987 56.5478027, 14.1150372 56.5477767, 14.1150908 56.5477608, 14.1151514 56.5477574, 14.1152097 56.547767, 14.1152568 56.5477883, 14.1152856 56.5478178, 14.1153989 56.547916)"
70376149,,Furugatan,residential,40,False,True,71.02699999999999,,"LINESTRING (14.1153989 56.547916, 14.1152856 56.5478178, 14.1152568 56.5477883, 14.1152097 56.547767, 14.1151514 56.5477574, 14.1150908 56.5477608, 14.1150372 56.5477767, 14.1149987 56.5478027, 14.1149812 56.5478348, 14.1149874 56.5478682, 14.1150162 56.5478977, 14.1150633 56.5479189, 14.1151216 56.5479286, 14.115196 56.5479253, 14.1153989 56.547916)"
70376149,,Furugatan,residential,40,False,True,14.629,,"LINESTRING (14.1153989 56.547916, 14.1154978 56.5479115, 14.115637 56.5479071)"
394649823,,,residential,40,False,True,16.531,,"LINESTRING (14.1194924 56.5508904, 14.1194593 56.5509615, 14.1194325 56.5510353)"
"[300906305, 1135414035]",,Delaryvägen,unclassified,40,False,False,488.807,,"LINESTRING (14.1159069 56.5544393, 14.1162674 56.5543262, 14.1174828 56.5539537, 14.1176727 56.5538525, 14.1180402 56.5536567, 14.1187598 56.5534504, 14.1194894 56.5534829, 14.1200151 56.5535065, 14.1204984 56.5534385, 14.1211384 56.5533755, 14.1217687 56.553408, 14.1233089 56.5534549)"
552165985,,,residential,,False,True,98.37200000000001,,"LINESTRING (14.123596 56.551844, 14.1236403 56.55187, 14.1237113 56.5519091, 14.1238413 56.5519613, 14.1239004 56.5519971, 14.1239329 56.5520395, 14.1238827 56.5520688, 14.1237999 56.5520818, 14.1235249 56.5521406, 14.1229027 56.552251)"
300906307,,Mistelvägen,residential,40,False,False,69.592,,"LINESTRING (14.113683 56.5520064, 14.1137443 56.5520509, 14.1138454 56.552072, 14.114051 56.5520835, 14.1141068 56.5520528, 14.1141417 56.5520067, 14.1140963 56.551951, 14.1139953 56.5519414, 14.1138321 56.5519627, 14.113683 56.5520064)"
