osmid,highway,oneway,reversed,length,bridge,geometry,ref,name
727330987,residential,False,False,94.496,,"LINESTRING (31.9533119 41.2191247, 31.9533142 41.2191566, 31.9532526 41.2192938, 31.9530863 41.2194108, 31.9528288 41.2194451, 31.9524273 41.2194884)",,
727330987,residential,False,True,20.791,,"LINESTRING (31.9533119 41.2191247, 31.9533008 41.218971, 31.9532716 41.2189463)",,
727330987,residential,False,True,94.49600000000001,,"LINESTRING (31.9524273 41.2194884, 31.9528288 41.2194451, 31.9530863 41.2194108, 31.9532526 41.2192938, 31.9533142 41.2191566, 31.9533119 41.2191247)",,
1093525719,trunk,True,False,277.773,,"LINESTRING (31.9524273 41.2194884, 31.9526225 41.2200414, 31.9529072 41.2204541, 31.9532788 41.2207766, 31.9537281 41.2209936, 31.954171 41.221157, 31.9544656 41.2212959)",D750,Devrek - Ankara Yolu
727330987,residential,False,False,55.96,,"LINESTRING (31.9528263 41.2185707, 31.9532716 41.2189463)",,
727330989,residential,False,False,15.613,,"LINESTRING (31.9528263 41.2185707, 31.9529816 41.2184928)",,
727330989,residential,False,True,62.36,,"LINESTRING (31.9528263 41.2185707, 31.9527402 41.2186139, 31.9523996 41.2186603, 31.9521671 41.218798)",,
727330988,residential,False,True,82.432,,"LINESTRING (31.9533248 41.2183588, 31.9527169 41.2177753)",,
727330989,residential,False,False,75.294,,"LINESTRING (31.9533248 41.2183588, 31.9537106 41.217747)",,
727330988,residential,False,False,32.983,,"LINESTRING (31.9533248 41.2183588, 31.9534376 41.2184444, 31.9535731 41.2185231, 31.9536225 41.2185524)",,
727330989,residential,False,True,33.545,,"LINESTRING (31.9533248 41.2183588, 31.9531627 41.2183778, 31.9529816 41.2184928)",,
727330988,residential,False,False,82.432,,"LINESTRING (31.9527169 41.2177753, 31.9533248 41.2183588)",,
727330991,residential,False,False,50.566,,"LINESTRING (31.9527169 41.2177753, 31.9527376 41.2177604, 31.9529012 41.2176232, 31.9531269 41.2174412)",,
727330991,residential,False,True,38.239999999999995,,"LINESTRING (31.9527169 41.2177753, 31.9525498 41.2178956, 31.9523835 41.2180106)",,
494975847,residential,False,False,59.496,,"LINESTRING (31.9537106 41.217747, 31.9531269 41.2174412)",,
494975847,residential,False,True,30.437,,"LINESTRING (31.9537106 41.217747, 31.9540045 41.2179084)",,
727330989,residential,False,True,75.294,,"LINESTRING (31.9537106 41.217747, 31.9533248 41.2183588)",,
727330989,residential,False,False,62.36,,"LINESTRING (31.9521671 41.218798, 31.9523996 41.2186603, 31.9527402 41.2186139, 31.9528263 41.2185707)",,
