osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
25597626,M 2101,Sibbhultsvägen,tertiary,40,False,True,50.852,"LINESTRING (14.0857897 56.2555427, 14.0853799 56.2556027, 14.0851976 56.2556389, 14.0850827 56.2556673, 14.0850095 56.2556854)",
25597626,M 2101,Sibbhultsvägen,tertiary,40,False,False,50.852,"LINESTRING (14.0850095 56.2556854, 14.0850827 56.2556673, 14.0851976 56.2556389, 14.0853799 56.2556027, 14.0857897 56.2555427)",
25634430,M 2113,Brogatan,tertiary,40,False,True,41.593,"LINESTRING (14.0850095 56.2556854, 14.0849114 56.2557098, 14.0843848 56.2558249)",
"[300561904, 26567132, 26567133]",119,Glimåkravägen,secondary,40,False,False,321.147,"LINESTRING (14.0850095 56.2556854, 14.0846355 56.2555184, 14.0844292 56.2554263, 14.0842327 56.2553425, 14.0841882 56.2553257, 14.0836347 56.2551035, 14.0831444 56.2549199, 14.0825238 56.2547016, 14.081701 56.2544856, 14.0812402 56.2543747, 14.0805549 56.2542316)",yes
"[39789277, 40117134]",M 2115,Storgatan,tertiary,"['40', '30']",False,True,121.01399999999998,"LINESTRING (14.0740526 56.2584776, 14.0747054 56.2579934, 14.0750959 56.2577038, 14.0752229 56.2576048)",
40117159,M 2500,Västergatan,tertiary,40,False,False,169.98300000000003,"LINESTRING (14.0740526 56.2584776, 14.0738941 56.2584196, 14.0738233 56.2583824, 14.0737341 56.2583112, 14.0733587 56.257892, 14.0730274 56.2575455, 14.0729697 56.2574747, 14.0729168 56.2573972, 14.0728269 56.2572331, 14.0727833 56.2571467)",
39799623,,Kristianstadsvägen,residential,30,False,False,70.058,"LINESTRING (14.0797314 56.2530979, 14.0797416 56.2530422, 14.0797931 56.2527601, 14.0798205 56.252644, 14.0798458 56.2525726, 14.0798907 56.2524751)",
39799623,,Kristianstadsvägen,residential,30,False,True,107.61800000000001,"LINESTRING (14.0797314 56.2530979, 14.0796827 56.253689, 14.0796779 56.253747, 14.0796347 56.25401, 14.0796108 56.2540623)",
39799641,,Mejerigatan,residential,30,False,False,51.481,"LINESTRING (14.0797314 56.2530979, 14.0803118 56.2531468, 14.0805554 56.2531673)",
39799623,,Kristianstadsvägen,residential,30,False,True,70.05799999999999,"LINESTRING (14.0798907 56.2524751, 14.0798458 56.2525726, 14.0798205 56.252644, 14.0797931 56.2527601, 14.0797416 56.2530422, 14.0797314 56.2530979)",
39799629,,Röingevägen,residential,30,False,False,38.304,"LINESTRING (14.0798907 56.2524751, 14.0796736 56.2524376, 14.0794723 56.2524213, 14.0792835 56.2524136)",
39799627,,Sandgatan,residential,30,False,False,209.115,"LINESTRING (14.0787398 56.2505574, 14.0792835 56.2524136)",
39799634,,Verkstadsgatan,residential,30,False,False,71.643,"LINESTRING (14.0787398 56.2505574, 14.0776773 56.2506244, 14.0775878 56.2506315)",
39799627,,Sandgatan,residential,30,False,True,209.115,"LINESTRING (14.0792835 56.2524136, 14.0787398 56.2505574)",
39799629,,Röingevägen,residential,30,False,False,85.717,"LINESTRING (14.0792835 56.2524136, 14.0784993 56.2524317, 14.0779805 56.2524436, 14.077897 56.2524435)",
39799629,,Röingevägen,residential,30,False,True,38.304,"LINESTRING (14.0792835 56.2524136, 14.0794723 56.2524213, 14.0796736 56.2524376, 14.0798907 56.2524751)",
39799616,M 2115,Köpmannagatan,tertiary,40,False,False,152.278,"LINESTRING (14.077897 56.2524435, 14.0780398 56.2534119, 14.0780982 56.2538084)",
