osmid,highway,oneway,reversed,length,ref,junction,geometry,name
559324420,unclassified,False,True,69.394,,,"LINESTRING (9.7772233 7.8712752, 9.7767201 7.8712063, 9.7766056 7.8711645)",
185860489,residential,False,False,144.866,,,"LINESTRING (9.7760067 7.871525, 9.7747699 7.8719681)",
558733011,residential,False,False,57.849,,,"LINESTRING (9.7760067 7.871525, 9.7760872 7.8710109)",
558733011,residential,False,True,155.946,,,"LINESTRING (9.7760067 7.871525, 9.7757467 7.8729036)",
185860489,residential,False,True,77.48100000000001,,,"LINESTRING (9.7760067 7.871525, 9.7765445 7.8712242, 9.7766056 7.8711645)",
185860488,residential,False,False,144.359,,,"LINESTRING (9.7792358 7.8717226, 9.779492 7.8704494)",
559324420,unclassified,False,True,121.31,,,"LINESTRING (9.7792358 7.8717226, 9.7781678 7.8714562)",
185860488,residential,False,True,133.92000000000002,,,"LINESTRING (9.7792358 7.8717226, 9.7790905 7.8725198, 9.7790708 7.8729136)",
559324420,unclassified,False,False,73.232,,,"LINESTRING (9.7792358 7.8717226, 9.7794715 7.8717491, 9.7798899 7.8718367)",
559324420,unclassified,False,True,45.194,,,"LINESTRING (9.7812223 7.8720979, 9.7808198 7.872019)",
181916655,primary,False,False,63.461,F242,,"LINESTRING (9.7812223 7.8720979, 9.7811354 7.8722714, 9.7809364 7.8725928)",Takum - Bukuru Federal Road
181916655,primary,False,True,156.343,F242,,"LINESTRING (9.7812223 7.8720979, 9.7814149 7.8717132, 9.7815182 7.8713426, 9.7816273 7.8707604)",Takum - Bukuru Federal Road
181916657,unclassified,False,False,71.539,,,"LINESTRING (9.7739724 7.8728818, 9.7742353 7.8734701)",
185860487,residential,False,False,93.753,,,"LINESTRING (9.7739724 7.8728818, 9.7748235 7.8728923)",
181916657,unclassified,False,True,72.10499999999999,,,"LINESTRING (9.7739724 7.8728818, 9.7739211 7.8727637, 9.7737443 7.8722742)",
185860487,residential,False,False,132.895,,,"LINESTRING (9.7757467 7.8729036, 9.7769532 7.8729115)",
185860487,residential,False,True,101.695,,,"LINESTRING (9.7757467 7.8729036, 9.7748235 7.8728923)",
558733005,residential,False,True,88.932,,,"LINESTRING (9.7757467 7.8729036, 9.7755871 7.8736876)",
558733011,residential,False,False,155.946,,,"LINESTRING (9.7757467 7.8729036, 9.7760067 7.871525)",
185860487,residential,False,True,138.465,,,"LINESTRING (9.7790708 7.8729136, 9.7778138 7.872929)",
185860488,residential,False,True,82.318,,,"LINESTRING (9.7790708 7.8729136, 9.7791184 7.8736524)",
185860487,residential,False,False,129.585,,,"LINESTRING (9.7790708 7.8729136, 9.7801532 7.8729604, 9.7802447 7.8729771)",
185860488,residential,False,False,133.92000000000002,,,"LINESTRING (9.7790708 7.8729136, 9.7790905 7.8725198, 9.7792358 7.8717226)",
