osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,bridge,maxspeed
5068757,Mt Bernard Avenue,secondary,False,True,8.018,,"LINESTRING (-57.9503395 48.9513858, -57.9503052 48.9513173)",,,
"[143744452, 143744453]",Mt Bernard Avenue,secondary,False,False,39.233000000000004,,"LINESTRING (-57.9503395 48.9513858, -57.9504255 48.9515857, -57.9504889 48.9517247)",,,
577362748,,secondary_link,True,False,52.17100000000001,,"LINESTRING (-57.9503395 48.9513858, -57.9503164 48.9514811, -57.9502962 48.9515289, -57.9502706 48.9515715, -57.9502186 48.951615, -57.9501536 48.9516508, -57.9499404 48.9517405)",,,
5068756,Park Street,tertiary,True,False,189.801,,"LINESTRING (-57.9458352 48.9521245, -57.9456758 48.9519553, -57.9454418 48.9517691, -57.9453731 48.9517028, -57.9451692 48.9515456, -57.9450703 48.951494, -57.9450297 48.9514766, -57.94496 48.9514468, -57.9447664 48.9513926, -57.9445389 48.9513567, -57.944104 48.9512983, -57.9437659 48.9512507)",,,
364712326,,trunk_link,True,False,104.06,,"LINESTRING (-57.9462139 48.9544349, -57.9462116 48.9545933, -57.9462017 48.9546812, -57.9461801 48.9547617, -57.9461401 48.9548539, -57.9461112 48.9549032, -57.9460573 48.9549721, -57.9459245 48.9550998, -57.9457133 48.9552792)",,,
479525330,Lewin Parkway,trunk,True,False,166.358,,"LINESTRING (-57.9462139 48.9544349, -57.9463148 48.9543622, -57.9464256 48.9542904, -57.9465703 48.9542064, -57.9467252 48.9541315, -57.9469395 48.9540381, -57.9471695 48.9539572, -57.9473903 48.9538864, -57.9476218 48.9538253, -57.9481589 48.9536923)",450-1,,
492827318,Bell's Hill,unclassified,False,False,143.859,,"LINESTRING (-57.9503416 48.9487992, -57.9501138 48.948942, -57.9499779 48.9490163, -57.9499088 48.9490488, -57.9498356 48.9490794, -57.9497723 48.9490975, -57.9497037 48.9491146, -57.9496845 48.9491184, -57.9496074 48.9491332, -57.9495302 48.9491459, -57.9494577 48.9491543, -57.949324 48.9491478, -57.9492129 48.9491331, -57.949138 48.9491199, -57.9490707 48.9491021, -57.9489393 48.9490591, -57.9486795 48.948986, -57.9486024 48.9489649)",,,
128334600,Lewin Parkway,trunk,True,False,212.49399999999997,,"LINESTRING (-57.9487837 48.9534374, -57.9479168 48.953648, -57.9474835 48.9537548, -57.9470684 48.9538804, -57.9468655 48.9539549, -57.9466723 48.9540343, -57.9465448 48.9540963, -57.9464312 48.9541588, -57.9462068 48.9542883)",450-1,,
128323275,Mill Road,tertiary,False,True,38.776,,"LINESTRING (-57.9489676 48.953018, -57.9491388 48.9533481)",,,
479525322,Mill Road,tertiary,False,False,111.327,,"LINESTRING (-57.9489676 48.953018, -57.9483143 48.9521813, -57.948262 48.952131)",,,
479525325,,trunk_link,True,False,49.596000000000004,,"LINESTRING (-57.9489676 48.953018, -57.9489229 48.9532802, -57.9488532 48.9533701, -57.9487837 48.9534374)",,,
128361841,Main Street,secondary,False,False,14.655,2,"LINESTRING (-57.947629 48.9520415, -57.9474551 48.9521073)",,,
128361841,Main Street,secondary,False,True,18.11,2,"LINESTRING (-57.947629 48.9520415, -57.9478439 48.9519602)",,,
483092164,,secondary_link,True,False,48.922,,"LINESTRING (-57.947629 48.9520415, -57.9478103 48.952029, -57.9480333 48.9520453, -57.948262 48.952131)",,,
