osmid,oneway,ref,highway,reversed,length,name,geometry,lanes
507368185,False,,residential,True,87.954,,"LINESTRING (99.6767477 7.3756265, 99.6772778 7.3762175)",
507368192,False,,residential,False,21.48,,"LINESTRING (99.6743991 7.376247, 99.6744403 7.3760582)",
507368192,False,,residential,True,38.925,,"LINESTRING (99.6743991 7.376247, 99.6743011 7.3765833)",
507368114,False,,residential,True,141.88400000000001,,"LINESTRING (99.6743991 7.376247, 99.6741127 7.376166, 99.6731523 7.3759326)",
507368170,False,,residential,False,75.595,,"LINESTRING (99.6742156 7.3766362, 99.6738927 7.3772359)",
"[507368169, 507368170]",False,,residential,True,294.495,,"LINESTRING (99.6742156 7.3766362, 99.6737782 7.3765308, 99.6737345 7.376526, 99.6736998 7.3765384, 99.6730176 7.3770142, 99.6730011 7.3770374, 99.672994 7.3770602, 99.6729952 7.377086, 99.6730173 7.3771347, 99.673058 7.3771802, 99.6735203 7.3774899, 99.6735989 7.3775451, 99.6736171 7.3775542, 99.673642 7.377556, 99.6736684 7.3775437, 99.6738927 7.3772359)",
507368170,False,,residential,True,11.113,,"LINESTRING (99.6742156 7.3766362, 99.6743011 7.3765833)",
507368170,False,,residential,True,75.595,,"LINESTRING (99.6738927 7.3772359, 99.6742156 7.3766362)",
"[507368169, 507368170]",False,,residential,False,294.495,,"LINESTRING (99.6738927 7.3772359, 99.6736684 7.3775437, 99.673642 7.377556, 99.6736171 7.3775542, 99.6735989 7.3775451, 99.6735203 7.3774899, 99.673058 7.3771802, 99.6730173 7.3771347, 99.6729952 7.377086, 99.672994 7.3770602, 99.6730011 7.3770374, 99.6730176 7.3770142, 99.6736998 7.3765384, 99.6737345 7.376526, 99.6737782 7.3765308, 99.6742156 7.3766362)",
507368171,False,,residential,True,117.905,,"LINESTRING (99.6738927 7.3772359, 99.6747649 7.3778492)",
311932118,True,404,primary,False,96.044,,"LINESTRING (99.6747649 7.3778492, 99.674208 7.3785133)",
507368171,False,,residential,False,117.905,,"LINESTRING (99.6747649 7.3778492, 99.6738927 7.3772359)",
507368199,False,,residential,False,107.06,,"LINESTRING (99.6754001 7.3778672, 99.6761398 7.3784908)",
507368200,False,,residential,False,67.432,,"LINESTRING (99.6768627 7.3782627, 99.6764823 7.3787375)",
312712510,False,,residential,False,8.945,,"LINESTRING (99.6772248 7.3762784, 99.6772778 7.3762175)",
312712510,False,,residential,True,80.246,,"LINESTRING (99.6772248 7.3762784, 99.6767492 7.3768246)",
507368184,False,,residential,True,146.054,,"LINESTRING (99.6772248 7.3762784, 99.678255 7.3771039)",
808550551,False,,primary_link,False,17.829,,"LINESTRING (99.6772368 7.3741967, 99.6770827 7.3742452)",
808550551,False,,primary_link,True,17.829,,"LINESTRING (99.6770827 7.3742452, 99.6772368 7.3741967)",
311932118,True,404,primary,False,204.796,,"LINESTRING (99.6770827 7.3742452, 99.6771171 7.3743387, 99.6771404 7.3745875, 99.677119 7.374796, 99.677049 7.3750511, 99.6769506 7.3752316, 99.6764157 7.375848)",
312712339,True,404,primary,False,76.012,,"LINESTRING (99.6757053 7.376894, 99.6761482 7.3763702)",
925172486,False,,primary_link,True,10.913,,"LINESTRING (99.6757053 7.376894, 99.6756266 7.3768345)",
311932118,True,404,primary,False,55.663,,"LINESTRING (99.6756266 7.3768345, 99.6753109 7.3772251)",
925172486,False,,primary_link,False,10.913,,"LINESTRING (99.6756266 7.3768345, 99.6757053 7.376894)",
965908209,False,,residential,True,88.366,,"LINESTRING (99.6807669 7.3751301, 99.680017 7.3754102)",
311932145,False,,unclassified,True,7.586,ถนนท่าบันได,"LINESTRING (99.6746081 7.3750148, 99.6746723 7.3750393)",
965906805,False,,residential,True,62.511,,"LINESTRING (99.6746081 7.3750148, 99.6747977 7.374485)",
311932145,False,,unclassified,False,46.111,ถนนท่าบันได,"LINESTRING (99.6746081 7.3750148, 99.6743424 7.3749132, 99.6742172 7.3748676)",
965906805,False,,residential,False,62.511,,"LINESTRING (99.6747977 7.374485, 99.6746081 7.3750148)",
965906850,False,,residential,True,90.262,,"LINESTRING (99.6741593 7.374227, 99.6743631 7.3743254, 99.6743953 7.3743573, 99.6743846 7.3744345, 99.6743336 7.3745568, 99.6742172 7.3748676)",
311932145,False,,unclassified,False,101.006,ถนนท่าบันได,"LINESTRING (99.6742172 7.3748676, 99.6740607 7.3748106, 99.6738676 7.3747733, 99.673628 7.3747747, 99.6733151 7.3747733)",
311932145,False,,unclassified,True,46.111,ถนนท่าบันได,"LINESTRING (99.6742172 7.3748676, 99.6743424 7.3749132, 99.6746081 7.3750148)",
965906850,False,,residential,False,90.262,,"LINESTRING (99.6742172 7.3748676, 99.6743336 7.3745568, 99.6743846 7.3744345, 99.6743953 7.3743573, 99.6743631 7.3743254, 99.6741593 7.374227)",
