osmid,highway,oneway,reversed,length,geometry,junction,name
546188311,unclassified,False,True,241.375,"LINESTRING (103.5049691 16.4321276, 103.5044816 16.4328138, 103.5040641 16.4333942, 103.5037141 16.4338862, 103.5036908 16.4339189)",,
822803780,unclassified,False,True,33.021,"LINESTRING (103.5049691 16.4321276, 103.5049765 16.4320663, 103.5049551 16.4320097, 103.5048987 16.431966, 103.5047926 16.4319382)",,
561054335,residential,False,False,31.924,"LINESTRING (103.5065169 16.4346596, 103.5065011 16.4343729)",,
1052183163,residential,False,True,88.577,"LINESTRING (103.5065169 16.4346596, 103.5073284 16.4344901)",,
561054335,residential,False,True,47.331999999999994,"LINESTRING (103.5065169 16.4346596, 103.5065289 16.4348091, 103.5065819 16.4350801)",,
242701109,residential,False,False,38.779,"LINESTRING (103.5073284 16.4344901, 103.5073794 16.4348354)",,
242701109,residential,False,True,29.522,"LINESTRING (103.5073284 16.4344901, 103.5072849 16.4342279)",,
1052183163,residential,False,False,88.577,"LINESTRING (103.5073284 16.4344901, 103.5065169 16.4346596)",,
546188313,secondary,True,False,184.45800000000003,"LINESTRING (103.504724 16.434274, 103.5052322 16.4341858, 103.5056211 16.4341182, 103.5064266 16.4339825)",,ถนนกาฬสินธุ์
561054335,residential,False,False,350.75600000000003,"LINESTRING (103.504724 16.434274, 103.5048097 16.4347178, 103.5049693 16.435451, 103.5050002 16.4355745, 103.505035 16.4356157, 103.5051003 16.4356407, 103.506546 16.4353494, 103.5065774 16.435327, 103.5065999 16.4352776, 103.5065819 16.4350801)",,
932358542,residential,False,True,69.4,"LINESTRING (103.503942 16.4296986, 103.5037744 16.429979, 103.503816 16.4299983, 103.5036878 16.4302235)",,
40843779,residential,False,False,87.76,"LINESTRING (103.5036878 16.4302235, 103.5043597 16.4306791)",,
40843779,residential,False,True,140.636,"LINESTRING (103.5036878 16.4302235, 103.5032473 16.4299249, 103.5025641 16.4295655)",,
932358542,residential,False,False,69.4,"LINESTRING (103.5036878 16.4302235, 103.503816 16.4299983, 103.5037744 16.429979, 103.503942 16.4296986)",,
40843776,unclassified,False,False,67.231,"LINESTRING (103.5054307 16.4307464, 103.5055265 16.431344)",,
932359333,residential,False,True,70.196,"LINESTRING (103.5054307 16.4307464, 103.5051236 16.4308023, 103.5049388 16.4310824)",,
40843779,residential,False,False,72.814,"LINESTRING (103.5049388 16.4310824, 103.5054883 16.431471)",,
40843779,residential,False,True,48.838,"LINESTRING (103.5049388 16.4310824, 103.5045702 16.4308218)",,
932359333,residential,False,False,70.196,"LINESTRING (103.5049388 16.4310824, 103.5051236 16.4308023, 103.5054307 16.4307464)",,
40843779,residential,False,False,25.717,"LINESTRING (103.5043733 16.4306883, 103.5045702 16.4308218)",,
40843779,residential,False,True,1.775,"LINESTRING (103.5043733 16.4306883, 103.5043597 16.4306791)",,
242882490,residential,False,True,181.78,"LINESTRING (103.5043733 16.4306883, 103.5043403 16.4308228, 103.5043256 16.4308769, 103.5043082 16.4309129, 103.5042787 16.4309457, 103.5042465 16.4309682, 103.5039837 16.4311456, 103.5038121 16.4312485, 103.5034728 16.4313451, 103.5034567 16.4313669, 103.5034552 16.4313948, 103.5034954 16.4314855, 103.5036002 16.431794)",,
932359524,residential,False,True,32.421,"LINESTRING (103.5062005 16.4298375, 103.5060288 16.4300781)",,
932359525,residential,False,True,20.805,"LINESTRING (103.5058625 16.4299803, 103.5060288 16.4300781)",,
932359524,residential,False,False,32.421,"LINESTRING (103.5060288 16.4300781, 103.5062005 16.4298375)",,
932359525,residential,False,False,20.805,"LINESTRING (103.5060288 16.4300781, 103.5058625 16.4299803)",,
932359525,residential,False,True,36.02,"LINESTRING (103.5060288 16.4300781, 103.5063238 16.4302358)",,
932359525,residential,False,False,36.02,"LINESTRING (103.5063238 16.4302358, 103.5060288 16.4300781)",,
40843781,unclassified,False,False,149.719,"LINESTRING (103.5063238 16.4302358, 103.5058696 16.4308671, 103.5055265 16.431344)",,
40843779,residential,False,False,1.775,"LINESTRING (103.5043597 16.4306791, 103.5043733 16.4306883)",,
40843779,residential,False,True,87.76,"LINESTRING (103.5043597 16.4306791, 103.5036878 16.4302235)",,
968365014,residential,False,True,60.374,"LINESTRING (103.5043597 16.4306791, 103.5044007 16.4305952, 103.5044597 16.4304318, 103.5045643 16.4301732)",,
968365014,residential,False,False,60.373999999999995,"LINESTRING (103.5045643 16.4301732, 103.5044597 16.4304318, 103.5044007 16.4305952, 103.5043597 16.4306791)",,
546194990,unclassified,False,False,21.185,"LINESTRING (103.504002 16.4322037, 103.5038212 16.4322826)",,
