osmid,lanes,highway,oneway,reversed,length,geometry
219597923,2,tertiary,False,True,86.659,"LINESTRING (26.1526992 -24.3824678, 26.152875 -24.3822268, 26.1529796 -24.3820949, 26.1530252 -24.3820362, 26.15308 -24.3819875, 26.1531633 -24.3819263, 26.1532494 -24.381886)"
313915009,,residential,False,False,160.43900000000002,"LINESTRING (26.1526992 -24.3824678, 26.1525813 -24.3824173, 26.1525263 -24.3824051, 26.1524687 -24.3824075, 26.1522943 -24.3824393, 26.1520797 -24.3825126, 26.1515218 -24.3827006, 26.1513656 -24.3827765, 26.1512536 -24.3828814)"
313915007,,residential,False,True,5.496,"LINESTRING (26.1529816 -24.3810426, 26.1529434 -24.3810777)"
313915007,,residential,False,False,191.611,"LINESTRING (26.1529816 -24.3810426, 26.1530239 -24.3809868, 26.1530688 -24.3809149, 26.1531284 -24.3807439, 26.1531526 -24.3806608, 26.1531733 -24.3805363, 26.153166 -24.3803359, 26.1531579 -24.3801697, 26.1531419 -24.3798374, 26.1531162 -24.3793561)"
313915016,,residential,False,True,138.651,"LINESTRING (26.1529816 -24.3810426, 26.1535844 -24.3810369, 26.1536515 -24.380971, 26.1537668 -24.3806485, 26.1537749 -24.3803798)"
219299136,,residential,False,True,50.056,"LINESTRING (26.1522736 -24.3831563, 26.1518447 -24.38338)"
313914390,,residential,False,False,38.652,"LINESTRING (26.1522736 -24.3831563, 26.1524767 -24.3834506)"
219299136,,residential,False,False,189.813,"LINESTRING (26.1522736 -24.3831563, 26.1526 -24.382901, 26.1529541 -24.3826128, 26.1536103 -24.3819633)"
313914390,,residential,False,True,38.652,"LINESTRING (26.1524767 -24.3834506, 26.1522736 -24.3831563)"
313915009,,residential,False,True,160.439,"LINESTRING (26.1512536 -24.3828814, 26.1513656 -24.3827765, 26.1515218 -24.3827006, 26.1520797 -24.3825126, 26.1522943 -24.3824393, 26.1524687 -24.3824075, 26.1525263 -24.3824051, 26.1525813 -24.3824173, 26.1526992 -24.3824678)"
313915016,,residential,False,False,138.651,"LINESTRING (26.1537749 -24.3803798, 26.1537668 -24.3806485, 26.1536515 -24.380971, 26.1535844 -24.3810369, 26.1529816 -24.3810426)"
313915016,,residential,False,True,62.317,"LINESTRING (26.1537749 -24.3803798, 26.1537909 -24.3800866, 26.1537452 -24.379823)"
312561459,,residential,False,True,66.58800000000001,"LINESTRING (26.1453029 -24.3870861, 26.145517 -24.3869209, 26.1456276 -24.3868446, 26.1457474 -24.3867735, 26.1458361 -24.3867421)"
219477766,,residential,False,False,31.677,"LINESTRING (26.1489642 -24.3850386, 26.1492077 -24.3852174)"
132403062,2,secondary,False,False,60.754000000000005,"LINESTRING (26.1489642 -24.3850386, 26.1491494 -24.3849751, 26.1492352 -24.3849373, 26.1493003 -24.3849049, 26.1494961 -24.3847907)"
132403062,2,secondary,False,True,168.215,"LINESTRING (26.1489642 -24.3850386, 26.1486264 -24.3851034, 26.1485392 -24.3851254, 26.1484359 -24.3851571, 26.1481583 -24.3852841, 26.1480778 -24.3853159, 26.1479893 -24.3853367, 26.1478901 -24.3853513, 26.1473642 -24.3853425)"
219169562,,secondary,False,False,13.24,"LINESTRING (26.1463927 -24.3870201, 26.1464132 -24.3869025)"
