osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction
460915276,,residential,30,False,True,230.96599999999998,"LINESTRING (51.5345021 32.5484179, 51.5348225 32.5481874, 51.5348934 32.5481364, 51.5350919 32.5480795, 51.5353317 32.5479297, 51.5356761 32.5477978, 51.5359265 32.5478329, 51.5362523 32.5478913, 51.5363439 32.5479077, 51.5366868 32.548051)",
460915277,,residential,30,False,False,72.223,"LINESTRING (51.5370519 32.5475135, 51.5369701 32.5476878, 51.5369596 32.5478154, 51.5368372 32.5478968, 51.5367613 32.5479473, 51.5366868 32.548051)",
529241556,بوستان,residential,30,False,False,93.252,"LINESTRING (51.5370519 32.5475135, 51.5371243 32.5475633, 51.5372393 32.5476359, 51.537306 32.5478478, 51.5374007 32.5479336, 51.5374994 32.5480876, 51.5375291 32.5482124)",
529241556,بوستان,residential,30,False,True,129.586,"LINESTRING (51.5370519 32.5475135, 51.5369367 32.5474343, 51.5368185 32.5473492, 51.5367343 32.5472887, 51.5359995 32.5467578)",
460915276,,residential,30,False,False,230.96599999999998,"LINESTRING (51.5366868 32.548051, 51.5363439 32.5479077, 51.5362523 32.5478913, 51.5359265 32.5478329, 51.5356761 32.5477978, 51.5353317 32.5479297, 51.5350919 32.5480795, 51.5348934 32.5481364, 51.5348225 32.5481874, 51.5345021 32.5484179)",
460915276,,residential,30,False,True,105.572,"LINESTRING (51.5366868 32.548051, 51.5369544 32.5481628, 51.537172 32.5483003, 51.5372675 32.5483607, 51.5373497 32.5484401, 51.5375544 32.5486378)",
460915277,,residential,30,False,False,80.77900000000001,"LINESTRING (51.5366868 32.548051, 51.5366883 32.548154, 51.5364952 32.5482772, 51.5364274 32.5484751, 51.53649 32.5486818)",
460915277,,residential,30,False,True,72.223,"LINESTRING (51.5366868 32.548051, 51.5367613 32.5479473, 51.5368372 32.5478968, 51.5369596 32.5478154, 51.5369701 32.5476878, 51.5370519 32.5475135)",
460915277,,residential,30,False,False,58.438,"LINESTRING (51.53649 32.5486818, 51.5362918 32.5488489, 51.5362172 32.548913, 51.5360514 32.5490553)",
460915277,,residential,30,False,True,80.779,"LINESTRING (51.53649 32.5486818, 51.5364274 32.5484751, 51.5364952 32.5482772, 51.5366883 32.548154, 51.5366868 32.548051)",
529402256,,residential,30,False,False,126.177,"LINESTRING (51.53649 32.5486818, 51.5365863 32.548713, 51.5368686 32.5489451, 51.5372266 32.5486782, 51.537323 32.5487304, 51.5375544 32.5486378)",
460915274,ابن سینا,residential,30,False,False,79.00399999999999,"LINESTRING (51.5355111 32.5494954, 51.5355469 32.5495309, 51.5358734 32.5500018, 51.5359634 32.5500928)",
460915274,ابن سینا,residential,30,False,True,74.787,"LINESTRING (51.5355111 32.5494954, 51.5353991 32.5493843, 51.5351674 32.5491545, 51.5349944 32.5489829)",
460915277,,residential,30,False,False,109.099,"LINESTRING (51.5355111 32.5494954, 51.5352326 32.5496538, 51.5350604 32.5498935, 51.5349378 32.5500496, 51.5347343 32.5502036)",
460915277,,residential,30,False,True,70.43700000000001,"LINESTRING (51.5355111 32.5494954, 51.53577 32.5492932, 51.5360152 32.5490864, 51.5360514 32.5490553)",
460915277,,residential,30,False,True,109.099,"LINESTRING (51.5347343 32.5502036, 51.5349378 32.5500496, 51.5350604 32.5498935, 51.5352326 32.5496538, 51.5355111 32.5494954)",
529402296,فرعی هفتم,residential,30,False,False,52.72,"LINESTRING (51.5347343 32.5502036, 51.5348375 32.5503205, 51.5349615 32.5504076, 51.5351386 32.5505289)",
529402296,فرعی هفتم,residential,30,False,True,89.76500000000001,"LINESTRING (51.5347343 32.5502036, 51.534631 32.5501232, 51.5343212 32.5498272, 51.5340918 32.5496057)",
460915278,,residential,30,False,False,94.155,"LINESTRING (51.5343741 32.5510719, 51.5345652 32.5509585, 51.5347422 32.5508153, 51.5349616 32.55069, 51.5351386 32.5505289)",
460915279,عزت اله کریمی,residential,30,False,False,145.72,"LINESTRING (51.5343741 32.5510719, 51.5342649 32.5508823, 51.53413 32.5506679, 51.5338946 32.5504295, 51.5338372 32.5503544, 51.5335434 32.5499697)",
529402264,,residential,30,False,False,88.959,"LINESTRING (51.5343741 32.5510719, 51.5344244 32.5511968, 51.5345071 32.5512955, 51.5346241 32.5513071, 51.5349 32.55169)",
