osmid,name,highway,junction,oneway,reversed,length,geometry,maxspeed,ref,lanes,bridge
438509183,,residential,,False,False,50.714999999999996,"LINESTRING (45.724684 36.7659932, 45.7242904 36.7661368, 45.7241538 36.7661302)",30,,,
422600987,خیابان حافظ,secondary,,True,False,33.717,"LINESTRING (45.7244515 36.7669863, 45.7246639 36.7669458, 45.724742 36.7669314, 45.72482 36.766917)",,,,
1149564105,,tertiary,,True,False,31.725,"LINESTRING (45.7244515 36.7669863, 45.724498 36.7668476, 45.7244618 36.7667089)",,,,
424472186,خیابان محمد قاضی,primary,,True,False,11.301,"LINESTRING (45.7238229 36.7673837, 45.7237445 36.7673038)",,,,
1193734044,,primary_link,,True,False,18.439999999999998,"LINESTRING (45.7238229 36.7673837, 45.7238313 36.7673473, 45.7238343 36.7673362, 45.7238461 36.7673196, 45.7238649 36.7673085, 45.7238896 36.7673038, 45.7239114 36.767303, 45.723941 36.7673077, 45.7239616 36.767314)",,,,
422599208,خیابان محمد قاضی,primary,,True,False,23.311,"LINESTRING (45.7239616 36.767314, 45.724026 36.7674068, 45.7240927 36.7674954)",,,,
767682642,,residential,,False,False,25.944,"LINESTRING (45.727163 36.7641488, 45.7270579 36.7639312)",30,,,
400134284,کوی دهم,residential,,False,True,20.018,"LINESTRING (45.7271258 36.7620415, 45.7269012 36.7620473)",30,,,
"[461337337, 452524891]",صلاح الدین ایوبی شرقی,tertiary,,True,False,58.077,"LINESTRING (45.7234309 36.7610553, 45.7237185 36.7609962, 45.7240612 36.7609219)",40,,,
1242592053,,tertiary,,False,True,53.381,"LINESTRING (45.7217967 36.7654049, 45.7218384 36.7658838)",,,,
301652503,میدان جمهوری اسلامی (چوار چرا),tertiary,roundabout,True,False,39.659000000000006,"LINESTRING (45.7217967 36.7654049, 45.7217348 36.765401, 45.7216635 36.7653786, 45.7216034 36.7653405, 45.7215599 36.76529, 45.7215366 36.7652315, 45.7215357 36.7651701)",,,,
1242592055,,primary,,True,False,24.415,"LINESTRING (45.7230403 36.7669097, 45.7232954 36.76699)",,,,
424472180,,primary,,True,False,43.036,"LINESTRING (45.7230403 36.7669097, 45.7231431 36.7669755, 45.7232862 36.7670955, 45.7233275 36.7671515, 45.7233476 36.7671995)",,,,
1242592055,,primary,,True,False,44.489000000000004,"LINESTRING (45.7232954 36.76699, 45.7234519 36.7670393, 45.7235655 36.7670686, 45.7236621 36.7670873, 45.7237731 36.7671023)",,,,
