osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction
540959716,False,دلنواز,tertiary,,True,38.741,"LINESTRING (46.2412014 34.2840474, 46.241052 34.2843732)",
540959729,False,یوسف شاهی,residential,,False,177.968,"LINESTRING (46.2412014 34.2840474, 46.2414224 34.2841301, 46.2416132 34.2841363, 46.2418714 34.2841549, 46.2420435 34.2841765, 46.2422866 34.2842198, 46.2425859 34.2842692, 46.2428665 34.2842599, 46.2430984 34.2842259)",
540959729,False,یوسف شاهی,residential,,True,177.968,"LINESTRING (46.2430984 34.2842259, 46.2428665 34.2842599, 46.2425859 34.2842692, 46.2422866 34.2842198, 46.2420435 34.2841765, 46.2418714 34.2841549, 46.2416132 34.2841363, 46.2414224 34.2841301, 46.2412014 34.2840474)",
540959716,False,دلنواز,tertiary,,True,4.202,"LINESTRING (46.2417468 34.2831135, 46.2417254 34.2831469)",
540959716,False,دلنواز,tertiary,,False,88.398,"LINESTRING (46.2417468 34.2831135, 46.2417968 34.2830387, 46.2420353 34.2827271, 46.2422652 34.2824441)",
540959730,False,,residential,,False,80.178,"LINESTRING (46.2417468 34.2831135, 46.241905 34.2832028, 46.2421445 34.2833512, 46.2424924 34.283481)",
540959730,False,,residential,,True,80.178,"LINESTRING (46.2424924 34.283481, 46.2421445 34.2833512, 46.241905 34.2832028, 46.2417468 34.2831135)",
540959731,False,,residential,,True,23.21,"LINESTRING (46.2431919 34.2839447, 46.2429932 34.2838158)",
540959731,False,,residential,,False,48.932,"LINESTRING (46.2429711 34.283413, 46.2429637 34.2834656, 46.2428814 34.2836603, 46.2429932 34.2838158)",
540959731,False,,residential,,True,23.079,"LINESTRING (46.2429711 34.283413, 46.2429862 34.2833048, 46.2429896 34.2832062)",
540959732,False,,residential,,False,75.467,"LINESTRING (46.2429711 34.283413, 46.2434089 34.2834779, 46.2435735 34.2835614, 46.2437531 34.2835923)",
540959732,False,,residential,,True,75.467,"LINESTRING (46.2437531 34.2835923, 46.2435735 34.2835614, 46.2434089 34.2834779, 46.2429711 34.283413)",
854517946,False,بلوار صدر,tertiary,,True,21.177,"LINESTRING (46.2446012 34.2831452, 46.244446 34.2830044)",
540959733,False,,residential,,False,35.88,"LINESTRING (46.2446012 34.2831452, 46.2444863 34.2832523, 46.2443879 34.2834124)",
854517946,False,بلوار صدر,tertiary,,False,64.59,"LINESTRING (46.2446012 34.2831452, 46.2447186 34.2831878, 46.2448887 34.2832272, 46.2450533 34.2832331, 46.2452866 34.2832286)",
540959733,False,,residential,,True,37.836,"LINESTRING (46.2442357 34.2837283, 46.2443591 34.2834594, 46.2443879 34.2834124)",
540959733,False,,residential,,False,37.836,"LINESTRING (46.2443879 34.2834124, 46.2443591 34.2834594, 46.2442357 34.2837283)",
540959733,False,,residential,,True,35.88,"LINESTRING (46.2443879 34.2834124, 46.2444863 34.2832523, 46.2446012 34.2831452)",
540959734,False,,residential,,False,75.42,"LINESTRING (46.2443879 34.2834124, 46.2446734 34.2834996, 46.2448305 34.2835119, 46.2451859 34.2834717)",
540959734,False,,residential,,True,75.42,"LINESTRING (46.2451859 34.2834717, 46.2448305 34.2835119, 46.2446734 34.2834996, 46.2443879 34.2834124)",
