osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed
349916019,False,2,Avellaneda,residential,True,61.559,"LINESTRING (-64.9779511 -25.7999394, -64.9782038 -25.8004441)",
349916019,False,2,Avellaneda,residential,False,124.85300000000001,"LINESTRING (-64.9779511 -25.7999394, -64.9777284 -25.7994947, -64.9774385 -25.7989158)",
112630540,True,1,Belgrano,residential,False,71.615,"LINESTRING (-64.9764276 -25.7969446, -64.9770774 -25.7966753)",
349916017,False,2,Avellaneda,residential,False,122.309,"LINESTRING (-64.9764276 -25.7969446, -64.9759054 -25.7959502)",
349916017,False,2,Avellaneda,residential,True,119.902,"LINESTRING (-64.9764276 -25.7969446, -64.9769396 -25.7979194)",
114332380,True,,San Martín,secondary,False,123.215,"LINESTRING (-64.9737359 -25.796831, -64.9742228 -25.7978487)",
799015857,True,2,Figueroa Alcorta,residential,False,118.505,"LINESTRING (-64.9737359 -25.796831, -64.9726593 -25.797274)",
134191149,True,,San Martín,secondary,False,126.849,"LINESTRING (-64.9751795 -25.7998193, -64.975691 -25.800863)",
349902496,True,2,General Güemes,residential,False,121.77,"LINESTRING (-64.9751795 -25.7998193, -64.9762949 -25.7993825)",
112630540,True,1,Belgrano,residential,False,120.79,"LINESTRING (-64.9742228 -25.7978487, -64.9753185 -25.7973939)",
114332380,True,,San Martín,secondary,False,120.075,"LINESTRING (-64.9742228 -25.7978487, -64.9746933 -25.798842)",
