osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry
467508140,False,804 - Esteban Echeverría,residential,,False,76.656,,"LINESTRING (-58.5770765 -34.5822122, -58.5776853 -34.5817389)"
467508140,False,804 - Esteban Echeverría,residential,,True,73.755,,"LINESTRING (-58.5770765 -34.5822122, -58.5764919 -34.5826686)"
28923559,False,807 - San Miguel de Garicoits,residential,40,True,108.501,,"LINESTRING (-58.5750968 -34.5824175, -58.5758991 -34.5831357)"
543480379,False,802 - La Cautiva,residential,40,True,73.699,,"LINESTRING (-58.5750968 -34.5824175, -58.5756787 -34.5819595)"
28838554,False,808 - Martín Miguens,residential,,False,76.229,,"LINESTRING (-58.5784938 -34.5824485, -58.5778927 -34.5829229)"
28838554,False,808 - Martín Miguens,residential,,True,77.037,,"LINESTRING (-58.5784938 -34.5824485, -58.5791035 -34.581971)"
1172156460,True,813 - Francisco Lagorio,residential,,False,108.187,,"LINESTRING (-58.5784938 -34.5824485, -58.5776853 -34.5817389)"
1172156461,False,813 - Francisco Lagorio,residential,,True,112.096,,"LINESTRING (-58.5784938 -34.5824485, -58.5793375 -34.5831791)"
467508140,False,804 - Esteban Echeverría,residential,,False,75.929,,"LINESTRING (-58.5776853 -34.5817389, -58.5782836 -34.581266)"
467508140,False,804 - Esteban Echeverría,residential,,True,76.656,,"LINESTRING (-58.5776853 -34.5817389, -58.5770765 -34.5822122)"
1172156460,True,813 - Francisco Lagorio,residential,,False,109.029,,"LINESTRING (-58.5776853 -34.5817389, -58.5768652 -34.5810279)"
28838554,False,808 - Martín Miguens,residential,,False,74.056,,"LINESTRING (-58.5778927 -34.5829229, -58.5773069 -34.5833822)"
28838554,False,808 - Martín Miguens,residential,,True,76.229,,"LINESTRING (-58.5778927 -34.5829229, -58.5784938 -34.5824485)"
28923577,True,811 - Pablo Poggio,residential,40,False,111.672,,"LINESTRING (-58.5778927 -34.5829229, -58.5787461 -34.5836405)"
28923577,True,811 - Pablo Poggio,residential,40,False,109.937,,"LINESTRING (-58.5762582 -34.5814886, -58.5770765 -34.5822122)"
543480379,False,802 - La Cautiva,residential,40,False,74.541,,"LINESTRING (-58.5762582 -34.5814886, -58.5756787 -34.5819595)"
543480379,False,802 - La Cautiva,residential,40,True,75.58,,"LINESTRING (-58.5762582 -34.5814886, -58.5768652 -34.5810279)"
543480379,False,802 - La Cautiva,residential,40,False,75.58,,"LINESTRING (-58.5768652 -34.5810279, -58.5762582 -34.5814886)"
543480379,False,802 - La Cautiva,residential,40,True,76.132,,"LINESTRING (-58.5768652 -34.5810279, -58.5774715 -34.5805593)"
1172156460,True,813 - Francisco Lagorio,residential,,False,110.297,,"LINESTRING (-58.5768652 -34.5810279, -58.576036 -34.5803083)"
28923617,False,815 - Sargento R. Palma,residential,40,False,108.179,,"LINESTRING (-58.5782836 -34.581266, -58.5774715 -34.5805593)"
28923617,False,815 - Sargento R. Palma,residential,40,True,108.534,,"LINESTRING (-58.5782836 -34.581266, -58.5791035 -34.581971)"
467508140,False,804 - Esteban Echeverría,residential,,False,77.425,,"LINESTRING (-58.5782836 -34.581266, -58.5788944 -34.5807844)"
467508140,False,804 - Esteban Echeverría,residential,,True,75.929,,"LINESTRING (-58.5782836 -34.581266, -58.5776853 -34.5817389)"
543480379,False,802 - La Cautiva,residential,40,False,73.699,,"LINESTRING (-58.5756787 -34.5819595, -58.5750968 -34.5824175)"
543480379,False,802 - La Cautiva,residential,40,True,74.541,,"LINESTRING (-58.5756787 -34.5819595, -58.5762582 -34.5814886)"
28838554,False,808 - Martín Miguens,residential,,False,77.037,,"LINESTRING (-58.5791035 -34.581971, -58.5784938 -34.5824485)"
28838554,False,808 - Martín Miguens,residential,,True,76.863,,"LINESTRING (-58.5791035 -34.581971, -58.5797146 -34.581497)"
28923617,False,815 - Sargento R. Palma,residential,40,False,108.534,,"LINESTRING (-58.5791035 -34.581971, -58.5782836 -34.581266)"
28923617,False,815 - Sargento R. Palma,residential,40,True,111.955,,"LINESTRING (-58.5791035 -34.581971, -58.5799452 -34.5827014)"
28838637,True,810 - Martín Fierro,residential,,False,59.978,,"LINESTRING (-58.5812205 -34.5816975, -58.5817074 -34.5813366)"
28924382,False,819 - Blas Parera,tertiary,,False,111.926,2,"LINESTRING (-58.5812205 -34.5816975, -58.5803981 -34.5809527)"
28924382,False,819 - Blas Parera,tertiary,,True,112.73,2,"LINESTRING (-58.5812205 -34.5816975, -58.5820584 -34.5824404)"
28838637,True,810 - Martín Fierro,residential,,False,84.493,,"LINESTRING (-58.5805505 -34.5822201, -58.5812205 -34.5816975)"
28923977,False,817 - Bernardo de Monteagudo,residential,40,False,113.076,,"LINESTRING (-58.5805505 -34.5822201, -58.581392 -34.5829645)"
28923977,False,817 - Bernardo de Monteagudo,residential,40,True,111.001,,"LINESTRING (-58.5805505 -34.5822201, -58.5797146 -34.581497)"
28838554,False,808 - Martín Miguens,residential,,False,76.863,,"LINESTRING (-58.5797146 -34.581497, -58.5791035 -34.581971)"
28838554,False,808 - Martín Miguens,residential,,True,87.055,,"LINESTRING (-58.5797146 -34.581497, -58.5803981 -34.5809527)"
28923977,False,817 - Bernardo de Monteagudo,residential,40,False,111.001,,"LINESTRING (-58.5797146 -34.581497, -58.5805505 -34.5822201)"
28923977,False,817 - Bernardo de Monteagudo,residential,40,True,109.165,,"LINESTRING (-58.5797146 -34.581497, -58.5788944 -34.5807844)"
