osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width
316894462,True,,Avenida Warnes,secondary,60,False,26.881,"LINESTRING (-58.4449629 -34.6012737, -58.4447466 -34.6013464, -58.444691 -34.6013651)",
126149612,False,4,Avenida Raúl Scalabrini Ortiz,secondary,60,True,96.76700000000001,"LINESTRING (-58.4419757 -34.6018205, -58.4418062 -34.6017146, -58.4411155 -34.6013147)",
128824044,True,,Avenida Raúl Scalabrini Ortiz,secondary,60,False,36.557,"LINESTRING (-58.4419757 -34.6018205, -58.4420559 -34.6018484, -58.4421901 -34.6018974, -58.4422405 -34.6019131, -58.4423513 -34.6019244)",
19214846,True,2,Murillo,tertiary,40,False,66.41499999999999,"LINESTRING (-58.4423513 -34.6019244, -58.4426876 -34.6016073, -58.4427148 -34.6015828, -58.4428346 -34.601479)",
128824048,False,,Avenida Warnes,secondary,60,False,78.476,"LINESTRING (-58.4421995 -34.6023378, -58.4421375 -34.6023643, -58.4414391 -34.6026639)",
128824049,True,2,Avenida Warnes,secondary,60,False,31.421,"LINESTRING (-58.4421995 -34.6023378, -58.4422949 -34.6022482, -58.4423146 -34.6022069, -58.4423241 -34.6020881)",
17495425,True,,Luis María Drago,residential,40,False,85.191,"LINESTRING (-58.4386987 -34.5999785, -58.4381045 -34.6005682)",
1268297564,False,2,,primary_link,,True,13.487,"LINESTRING (-58.4386987 -34.5999785, -58.4388171 -34.5999063)",
92405005,True,,Galicia,residential,40,False,11.014,"LINESTRING (-58.4447467 -34.6014529, -58.444691 -34.6013651)",
721802455,True,,Acoyte,residential,40,False,28.083,"LINESTRING (-58.4447467 -34.6014529, -58.4447944 -34.6014134, -58.4449629 -34.6012737)",
315841240,True,3,Avenida Corrientes,primary,50,False,56.12,"LINESTRING (-58.4391758 -34.5995093, -58.439091 -34.5995618, -58.4390454 -34.5996021, -58.4388568 -34.599764, -58.4387269 -34.5998512)",
1268297564,False,2,,primary_link,,False,57.095,"LINESTRING (-58.4391758 -34.5995093, -58.4391727 -34.5995966, -58.4388171 -34.5999063)",
1268297563,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,True,10.281,"LINESTRING (-58.4388171 -34.5999063, -58.4387269 -34.5998512)",
1268297564,False,2,,primary_link,,False,13.487,"LINESTRING (-58.4388171 -34.5999063, -58.4386987 -34.5999785)",
47259054,False,6,Avenida Raúl Scalabrini Ortiz,secondary,60,False,130.43099999999998,"LINESTRING (-58.4388171 -34.5999063, -58.4389697 -34.5999989, -58.4392132 -34.6001471, -58.4393614 -34.6002373, -58.4399631 -34.6006035)",
1268297564,False,2,,primary_link,,True,57.095,"LINESTRING (-58.4388171 -34.5999063, -58.4391727 -34.5995966, -58.4391758 -34.5995093)",
