osmid,oneway,lanes,highway,maxspeed,reversed,length,ref,name,geometry,bridge
182734641,False,2,tertiary,50,False,82.952,627,Дупнишка,"LINESTRING (22.9642254 42.5443699, 22.9643214 42.5443494, 22.9645345 42.5442521, 22.9650855 42.5439819)",
182734641,False,2,tertiary,50,True,113.21000000000001,627,Дупнишка,"LINESTRING (22.9642254 42.5443699, 22.9641175 42.5443711, 22.9639104 42.5443688, 22.9635967 42.5443335, 22.9633221 42.5443007, 22.9628529 42.5442676)",
279525770,False,,residential,,False,58.147999999999996,,,"LINESTRING (22.9642254 42.5443699, 22.9642489 42.5444513, 22.9643468 42.5447511, 22.9644193 42.5448711)",
612235730,True,2,residential,,False,156.835,,Евлоги Георгиев,"LINESTRING (22.9642254 42.5443699, 22.9641414 42.5440223, 22.9640868 42.5437964, 22.9640412 42.5435404, 22.9639365 42.5433764, 22.9636871 42.5430484, 22.9636787 42.5430375)",
182802835,False,2,residential,50,False,92.475,,Бенковски,"LINESTRING (22.965967 42.5451945, 22.9651932 42.5458)",
182802835,False,2,residential,50,True,84.034,,Бенковски,"LINESTRING (22.965967 42.5451945, 22.9667157 42.5446779)",
279525793,False,2,residential,50,False,154.865,,Христо Ботев,"LINESTRING (22.965967 42.5451945, 22.9658114 42.5447755, 22.9656693 42.5445819, 22.9650855 42.5439819)",
279525793,False,2,residential,50,True,147.083,,Христо Ботев,"LINESTRING (22.965967 42.5451945, 22.9661923 42.5456944, 22.9664659 42.5463564, 22.9665168 42.5464534)",
182734641,False,2,tertiary,50,True,67.44,627,Дупнишка,"LINESTRING (22.965755 42.543629, 22.9650855 42.5439819)",
279525806,False,2,residential,,True,28.352,,Братя Миленкови,"LINESTRING (22.965755 42.543629, 22.9654564 42.5435001)",
182734641,False,2,tertiary,50,False,24.014000000000003,627,Дупнишка,"LINESTRING (22.965755 42.543629, 22.965882 42.543555, 22.9659854 42.5434955)",
182802512,False,2,residential,50,True,29.063,,Родопа,"LINESTRING (22.9636787 42.5430375, 22.9639942 42.542918)",
182802510,False,2,residential,,True,47.711,,Евлоги Георгиев,"LINESTRING (22.9636787 42.5430375, 22.9635154 42.5428251, 22.9633518 42.5426848)",
