osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,tunnel
1068160526,residential,False,False,48.53,"LINESTRING (77.7939773 13.0739778, 77.7940124 13.0735427)",,,,,
215342757,residential,False,True,35.433,"LINESTRING (77.7940124 13.0735427, 77.7936905 13.0734859)",,,,,
1068160526,residential,False,False,110.924,"LINESTRING (77.7940124 13.0735427, 77.7939891 13.0725454)",,,,,
1068160526,residential,False,True,48.53,"LINESTRING (77.7940124 13.0735427, 77.7939773 13.0739778)",,,,,
215342757,residential,False,False,31.192,"LINESTRING (77.7940124 13.0735427, 77.7941113 13.0735601, 77.7942968 13.0735866)",,,,,
771844527,residential,False,False,30.094,"LINESTRING (77.7939891 13.0725454, 77.7942657 13.0725198)",,,,,
1068160526,residential,False,True,110.924,"LINESTRING (77.7939891 13.0725454, 77.7940124 13.0735427)",,,,,
"[1198916031, 771844527]",residential,False,"[False, True]",89.67999999999999,"LINESTRING (77.7939891 13.0725454, 77.7938316 13.07256, 77.7932222 13.0725896, 77.7931626 13.0725891)",,,,,
215342757,residential,False,False,35.433,"LINESTRING (77.7936905 13.0734859, 77.7940124 13.0735427)",,,,,
215342757,residential,False,True,30.107,"LINESTRING (77.7936905 13.0734859, 77.793417 13.0734376)",,,,,
1068160527,residential,False,False,64.604,"LINESTRING (77.7936905 13.0734859, 77.7936905 13.0729049)",,,,,
1068160527,residential,False,True,64.604,"LINESTRING (77.7936905 13.0729049, 77.7936905 13.0734859)",,,,,
215342757,residential,False,False,30.107,"LINESTRING (77.793417 13.0734376, 77.7936905 13.0734859)",,,,,
215342757,residential,False,True,8.418,"LINESTRING (77.793417 13.0734376, 77.7933398 13.0734289)",,,,,
1068160528,residential,False,False,62.17,"LINESTRING (77.793417 13.0734376, 77.7934205 13.0728785)",,,,,
1068160528,residential,False,True,62.17,"LINESTRING (77.7934205 13.0728785, 77.793417 13.0734376)",,,,,
215342757,residential,False,False,16.988,"LINESTRING (77.7954028 13.0735102, 77.7955594 13.0735017)",,,,,
215342757,residential,False,True,121.254,"LINESTRING (77.7954028 13.0735102, 77.7951991 13.0735212, 77.7948641 13.073581, 77.7945937 13.0736289, 77.7942968 13.0735866)",,,,,
1068160529,unclassified,False,False,91.17099999999999,"LINESTRING (77.7954028 13.0735102, 77.7954135 13.0730874, 77.7954618 13.0730769, 77.7958158 13.0731293)",,,,,
1068160530,residential,False,False,45.118,"LINESTRING (77.7936436 13.0723366, 77.7936218 13.0719314)",,,,,
1068160532,residential,False,False,52.482,"LINESTRING (77.7936436 13.0723366, 77.7931609 13.0723777)",,,,,
1198917705,residential,False,True,31.293,"LINESTRING (77.7936436 13.0723366, 77.7939319 13.0723183)",,,,,
771844529,residential,False,False,30.875,"LINESTRING (77.7936218 13.0719314, 77.7939063 13.0719142)",,,,,
771844529,residential,False,True,51.276,"LINESTRING (77.7936218 13.0719314, 77.7931493 13.0719598)",,,,,
1068160530,residential,False,False,51.692,"LINESTRING (77.7936218 13.0719314, 77.793598 13.0714671)",,,,,
1068160530,residential,False,True,45.118,"LINESTRING (77.7936218 13.0719314, 77.7936436 13.0723366)",,,,,
215202913,residential,False,False,32.473,"LINESTRING (77.793598 13.0714671, 77.7938975 13.071454)",,,,,
215202913,residential,False,True,37.71,"LINESTRING (77.793598 13.0714671, 77.7932502 13.0714824)",,,,,
1068160530,residential,False,True,51.692,"LINESTRING (77.793598 13.0714671, 77.7936218 13.0719314)",,,,,
1068160531,residential,False,False,45.019,"LINESTRING (77.7939319 13.0723183, 77.7939063 13.0719142)",,,,,
1198917705,residential,False,False,31.293,"LINESTRING (77.7939319 13.0723183, 77.7936436 13.0723366)",,,,,
1198917705,residential,False,True,28.996,"LINESTRING (77.7939319 13.0723183, 77.7941991 13.0723023)",,,,,
771844529,residential,False,False,34.672,"LINESTRING (77.7939063 13.0719142, 77.7942258 13.071895)",,,,,
771844529,residential,False,True,30.875,"LINESTRING (77.7939063 13.0719142, 77.7936218 13.0719314)",,,,,
1068160531,residential,False,False,51.181,"LINESTRING (77.7939063 13.0719142, 77.7938975 13.071454)",,,,,
1068160531,residential,False,True,45.019,"LINESTRING (77.7939063 13.0719142, 77.7939319 13.0723183)",,,,,
215202913,residential,False,False,32.158,"LINESTRING (77.7938975 13.071454, 77.7941941 13.071441)",,,,,
215202913,residential,False,True,32.473,"LINESTRING (77.7938975 13.071454, 77.793598 13.0714671)",,,,,
1068160531,residential,False,True,51.181,"LINESTRING (77.7938975 13.071454, 77.7939063 13.0719142)",,,,,
771844527,residential,False,False,30.908,"LINESTRING (77.7942657 13.0725198, 77.7945497 13.0724927)",,,,,
