osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed
32345625,,Avenida Mariano Matamoros,residential,False,False,52.79,"LINESTRING (-98.1659915 19.3340027, -98.1655813 19.3337278)",40
845479635,,,residential,False,False,76.171,"LINESTRING (-98.1659915 19.3340027, -98.1655849 19.3345702)",
32345625,,Avenida Mariano Matamoros,residential,False,True,60.510999999999996,"LINESTRING (-98.1659915 19.3340027, -98.1663907 19.3342702, -98.1664617 19.3343178)",40
845479636,,,residential,False,True,64.074,"LINESTRING (-98.1661398 19.3348147, -98.1665006 19.3343498)",
32345625,,Avenida Mariano Matamoros,residential,False,False,5.415,"LINESTRING (-98.1665006 19.3343498, -98.1664617 19.3343178)",40
32345625,,Avenida Mariano Matamoros,residential,False,True,107.013,"LINESTRING (-98.1665006 19.3343498, -98.1673076 19.3349383)",40
845479636,,,residential,False,False,64.074,"LINESTRING (-98.1665006 19.3343498, -98.1661398 19.3348147)",
845481309,,Avenida 5 de Mayo,residential,False,False,67.545,"LINESTRING (-98.1637703 19.3317069, -98.1642617 19.3320993)",40
845481309,,Avenida 5 de Mayo,residential,False,True,58.825,"LINESTRING (-98.1637703 19.3317069, -98.1634672 19.331414, -98.1633669 19.3313408)",40
845483871,,,residential,False,True,75.239,"LINESTRING (-98.1637703 19.3317069, -98.1636612 19.3318354, -98.1636035 19.3319582, -98.1636049 19.3320126, -98.1635875 19.3320733, -98.1635579 19.3321315, -98.1634738 19.3323105)",
32345625,,Avenida Mariano Matamoros,residential,False,True,49.273,"LINESTRING (-98.1634738 19.3323105, -98.1638497 19.3325761)",40
845483871,,,residential,False,False,75.239,"LINESTRING (-98.1634738 19.3323105, -98.1635579 19.3321315, -98.1635875 19.3320733, -98.1636049 19.3320126, -98.1636035 19.3319582, -98.1636612 19.3318354, -98.1637703 19.3317069)",
845793831,,,residential,False,False,45.646,"LINESTRING (-98.1633669 19.3313408, -98.1631063 19.3316695)",
845481309,,Avenida 5 de Mayo,residential,False,False,58.825,"LINESTRING (-98.1633669 19.3313408, -98.1634672 19.331414, -98.1637703 19.3317069)",40
845793830,,,residential,False,True,63.601,"LINESTRING (-98.1649881 19.3298549, -98.1653253 19.3293796)",
845793830,,,residential,False,False,63.601,"LINESTRING (-98.1653253 19.3293796, -98.1649881 19.3298549)",
32345611,,Avenida Álvaro Obregón,residential,False,True,105.281,"LINESTRING (-98.1653253 19.3293796, -98.1656801 19.3295621, -98.1661875 19.329863)",40
845793831,,,residential,False,True,45.646,"LINESTRING (-98.1631063 19.3316695, -98.1633669 19.3313408)",
"[845793832, 845793833]",,,residential,False,True,75.066,"LINESTRING (-98.164969 19.330711, -98.1651161 19.3305123, -98.1654812 19.3307741)",
32345613,2,Calle 16 de Septiembre,tertiary,False,False,78.017,"LINESTRING (-98.1654812 19.3307741, -98.1650574 19.3313506)",40
32345613,2,Calle 16 de Septiembre,tertiary,False,True,3.672,"LINESTRING (-98.1654812 19.3307741, -98.1655018 19.3307474)",40
"[845793832, 845793833]",,,residential,False,False,75.066,"LINESTRING (-98.1654812 19.3307741, -98.1651161 19.3305123, -98.164969 19.330711)",
"[845794874, 845794875]",,Privada 16 de Septiembre,residential,False,True,46.962,"LINESTRING (-98.1655394 19.3310526, -98.1656713 19.3308708, -98.1655018 19.3307474)",
