osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width
14123048,Lechtaler Straße,residential,30,False,True,258.10100000000006,,"LINESTRING (13.5388608 52.6474026, 13.5388506 52.6476181, 13.5388452 52.6477308, 13.5388419 52.6478009, 13.5388352 52.6479417, 13.5388331 52.6479862, 13.5388278 52.6480976, 13.5388252 52.6481796, 13.5388153 52.6483606, 13.5388124 52.6484221, 13.5388092 52.6484902, 13.5388008 52.6486667, 13.5387898 52.6488981, 13.538788 52.6489358, 13.5387843 52.6490134, 13.5387745 52.6492204, 13.5387696 52.6493604, 13.5387437 52.6495797, 13.5387297 52.6496707, 13.5387138 52.6497211)",5.05
14123399,Bozener Straße,residential,30,False,False,123.55799999999999,,"LINESTRING (13.5388608 52.6474026, 13.5393296 52.6474136, 13.5394281 52.6474159, 13.5401831 52.6474336, 13.5406909 52.6474455)",5.5
14123399,Bozener Straße,residential,30,False,True,121.679,,"LINESTRING (13.5388608 52.6474026, 13.5379634 52.6473887, 13.5377738 52.6473858, 13.5370578 52.6473741)",5.5
14123150,Brennerstraße,residential,30,False,False,143.061,,"LINESTRING (13.5406909 52.6474455, 13.5407281 52.6468544, 13.540743 52.6466178, 13.5407737 52.6461599)",5.05
14123150,Brennerstraße,residential,30,False,True,214.77599999999998,,"LINESTRING (13.5406909 52.6474455, 13.5406377 52.6483888, 13.5406296 52.6485326, 13.5406279 52.6485628, 13.5406258 52.648601, 13.5406205 52.6486949, 13.5405984 52.6490864, 13.5405821 52.6493759)",5.05
14123399,Bozener Straße,residential,30,False,False,155.53900000000002,,"LINESTRING (13.5406909 52.6474455, 13.541275 52.6475802, 13.5423737 52.6478336, 13.5427763 52.6479264, 13.542846 52.6479425)",5.5
14123399,Bozener Straße,residential,30,False,True,123.558,,"LINESTRING (13.5406909 52.6474455, 13.5401831 52.6474336, 13.5394281 52.6474159, 13.5393296 52.6474136, 13.5388608 52.6474026)",5.5
14123150,Brennerstraße,residential,30,False,False,129.434,,"LINESTRING (13.5407737 52.6461599, 13.5407901 52.6458753, 13.5408482 52.6456199, 13.5408764 52.6455305, 13.5408884 52.6455, 13.5409568 52.6453265, 13.5411456 52.645027)",5.05
14123150,Brennerstraße,residential,30,False,True,143.061,,"LINESTRING (13.5407737 52.6461599, 13.540743 52.6466178, 13.5407281 52.6468544, 13.5406909 52.6474455)",5.05
14123160,Brixener Straße,residential,30,False,False,201.807,,"LINESTRING (13.5407737 52.6461599, 13.5409471 52.6461686, 13.5413162 52.6462487, 13.5416995 52.64634, 13.5423446 52.6464911, 13.5432344 52.6466903, 13.5434999 52.6467498, 13.5435848 52.6467688)",
"[532202137, 14123150]","['Brennerstraße', 'Hamburger Straße']",residential,30,False,False,120.348,,"LINESTRING (13.5411456 52.645027, 13.5414028 52.6445617, 13.5417941 52.6440199)",5.05
14123150,Brennerstraße,residential,30,False,True,129.434,,"LINESTRING (13.5411456 52.645027, 13.5409568 52.6453265, 13.5408884 52.6455, 13.5408764 52.6455305, 13.5408482 52.6456199, 13.5407901 52.6458753, 13.5407737 52.6461599)",5.05
14123221,Meraner Straße,residential,30,False,False,129.115,,"LINESTRING (13.5411456 52.645027, 13.5402852 52.6448479, 13.5393354 52.6446503)",
"[1205158576, 14123221]",Meraner Straße,residential,30,False,True,223.25199999999995,,"LINESTRING (13.5411456 52.645027, 13.5419016 52.6451888, 13.542254 52.6452642, 13.5423792 52.645291, 13.5424581 52.6453079, 13.5426275 52.6453441, 13.542675 52.6453543, 13.5429035 52.6454039, 13.5429578 52.6454158, 13.5431891 52.6454662, 13.5434435 52.6455217, 13.543615 52.6455591, 13.5441321 52.6456712, 13.5442634 52.6456997)",
"[15742801, 1205158582]",Baseler Straße,residential,30,False,False,154.58200000000002,,"LINESTRING (13.5445691 52.6484929, 13.5446161 52.6484063, 13.5449213 52.6478641, 13.545053 52.6476489, 13.5451333 52.6475135, 13.5453305 52.6471818)",
15742801,Baseler Straße,residential,30,False,True,195.896,,"LINESTRING (13.5445691 52.6484929, 13.544528 52.6485652, 13.5443242 52.6489196, 13.5441676 52.6491979, 13.5441136 52.6492991, 13.5440228 52.6494596, 13.5438178 52.6498052, 13.5437644 52.6498516, 13.5433984 52.649995, 13.5433293 52.650025)",
1205158579,Bozener Straße,residential,30,False,True,43.274,,"LINESTRING (13.5445691 52.6484929, 13.5444362 52.6484598, 13.5440552 52.6483315, 13.544001 52.6483132)",5.5
"[15742757, 1083955239]",Schwanebecker Straße,residential,30,False,True,166.78300000000002,,"LINESTRING (13.5416942 52.6498682, 13.5420983 52.6502595, 13.5420847 52.6503209, 13.5420244 52.6503732, 13.5419645 52.6503809, 13.5414976 52.6504412, 13.5416098 52.650068, 13.5416942 52.6498682)",
"[15742757, 1083955239]",Schwanebecker Straße,residential,30,False,False,166.783,,"LINESTRING (13.5416942 52.6498682, 13.5416098 52.650068, 13.5414976 52.6504412, 13.5419645 52.6503809, 13.5420244 52.6503732, 13.5420847 52.6503209, 13.5420983 52.6502595, 13.5416942 52.6498682)",
1083955238,Schwanebecker Straße,residential,30,False,True,43.36,,"LINESTRING (13.5416942 52.6498682, 13.5418442 52.6495333, 13.5418627 52.6494919)",
15742783,Luzerner Straße,residential,30,False,False,67.55199999999999,,"LINESTRING (13.5443153 52.6477364, 13.5440482 52.6482234, 13.544001 52.6483132)",
15742783,Luzerner Straße,residential,30,False,False,275.485,,"LINESTRING (13.544001 52.6483132, 13.5439547 52.6483976, 13.543892 52.6485073, 13.5438372 52.6485768, 13.5437974 52.6485986, 13.5437402 52.6486044, 13.5431584 52.648475, 13.5431076 52.6484889, 13.5428602 52.6488624, 13.5426084 52.6492785, 13.5426064 52.6493164, 13.5427234 52.6494377, 13.5428687 52.649581, 13.5432503 52.6499676, 13.5433079 52.6500091, 13.5433293 52.650025)",
15742783,Luzerner Straße,residential,30,False,True,67.55199999999999,,"LINESTRING (13.544001 52.6483132, 13.5440482 52.6482234, 13.5443153 52.6477364)",
1205158579,Bozener Straße,residential,30,False,False,43.274,,"LINESTRING (13.544001 52.6483132, 13.5440552 52.6483315, 13.5444362 52.6484598, 13.5445691 52.6484929)",5.5
1205158579,Bozener Straße,residential,30,False,True,88.203,,"LINESTRING (13.544001 52.6483132, 13.5439424 52.648294, 13.54357 52.6481716, 13.543264 52.6480663, 13.5429705 52.6479747, 13.5429434 52.6479663, 13.542846 52.6479425)",5.5
15742783,Luzerner Straße,residential,30,False,True,275.48499999999996,,"LINESTRING (13.5433293 52.650025, 13.5433079 52.6500091, 13.5432503 52.6499676, 13.5428687 52.649581, 13.5427234 52.6494377, 13.5426064 52.6493164, 13.5426084 52.6492785, 13.5428602 52.6488624, 13.5431076 52.6484889, 13.5431584 52.648475, 13.5437402 52.6486044, 13.5437974 52.6485986, 13.5438372 52.6485768, 13.543892 52.6485073, 13.5439547 52.6483976, 13.544001 52.6483132)",
