osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
158260300,2,Lange Straße,tertiary,30,False,False,222.96900000000002,"LINESTRING (7.9627843 48.0959582, 7.9634183 48.0962864, 7.9635669 48.0963515, 7.9637591 48.0964356, 7.9640583 48.0965665, 7.9644857 48.096721, 7.9649157 48.0969018, 7.965262 48.0970841)",,
158260300,2,Lange Straße,tertiary,30,False,True,67.503,"LINESTRING (7.9627843 48.0959582, 7.9625418 48.0958039, 7.9623533 48.0956821, 7.9622234 48.0955722, 7.9621643 48.0955166)",,
32024023,,Moltkestraße,residential,30,False,True,100.414,"LINESTRING (7.9637261 48.0946873, 7.9645667 48.0953946)",,6.9
32024023,,Moltkestraße,residential,30,False,False,96.538,"LINESTRING (7.9637261 48.0946873, 7.9631585 48.0941247, 7.9631137 48.0940803, 7.9630018 48.0939664)",,6.9
107825715,,Bismarckstraße,residential,30,False,False,147.215,"LINESTRING (7.9637261 48.0946873, 7.9630568 48.0950037, 7.9630024 48.0950307, 7.9621238 48.0954666)",,5.8
107825715,,Bismarckstraße,residential,30,False,True,100.37700000000001,"LINESTRING (7.9637261 48.0946873, 7.9641338 48.0944876, 7.9648388 48.0941753)",,5.8
32024023,,Moltkestraße,residential,30,False,True,96.53800000000001,"LINESTRING (7.9630018 48.0939664, 7.9631137 48.0940803, 7.9631585 48.0941247, 7.9637261 48.0946873)",,6.9
145813974,,Damenstraße,residential,30,False,False,134.194,"LINESTRING (7.9630018 48.0939664, 7.962932 48.0939995, 7.9623391 48.0942833, 7.9619637 48.0944557, 7.9615443 48.0946789)",,
145813974,,Damenstraße,residential,30,False,True,113.776,"LINESTRING (7.9630018 48.0939664, 7.9632269 48.0938478, 7.9636167 48.0936247, 7.9641108 48.0933599, 7.9641876 48.0933188)",,
"[223027531, 223381723]",,An der Arche,residential,30,False,False,57.506,"LINESTRING (7.9553038 48.0962636, 7.9550968 48.09608, 7.9550406 48.0960302, 7.9548164 48.0958623)",,
30502535,,Friedhofstraße,residential,30,False,True,147.731,"LINESTRING (7.9671681 48.0957872, 7.9669868 48.0957281, 7.9668263 48.0956607, 7.9666247 48.09555, 7.9663136 48.0953547, 7.9656636 48.0949294)",,
145465201,,Theodor-Heuss-Straße,residential,30,False,False,92.269,"LINESTRING (7.9671681 48.0957872, 7.9670005 48.0958958, 7.9665493 48.0962337, 7.9663143 48.0963894)",,
184780049,,Schlettstadtallee,residential,30,True,False,8.72,"LINESTRING (7.9599221 48.0945121, 7.9598652 48.09451, 7.9598091 48.094495)",,
223399501,,Schlettstadtallee,residential,30,False,True,11.392,"LINESTRING (7.9599221 48.0945121, 7.9600002 48.0945016, 7.9600576 48.0944707)",,
"[61130432, 907912679]",,Beethovenstraße,residential,30,False,True,105.687,"LINESTRING (7.9574662 48.0943654, 7.9572352 48.0943928, 7.9571108 48.0943931, 7.9566908 48.0943849, 7.9562549 48.0943699, 7.9560476 48.0943658)",,
"[145819304, 30499890, 69436958]",2,Adenauerstraße,residential,30,False,False,53.199999999999996,"LINESTRING (7.9574662 48.0943654, 7.9574667 48.0944269, 7.9574962 48.094809, 7.9575006 48.0948432)",yes,
777555251,,Adenauerstraße,residential,30,False,True,82.457,"LINESTRING (7.9574662 48.0943654, 7.9574671 48.0943284, 7.9574746 48.0940051, 7.9574755 48.0939686, 7.9574879 48.093624)",,
32024022,,Sägematte,residential,30,False,False,265.905,"LINESTRING (7.9659787 48.0979693, 7.9657356 48.0980127, 7.9656711 48.0980252, 7.9654716 48.0980452, 7.9653452 48.0980578, 7.965164 48.0980375, 7.9649778 48.0979897, 7.9649131 48.0979695, 7.9648778 48.0979585, 7.9627439 48.0971701)",,
"[935721504, 529359012]",2,Lange Straße,tertiary,"['50', '30']",False,True,41.82900000000001,"LINESTRING (7.9659787 48.0979693, 7.9658764 48.0977773, 7.965816 48.0976502, 7.9657988 48.0976129)",,
32024022,,Sägematte,residential,30,False,True,265.90500000000003,"LINESTRING (7.9627439 48.0971701, 7.9648778 48.0979585, 7.9649131 48.0979695, 7.9649778 48.0979897, 7.965164 48.0980375, 7.9653452 48.0980578, 7.9654716 48.0980452, 7.9656711 48.0980252, 7.9657356 48.0980127, 7.9659787 48.0979693)",,
145465199,,Moltkestraße,living_street,,False,False,47.45,"LINESTRING (7.9655338 48.0959311, 7.9650544 48.095649)",,
145819311,,Moltkestraße,living_street,,False,False,45.943,"LINESTRING (7.9655338 48.0959311, 7.9651333 48.096246)",,
145465199,,Moltkestraße,living_street,,False,True,77.18299999999999,"LINESTRING (7.9655338 48.0959311, 7.9660284 48.0962177, 7.9663143 48.0963894)",,
145819311,,Moltkestraße,living_street,,False,True,45.943,"LINESTRING (7.9651333 48.096246, 7.9655338 48.0959311)",,
32024025,,Theodor-Heuss-Straße,residential,30,False,True,112.07900000000001,"LINESTRING (7.965262 48.0970841, 7.96542 48.0969125, 7.9656398 48.0967114, 7.965821 48.0965986, 7.9659134 48.0965411, 7.9663143 48.0963894)",,
"[935721505, 976800890, 158260300]",2,Lange Straße,tertiary,"['50', '30']",False,False,71.88799999999999,"LINESTRING (7.965262 48.0970841, 7.9654554 48.0972159, 7.9656148 48.0973496, 7.9656799 48.0974288, 7.9657353 48.097507, 7.9657632 48.0975465, 7.9657988 48.0976129)",,
