osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,tunnel
433220762,,Kirchplatz,residential,,False,True,32.814,"LINESTRING (13.1275559 48.9699693, 13.1274708 48.9700644, 13.1273999 48.9701436, 13.1273596 48.9702327)",,,
157329358,,Pfleggasse,residential,30,False,False,82.439,"LINESTRING (13.1256969 48.9701872, 13.1250528 48.9707962)",,,
127554528,,Schulgasse,residential,,False,False,102.003,"LINESTRING (13.1256969 48.9701872, 13.1252512 48.9700325, 13.124954 48.9699752, 13.1246605 48.9699196, 13.1243899 48.9698777)",,,
157329358,,Pfleggasse,residential,30,False,True,39.439,"LINESTRING (13.1256969 48.9701872, 13.1258408 48.9701529, 13.1259881 48.9700045, 13.1260521 48.9699399)",,,
157329314,,Kirchplatz,tertiary,,False,False,93.68599999999999,"LINESTRING (13.1273596 48.9702327, 13.1274255 48.9702851, 13.1274657 48.970359, 13.1274871 48.9705614, 13.1275143 48.9707202, 13.1275271 48.9707631, 13.1275543 48.9708047, 13.1276076 48.9708432, 13.1278507 48.9709507)",,,
157329314,,Kirchplatz,tertiary,,False,True,75.363,"LINESTRING (13.1273596 48.9702327, 13.1272422 48.9702233, 13.127155 48.970238, 13.12707 48.970266, 13.1270143 48.9702969, 13.1269016 48.9703494, 13.126838 48.9703779, 13.1267031 48.9703795, 13.1265784 48.9703528, 13.1264104 48.970321)",,,
433220762,,Kirchplatz,residential,,False,False,32.814,"LINESTRING (13.1273596 48.9702327, 13.1273999 48.9701436, 13.1274708 48.9700644, 13.1275559 48.9699693)",,,
157328890,,Bachgasse,residential,30,False,False,272.86400000000003,"LINESTRING (13.1264104 48.970321, 13.1263869 48.9703987, 13.1263564 48.9707741, 13.1264336 48.9708878, 13.1267228 48.9710809, 13.1266492 48.97118, 13.1264138 48.9715553, 13.1263549 48.9717059, 13.126299 48.9719602, 13.1262586 48.9723099, 13.1262507 48.9723331, 13.1262274 48.9723474, 13.126199 48.972357, 13.1260206 48.9724197, 13.1258476 48.9724737)",,,
157329314,,Kirchplatz,tertiary,,False,False,75.363,"LINESTRING (13.1264104 48.970321, 13.1265784 48.9703528, 13.1267031 48.9703795, 13.126838 48.9703779, 13.1269016 48.9703494, 13.1270143 48.9702969, 13.12707 48.970266, 13.127155 48.970238, 13.1272422 48.9702233, 13.1273596 48.9702327)",,,
"[234724121, 621629483]",2,Stadtplatz,tertiary,20,False,True,71.96000000000001,"LINESTRING (13.1264104 48.970321, 13.1264442 48.9701891, 13.1265639 48.9699209, 13.1266173 48.96984, 13.1266307 48.9698197, 13.126719 48.9697105)",,,
