osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,junction
670696474,,,Burgstraße,secondary,30,False,False,30.739,"LINESTRING (9.0908162 49.0405434, 9.0907986 49.0408196)",,,
145127664,,,Schloßstraße,residential,30,False,True,100.215,"LINESTRING (9.0908162 49.0405434, 9.0916019 49.0405364, 9.0917534 49.0405062, 9.0919227 49.0405085, 9.0921054 49.0405151, 9.0921727 49.0405415)",,,
36795634,,,Grabengasse,residential,30,False,True,126.70000000000002,"LINESTRING (9.0922604 49.04165, 9.0922728 49.0414126, 9.0922456 49.0409162, 9.0922279 49.0407973, 9.092181 49.0407964, 9.0921727 49.0405415)",,,
145127659,,,Michaelsbergstraße,residential,30,False,False,111.60399999999998,"LINESTRING (9.0922604 49.04165, 9.0921792 49.0416528, 9.0918965 49.0416564, 9.0915141 49.0416662, 9.0914262 49.0416775, 9.0912433 49.0417184, 9.0910724 49.0417404, 9.0908329 49.0417698, 9.0907506 49.0417799)",,,
11850209,,,Keplerstraße,residential,30,False,False,99.527,"LINESTRING (9.086722 49.0407504, 9.0866522 49.0416443)",,,
11850209,,,Keplerstraße,residential,30,False,True,159.699,"LINESTRING (9.086722 49.0407504, 9.0868434 49.0393164)",,,
37194843,,,Weststraße,residential,30,False,False,73.006,"LINESTRING (9.086722 49.0407504, 9.0877218 49.0407895)",,,
7956184,,K 1680,Cleebronner Straße,secondary,50,False,False,5.504,"LINESTRING (9.0896156 49.0418045, 9.0895403 49.0418008)",,,
37194847,,,Kernerstraße,residential,30,False,True,109.307,"LINESTRING (9.0896156 49.0418045, 9.0896391 49.0408216)",,,
7956184,,K 1680,Cleebronner Straße,secondary,50,False,True,82.61699999999999,"LINESTRING (9.0896156 49.0418045, 9.090041 49.0418121, 9.0907488 49.0418197)",,,
7956184,,K 1680,Cleebronner Straße,secondary,50,False,False,68.478,"LINESTRING (9.0876489 49.0416901, 9.0867117 49.0416472)",,,
7956184,,K 1680,Cleebronner Straße,secondary,50,False,True,69.999,"LINESTRING (9.0876489 49.0416901, 9.0886044 49.0417533)",,,
37194850,,,Friedenstraße,residential,30,False,True,100.283,"LINESTRING (9.0876489 49.0416901, 9.0877218 49.0407895)",,,
37194843,,,Weststraße,residential,30,False,True,84.517,"LINESTRING (9.0907986 49.0408196, 9.0896391 49.0408216)",,,
670696474,,,Burgstraße,secondary,30,False,True,30.739,"LINESTRING (9.0907986 49.0408196, 9.0908162 49.0405434)",,,
168054498,2,,Burgstraße,secondary,30,False,False,106.839,"LINESTRING (9.0907986 49.0408196, 9.0907839 49.0411808, 9.0907506 49.0417799)",,,
89882432,,,Kernerstraße,residential,30,False,True,95.373,"LINESTRING (9.0895349 49.0426585, 9.0895403 49.0418008)",,,
25048226,,,Karlstraße,residential,30,False,False,209.005,"LINESTRING (9.0895349 49.0426585, 9.0889862 49.0426495, 9.0885579 49.0426425, 9.0881266 49.0426355, 9.0875359 49.0426258, 9.0874975 49.0426252, 9.0866683 49.0426117)",,,
25048226,,,Karlstraße,residential,30,False,True,84.17,"LINESTRING (9.0895349 49.0426585, 9.0900087 49.0426661, 9.0906895 49.0426706)",,,
37592152,,,Meimsheimer Straße,residential,,False,True,101.887,"LINESTRING (9.0929377 49.045404, 9.0930719 49.0454364, 9.0932619 49.0454518, 9.0935541 49.0454976, 9.0937677 49.0455724, 9.0942796 49.0456355)",,,
"[801515877, 801515878]",,L 1107,Meimsheimer Straße,secondary,30,False,True,270.13100000000003,"LINESTRING (9.0929377 49.045404, 9.0931107 49.044887, 9.0933265 49.0442843, 9.0934302 49.043984, 9.0934771 49.0438231, 9.0935091 49.0436722, 9.0935388 49.0434126, 9.0935495 49.0430988, 9.0935516 49.0430161)",,,
37194843,,,Weststraße,residential,30,False,False,69.185,"LINESTRING (9.0877218 49.0407895, 9.0886708 49.0408008)",,,
37194843,,,Weststraße,residential,30,False,True,73.006,"LINESTRING (9.0877218 49.0407895, 9.086722 49.0407504)",,,
37194850,,,Friedenstraße,residential,30,False,False,100.283,"LINESTRING (9.0877218 49.0407895, 9.0876489 49.0416901)",,,
37194850,,,Friedenstraße,residential,30,False,True,141.395,"LINESTRING (9.0877218 49.0407895, 9.0878634 49.0395213)",,,
