osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,width
"[24329076, 137536156, 27077612]",,"['Am Graben', 'Kardinal-Preysing-Platz']",residential,30,False,"[False, True]",209.668,,"LINESTRING (11.1879066 48.8926359, 11.1878936 48.8925245, 11.1878693 48.8924065, 11.1877754 48.8921658, 11.1876225 48.8917999, 11.1875095 48.8915823, 11.1871907 48.8911094, 11.1870649 48.8908423)",,
"[137536157, 137536895]",,Am Graben,residential,30,False,False,78.791,,"LINESTRING (11.1879066 48.8926359, 11.1879065 48.8928273, 11.1879001 48.8928673, 11.1876579 48.8933169)",,
"[27077552, 445499555]",,Pfahlstraße,residential,30,True,False,85.818,,"LINESTRING (11.1829944 48.8944934, 11.1830084 48.8942792, 11.1830577 48.8941206, 11.1832086 48.8937829, 11.1832286 48.8937414)",,
137475360,,Westenstraße,residential,30,False,True,51.913,,"LINESTRING (11.1829944 48.8944934, 11.1829682 48.8945559, 11.1828009 48.894913, 11.1827881 48.8949401)",,
27077602,,Westenstraße,residential,30,True,False,4.836,,"LINESTRING (11.183625 48.8938595, 11.1835915 48.893897)",,
26203522,,Fischergasse,residential,30,True,False,31.816,,"LINESTRING (11.183625 48.8938595, 11.1835311 48.8938315, 11.1832286 48.8937414)",,
"[153023304, 153004139, 1255988175, 137554128, 68248978, 26813209, 27077599]",,"['Pater-Philipp-Jeningen-Platz', 'Domplatz', 'Marktplatz']",residential,30,False,"[False, True]",406.366,,"LINESTRING (11.183625 48.8938595, 11.1837516 48.8936182, 11.1838475 48.8934171, 11.1838549 48.893375, 11.1838491 48.8933288, 11.183822 48.893258, 11.1837824 48.8931552, 11.1836859 48.8929516, 11.1836085 48.8927996, 11.1835638 48.8926594, 11.1835244 48.8925281, 11.1834968 48.8924523, 11.183632 48.8924132, 11.1837685 48.8923762, 11.1838936 48.8923457, 11.1841308 48.8922879, 11.1843545 48.8922304, 11.1846892 48.8921398, 11.1846859 48.891984, 11.1846683 48.8917526, 11.1845953 48.8913745, 11.1845764 48.8912997, 11.1848765 48.891185, 11.1852505 48.8910611)",,7
"[39271416, 114373247]",,Pfahlstraße,residential,30,True,False,193.09799999999998,,"LINESTRING (11.1832286 48.8937414, 11.183244 48.8936421, 11.1832063 48.8935317, 11.1831917 48.8934948, 11.183157 48.8933793, 11.1831163 48.8933171, 11.1830578 48.8932572, 11.1829203 48.8929938, 11.1828929 48.8929401, 11.1827776 48.8927636, 11.1826941 48.8925575, 11.1825653 48.8922127, 11.182533 48.8920811)",,
"[68248977, 26595297]",,Am Graben,residential,30,False,"[False, True]",50.800999999999995,,"LINESTRING (11.1885302 48.8924357, 11.1883955 48.8924893, 11.188038 48.8925935, 11.1879066 48.8926359)",,
27077565,,Büttelgasse,residential,30,False,False,62.699,,"LINESTRING (11.1845915 48.8944979, 11.1840174 48.894079)",,
27077562,,Webergasse,residential,30,False,False,53.311,,"LINESTRING (11.1845915 48.8944979, 11.1844098 48.8947084, 11.1841658 48.8948834)",,
27077562,,Webergasse,residential,30,False,True,152.44,,"LINESTRING (11.1845915 48.8944979, 11.1852427 48.8941307, 11.1857183 48.8938945, 11.1862715 48.8936946)",,
27077562,,Webergasse,residential,30,False,False,37.21,,"LINESTRING (11.1841658 48.8948834, 11.1840578 48.8949772, 11.1839741 48.8950659, 11.1839367 48.8951758)",,
27077562,,Webergasse,residential,30,False,True,53.311,,"LINESTRING (11.1841658 48.8948834, 11.1844098 48.8947084, 11.1845915 48.8944979)",,
27077564,,Turmgasse,residential,30,False,True,68.69200000000001,,"LINESTRING (11.1841658 48.8948834, 11.1839243 48.8947202, 11.183862 48.8946451, 11.1835032 48.8944525)",,
27077562,,Webergasse,residential,30,False,True,37.209999999999994,,"LINESTRING (11.1839367 48.8951758, 11.1839741 48.8950659, 11.1840578 48.8949772, 11.1841658 48.8948834)",,
27077564,,Turmgasse,residential,30,False,False,68.69200000000001,,"LINESTRING (11.1835032 48.8944525, 11.183862 48.8946451, 11.1839243 48.8947202, 11.1841658 48.8948834)",,
83597591,,Pedettistraße,residential,30,True,False,88.667,,"LINESTRING (11.1835032 48.8944525, 11.1832666 48.8948159, 11.1830534 48.8949873, 11.1827881 48.8949401)",,
27077563,,Pedettistraße,residential,30,False,True,11.34,,"LINESTRING (11.1838897 48.8941369, 11.1840174 48.894079)",,
83597591,,Pedettistraße,residential,30,True,False,45.054,,"LINESTRING (11.1838897 48.8941369, 11.1835032 48.8944525)",,
27077563,,Pedettistraße,residential,30,False,False,40.414,,"LINESTRING (11.1844644 48.8938654, 11.1842822 48.8939587, 11.1840174 48.894079)",,
27077563,,Pedettistraße,residential,30,False,True,114.721,,"LINESTRING (11.1844644 48.8938654, 11.1849196 48.8936664, 11.1857951 48.893319)",,
27077567,,Traubengäßchen,residential,30,True,False,37.824,,"LINESTRING (11.1844644 48.8938654, 11.1841956 48.8936313, 11.1841527 48.8935939)",,
27077563,,Pedettistraße,residential,30,False,False,114.721,,"LINESTRING (11.1857951 48.893319, 11.1849196 48.8936664, 11.1844644 48.8938654)",,
