osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,bridge
23160967,2,,Gubener Straße,secondary,50,False,False,36.066,"LINESTRING (14.4154396 51.8623174, 14.4156855 51.862604)",,
178765688,2,L 50,Gubener Straße,secondary,50,False,True,428.951,"LINESTRING (14.4154396 51.8623174, 14.4143289 51.8611099, 14.4141815 51.8609562, 14.4139515 51.8607126, 14.4130077 51.8597958, 14.4122213 51.8590122)",,
23160967,2,,Gubener Straße,secondary,50,False,True,36.066,"LINESTRING (14.4156855 51.862604, 14.4154396 51.8623174)",,
23160965,,,Grüner Weg,unclassified,,False,True,122.97699999999999,"LINESTRING (14.4156855 51.862604, 14.4154287 51.8625651, 14.4140006 51.8622322)",,
665309965,,,Dammzollstraße,residential,,False,True,43.187,"LINESTRING (14.4177887 51.8548892, 14.4171975 51.8550215)",,
665309965,,,Dammzollstraße,residential,,False,False,43.187,"LINESTRING (14.4171975 51.8550215, 14.4177887 51.8548892)",,
"[150930536, 143399437, 175275835, 665309965]",,,Dammzollstraße,residential,30,False,True,312.041,"LINESTRING (14.4171975 51.8550215, 14.4154035 51.8554351, 14.4144588 51.8556496, 14.4143562 51.8556718, 14.4140558 51.8557354, 14.4139765 51.8557517, 14.4129212 51.8559686)",,yes
150930545,,,Schulstraße,residential,30,False,False,142.55700000000002,"LINESTRING (14.4129212 51.8559686, 14.4129389 51.856018, 14.4129503 51.85605, 14.4131425 51.8565905, 14.4133165 51.8572268)",,
"[150930536, 665309965, 175275835, 143399437]",,,Dammzollstraße,residential,30,False,False,312.041,"LINESTRING (14.4129212 51.8559686, 14.4139765 51.8557517, 14.4140558 51.8557354, 14.4143562 51.8556718, 14.4144588 51.8556496, 14.4154035 51.8554351, 14.4171975 51.8550215)",,yes
"[150931596, 143312825, 1239916724]",,,Dammzollstraße,residential,"['50', '30']",False,True,153.27100000000002,"LINESTRING (14.4129212 51.8559686, 14.4127892 51.8559916, 14.4122149 51.8560917, 14.4118019 51.8561744, 14.411562 51.856221, 14.4112136 51.8563044, 14.4109561 51.8563768, 14.4108285 51.8564318)",,
203865859,2,B 168,Hauptstraße,primary,50,False,False,6.288,"LINESTRING (14.4110077 51.8570866, 14.4110215 51.8571425)",,
23842126,2,B 168,Jahnplatz,primary,50,False,True,73.886,"LINESTRING (14.4110077 51.8570866, 14.4109749 51.856908, 14.4109032 51.8566875, 14.4108689 51.8565687, 14.4108285 51.8564318)",,
150930558,,,Wallstraße,residential,30,True,False,132.435,"LINESTRING (14.4110077 51.8570866, 14.411122 51.8570817, 14.4112607 51.8570736, 14.4124463 51.8570043, 14.4125164 51.8570165, 14.4127597 51.8572209)",,
52286299,,,Schulstraße,residential,,False,True,45.025,"LINESTRING (14.414844 51.8570906, 14.4154923 51.8570303)",,
150930550,,,Schulstraße,residential,,False,True,358.817,"LINESTRING (14.414844 51.8570906, 14.4151689 51.858218, 14.4154781 51.8592527, 14.4158542 51.8596124, 14.4158876 51.8596668, 14.4158876 51.8597192, 14.415742 51.8598916, 14.4157494 51.8600108, 14.4157603 51.8601878)",,
665309966,,,Schulstraße,residential,30,False,True,105.993,"LINESTRING (14.414844 51.8570906, 14.4142908 51.8571406, 14.4135216 51.85721, 14.4133165 51.8572268)",,
