osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,tunnel,access
26262958,False,,Johann-Sebastian-Bach-Straße,residential,7,True,155.382,"LINESTRING (10.7312501 50.4249884, 10.7314294 50.424956, 10.7316353 50.4248756, 10.7317422 50.4248179, 10.7317341 50.4247697, 10.7316899 50.4246628, 10.73159 50.4246262, 10.7314468 50.4246162, 10.7311829 50.4246614, 10.7310535 50.4246877, 10.7309057 50.4247, 10.7308823 50.42477, 10.7310199 50.4250403)",,,,
"[26328720, 26262995]",False,,Am Schloßberg,"['living_street', 'residential']",,"[False, True]",67.681,"LINESTRING (10.7280807 50.425435, 10.7281698 50.4256245, 10.7282658 50.425854, 10.728298 50.4259328, 10.728328 50.4260227)",,,,
"[174511083, 1267902335]",False,,Johann-Sebastian-Bach-Platz,living_street,,False,92.438,"LINESTRING (10.7280807 50.425435, 10.727813 50.4254778, 10.7274359 50.4255693, 10.7273436 50.4255916, 10.7268658 50.4257327)",,5.8,,
"[1013163411, 1033004606]",False,,Johann-Sebastian-Bach-Straße,residential,7,True,214.098,"LINESTRING (10.7280807 50.425435, 10.728901 50.4253552, 10.7289732 50.4253486, 10.7299208 50.4252908, 10.7301994 50.4252331, 10.7304461 50.4251789, 10.7306861 50.42512, 10.7310199 50.4250403)",,5,,
89154542,False,,Oberer Kapellenstieg,residential,,False,8.272,"LINESTRING (10.7324746 50.4239243, 10.732586 50.423902)",,,,
"[295434049, 1134498537, 45857028]",False,"['2', '3']",Coburger Straße,primary,50,"[False, True]",145.40699999999998,"LINESTRING (10.7324746 50.4239243, 10.7325339 50.4240642, 10.7325538 50.424143, 10.732561 50.4242089, 10.732558 50.4242729, 10.7325311 50.4243733, 10.7324802 50.4244944, 10.7324211 50.424635, 10.7323997 50.4247302, 10.7323962 50.4247951, 10.7324098 50.4248796, 10.7324343 50.4249547, 10.7324648 50.4250299, 10.7324819 50.4250653, 10.7325564 50.4251998)",B 89,,,
45857028,False,2,Coburger Straße,primary,50,True,37.303,"LINESTRING (10.7324746 50.4239243, 10.7324212 50.4238067, 10.7324109 50.4237827, 10.7323302 50.4236017)",B 89,,,
38490599,False,,Helenenstraße,residential,50,True,191.492,"LINESTRING (10.7313305 50.4242156, 10.7312554 50.4241109, 10.7310313 50.4234211, 10.7309043 50.4230141, 10.7308236 50.4226689, 10.7307543 50.4225375)",,,,
"[198507817, 299645277]",False,2,Clara-Zetkin-Straße,secondary,30,False,99.386,"LINESTRING (10.7313305 50.4242156, 10.731504 50.4240893, 10.7319188 50.4238079, 10.7320792 50.4236973, 10.7321462 50.4236562, 10.7322078 50.4236304, 10.7322761 50.4236132, 10.7323302 50.4236017)",,,,
"[198507817, 198507818, 527153295]",False,2,Clara-Zetkin-Straße,secondary,30,True,328.28099999999995,"LINESTRING (10.7313305 50.4242156, 10.7312392 50.4242821, 10.7311268 50.4243316, 10.7307984 50.4243883, 10.7304492 50.4244372, 10.7285641 50.4246992, 10.728386 50.4247264, 10.7276806 50.4248272, 10.7274247 50.4248631, 10.7271066 50.4249117, 10.7270098 50.4249531, 10.726918 50.425002)",,,,
