osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction,maxspeed,bridge,width
30666575,False,2,Hügelheimer Straße,residential,False,88.709,"LINESTRING (7.6216353 47.812183, 7.6215146 47.8123976, 7.6213843 47.8126313, 7.6212219 47.8129309)",,,,,
30666575,False,2,Hügelheimer Straße,residential,True,106.47800000000001,"LINESTRING (7.6216353 47.812183, 7.6216691 47.8121229, 7.6218277 47.8118193, 7.6219653 47.8115073, 7.6219981 47.8114114, 7.6220457 47.8112671)",,,,,
27410751,False,,Kantstraße,residential,True,71.174,"LINESTRING (7.6237808 47.8123404, 7.6234735 47.8117345)",,,,,
27410754,False,,Leibnizstraße,residential,False,203.337,"LINESTRING (7.6237808 47.8123404, 7.6224799 47.812733, 7.6220803 47.8128312, 7.6216954 47.8128807, 7.6212219 47.8129309)",,,,,
28617088,False,,Kantstraße,residential,False,57.853,"LINESTRING (7.6237808 47.8123404, 7.6241033 47.812751, 7.6241531 47.812796)",,,,,
27410756,True,3,Kinzigstraße,residential,False,18.740000000000002,"LINESTRING (7.620825 47.8141368, 7.6207782 47.8140897, 7.6207582 47.8139786)",,,,,
"[319887660, 319887661]",False,"['2', '3']",Kinzigstraße,residential,False,31.119999999999997,"LINESTRING (7.620825 47.8141368, 7.6208342 47.8141756, 7.6208508 47.814245, 7.6208894 47.8143063, 7.6209445 47.8144032)",,,,,
27410762,False,,Im Nußbaumboden,residential,False,382.2219999999999,"LINESTRING (7.6209445 47.8144032, 7.6212193 47.8143187, 7.6213638 47.8142762, 7.622967 47.8137701, 7.6235713 47.8135309, 7.6237685 47.8134401, 7.6240536 47.8133876, 7.6242574 47.813644, 7.6243587 47.8137919, 7.6244429 47.8139147, 7.624781 47.8143826)",,,30,,
"[319887660, 319887661]",False,"['2', '3']",Kinzigstraße,residential,True,31.12,"LINESTRING (7.6209445 47.8144032, 7.6208894 47.8143063, 7.6208508 47.814245, 7.6208342 47.8141756, 7.620825 47.8141368)",,,,,
27410762,False,,Im Nußbaumboden,residential,True,382.222,"LINESTRING (7.624781 47.8143826, 7.6244429 47.8139147, 7.6243587 47.8137919, 7.6242574 47.813644, 7.6240536 47.8133876, 7.6237685 47.8134401, 7.6235713 47.8135309, 7.622967 47.8137701, 7.6213638 47.8142762, 7.6212193 47.8143187, 7.6209445 47.8144032)",,,30,,
27410769,False,,Bärenfelsstraße,residential,False,103.51,"LINESTRING (7.624781 47.8143826, 7.6249089 47.8143486, 7.6260354 47.8139869)",,,,,
27410769,False,,Bärenfelsstraße,residential,False,233.747,"LINESTRING (7.6260354 47.8139869, 7.6263928 47.813878, 7.6268219 47.8137496, 7.6272422 47.8136375, 7.627442 47.8135637, 7.6278001 47.8134497, 7.6283453 47.8132762, 7.6288816 47.813114)",,,,,
27410769,False,,Bärenfelsstraße,residential,True,103.51,"LINESTRING (7.6260354 47.8139869, 7.6249089 47.8143486, 7.624781 47.8143826)",,,,,
28617089,False,,Schillerstraße,residential,False,174.986,"LINESTRING (7.6260354 47.8139869, 7.6258106 47.8137502, 7.6255637 47.8134682, 7.6253003 47.8131182, 7.6251248 47.8129093, 7.6250664 47.8128374, 7.6249424 47.8126626, 7.6249094 47.8126087)",,,30,,
30878996,False,,Schlossmattweg,residential,True,66.874,"LINESTRING (7.6207336 47.8072491, 7.6205813 47.8069481, 7.6202888 47.8067437)",,,,,
163983953,False,,Mühlenstraße,residential,False,93.16900000000001,"LINESTRING (7.6207336 47.8072491, 7.620439 47.8073024, 7.6200227 47.8073492, 7.6195056 47.8073883)",,,,,
163983953,False,,Mühlenstraße,residential,True,102.75,"LINESTRING (7.6207336 47.8072491, 7.6209894 47.8072084, 7.6212036 47.807145, 7.621372 47.8070804, 7.621676 47.8069479, 7.6217965 47.8068804, 7.6219152 47.8068028)",,,,,
30199355,False,,Bismarckstraße,residential,True,100.964,"LINESTRING (7.6296165 47.8099068, 7.6295125 47.8099024, 7.6292125 47.8099301, 7.628903 47.8099873, 7.6283027 47.8101016)",,,30,,
926338129,False,2,Nußbaumallee,tertiary,False,134.943,"LINESTRING (7.6296165 47.8099068, 7.6296827 47.8098188, 7.6298468 47.8096406, 7.6300044 47.8094692, 7.6302301 47.809224, 7.6304915 47.8089843, 7.6305858 47.808884)",,,,,
"[25819288, 315505602, 315505606, 934123102]",False,2,Nußbaumallee,tertiary,True,204.90599999999998,"LINESTRING (7.6296165 47.8099068, 7.6295376 47.810014, 7.6293834 47.8102045, 7.6292074 47.8104436, 7.6291842 47.8104757, 7.6291054 47.8105702, 7.6289999 47.8106754, 7.6288825 47.8107921, 7.6287886 47.8108683, 7.6286272 47.8109752, 7.628508 47.8110414, 7.6282932 47.8111408, 7.6281567 47.8112001, 7.6280414 47.8112652, 7.6279594 47.8113331)",,,,,
27540788,False,,Blankenhornstraße,residential,False,191.672,"LINESTRING (7.6283027 47.8101016, 7.6282894 47.8100499, 7.628121 47.8094248, 7.6279318 47.8088408, 7.6277934 47.8084124)",,,,,
30199355,False,,Bismarckstraße,residential,False,100.964,"LINESTRING (7.6283027 47.8101016, 7.628903 47.8099873, 7.6292125 47.8099301, 7.6295125 47.8099024, 7.6296165 47.8099068)",,,30,,
30199355,False,,Bismarckstraße,residential,True,98.78399999999999,"LINESTRING (7.6283027 47.8101016, 7.6280782 47.8101401, 7.6270273 47.8103372)",,,30,,
139539446,False,,Wehrgasse,residential,False,151.887,"LINESTRING (7.620504 47.8129492, 7.6204296 47.8127904, 7.6203213 47.8125591, 7.6202816 47.8124699, 7.6202382 47.8123722, 7.6201942 47.8122733, 7.620162 47.8121764, 7.6200417 47.8118149, 7.6199539 47.8116353)",,,30,,
139539446,False,,Wehrgasse,residential,True,63.384,"LINESTRING (7.620504 47.8129492, 7.6205344 47.8130099, 7.6206262 47.8131928, 7.6207058 47.813219, 7.6210779 47.8131767)",,,30,,
27652632,False,,Auf der Breite,residential,True,46.575,"LINESTRING (7.6259459 47.8078567, 7.6265599 47.8077833)",,,,,
