osmid,name,highway,width,oneway,reversed,length,bridge,geometry,maxspeed,lanes,ref
229207333,Südstraße,residential,6.5,False,True,122.02700000000002,,"LINESTRING (14.6112551 50.9311325, 14.611207 50.9311439, 14.6111526 50.931155, 14.6110914 50.9311658, 14.6110319 50.9311748, 14.6109686 50.9311829, 14.610898 50.9311915, 14.6108295 50.9311992, 14.6099383 50.9312903, 14.6095431 50.931325)",,,
229207333,Südstraße,residential,6.5,False,False,122.027,,"LINESTRING (14.6095431 50.931325, 14.6099383 50.9312903, 14.6108295 50.9311992, 14.610898 50.9311915, 14.6109686 50.9311829, 14.6110319 50.9311748, 14.6110914 50.9311658, 14.6111526 50.931155, 14.611207 50.9311439, 14.6112551 50.9311325)",,,
888020336,Halbendorfer Straße,residential,6,False,False,72.773,,"LINESTRING (14.6095431 50.931325, 14.609324 50.930992, 14.6091134 50.9307297)",,,
"[985249840, 24583557]",Südstraße,residential,6,False,True,55.74499999999999,,"LINESTRING (14.6095431 50.931325, 14.6093984 50.9313354, 14.6093084 50.9313429, 14.609222 50.9313507, 14.6091535 50.9313578, 14.6090879 50.931366, 14.6090319 50.9313744, 14.6089578 50.9313886, 14.608769 50.931431)",,,
27688044,Halbendorfer Straße,residential,5,False,True,178.30299999999994,,"LINESTRING (14.6091134 50.9307297, 14.6090324 50.930733, 14.6090085 50.9307331, 14.6089843 50.9307318, 14.6089617 50.9307291, 14.6083489 50.9306287, 14.6074778 50.9304801, 14.607385 50.9304607, 14.6073031 50.9304423, 14.6072277 50.9304228, 14.6071623 50.9304028, 14.6070909 50.9303778, 14.6070213 50.9303515, 14.6069547 50.9303214, 14.6068952 50.930291, 14.6068268 50.930251, 14.6067569 50.9302036)",,,
888020336,Halbendorfer Straße,residential,6,False,True,72.773,,"LINESTRING (14.6091134 50.9307297, 14.609324 50.930992, 14.6095431 50.931325)",,,
25508111,Am Großen Wehr,residential,,False,False,285.265,,"LINESTRING (14.6157403 50.9333941, 14.6157234 50.9333671, 14.6157024 50.9333375, 14.615677 50.9333087, 14.6156528 50.9332856, 14.6153111 50.9330217, 14.6152706 50.9329875, 14.6149081 50.9326641, 14.614736 50.9324997, 14.6147135 50.9324804, 14.6146926 50.9324652, 14.6146753 50.9324544, 14.6146557 50.9324442, 14.6146351 50.9324364, 14.6146169 50.9324313, 14.6145956 50.9324265, 14.6145668 50.9324207, 14.6144413 50.9323991, 14.6144191 50.932396, 14.6143972 50.9323937, 14.6143788 50.9323929, 14.614365 50.932393, 14.6143442 50.9323957, 14.6143196 50.9324009, 14.6142959 50.9324078, 14.6142718 50.9324159, 14.6142492 50.9324254, 14.6142251 50.932438, 14.6142054 50.9324507, 14.6141917 50.9324623, 14.6141808 50.932474, 14.6140494 50.9326327, 14.6137408 50.9329909, 14.6137305 50.933004, 14.6136755 50.9330739, 14.613606 50.9331684, 14.613428 50.9334147)",,,
281022244,Rumburger Straße,living_street,,False,True,168.80899999999997,,"LINESTRING (14.6157403 50.9333941, 14.6155421 50.9334158, 14.6154062 50.933428, 14.6153568 50.9334329, 14.6153163 50.9334385, 14.615277 50.9334466, 14.6152295 50.9334598, 14.6151812 50.9334766, 14.6151235 50.9334982, 14.6150629 50.9335165, 14.615006 50.9335296, 14.6149399 50.9335411, 14.6148409 50.9335524, 14.6147654 50.933561, 14.6146969 50.9335687, 14.6146241 50.9335757, 14.6145462 50.9335808, 14.61447 50.9335846, 14.6144002 50.9335862, 14.6143338 50.9335871, 14.6142528 50.9335849, 14.6141899 50.9335813, 14.6141209 50.9335756, 14.6140631 50.9335661, 14.6140056 50.9335525, 14.6139462 50.933535, 14.6138903 50.9335155, 14.6138466 50.9334994, 14.6138059 50.9334866, 14.6137662 50.9334764, 14.613428 50.9334147)",,,
281022244,Rumburger Straße,living_street,,False,False,41.18000000000001,,"LINESTRING (14.6157403 50.9333941, 14.6160694 50.9333646, 14.6163226 50.9333444)",,,
25508111,Am Großen Wehr,residential,,False,True,285.265,,"LINESTRING (14.613428 50.9334147, 14.613606 50.9331684, 14.6136755 50.9330739, 14.6137305 50.933004, 14.6137408 50.9329909, 14.6140494 50.9326327, 14.6141808 50.932474, 14.6141917 50.9324623, 14.6142054 50.9324507, 14.6142251 50.932438, 14.6142492 50.9324254, 14.6142718 50.9324159, 14.6142959 50.9324078, 14.6143196 50.9324009, 14.6143442 50.9323957, 14.614365 50.932393, 14.6143788 50.9323929, 14.6143972 50.9323937, 14.6144191 50.932396, 14.6144413 50.9323991, 14.6145668 50.9324207, 14.6145956 50.9324265, 14.6146169 50.9324313, 14.6146351 50.9324364, 14.6146557 50.9324442, 14.6146753 50.9324544, 14.6146926 50.9324652, 14.6147135 50.9324804, 14.614736 50.9324997, 14.6149081 50.9326641, 14.6152706 50.9329875, 14.6153111 50.9330217, 14.6156528 50.9332856, 14.615677 50.9333087, 14.6157024 50.9333375, 14.6157234 50.9333671, 14.6157403 50.9333941)",,,
