osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,width,ref,junction,bridge
38822770,,Kugelherrnstraße,living_street,False,True,11.627,,"LINESTRING (8.4628669 50.1831903, 8.4630285 50.1832053)",3,,,
22811448,,Karlstraße,living_street,False,False,60.571999999999996,,"LINESTRING (8.4628669 50.1831903, 8.4627193 50.1832985, 8.4624635 50.1834062, 8.4621954 50.1835183)",3,,,
38822770,,Kugelherrnstraße,living_street,False,False,36.78,,"LINESTRING (8.4628669 50.1831903, 8.4625703 50.1831262, 8.4623766 50.1830862)",3,,,
38822770,,Kugelherrnstraße,living_street,False,False,59.561,,"LINESTRING (8.4623766 50.1830862, 8.4622515 50.1831021, 8.4621042 50.1831571, 8.4619114 50.1832487, 8.4618531 50.1832915, 8.461659 50.1833423)",3,,,
38822770,,Kugelherrnstraße,living_street,False,True,36.78,,"LINESTRING (8.4623766 50.1830862, 8.4625703 50.1831262, 8.4628669 50.1831903)",3,,,
208980486,,Kugelherrnstraße,living_street,False,False,25.058,,"LINESTRING (8.4623766 50.1830862, 8.462353 50.1830568, 8.4623788 50.1829772, 8.4623891 50.1828664)",3,,,
38822770,,Kugelherrnstraße,living_street,False,True,59.56099999999999,,"LINESTRING (8.461659 50.1833423, 8.4618531 50.1832915, 8.4619114 50.1832487, 8.4621042 50.1831571, 8.4622515 50.1831021, 8.4623766 50.1830862)",3,,,
22811448,,Karlstraße,living_street,False,False,21.647,,"LINESTRING (8.4621954 50.1835183, 8.4619107 50.1835866)",3,,,
22811448,,Karlstraße,living_street,False,True,60.571999999999996,,"LINESTRING (8.4621954 50.1835183, 8.4624635 50.1834062, 8.4627193 50.1832985, 8.4628669 50.1831903)",3,,,
22811450,,Mühlgartenweg,living_street,False,False,35.243,,"LINESTRING (8.4621954 50.1835183, 8.4623674 50.1836965, 8.4624657 50.1837836)",3,,,
22811448,,Karlstraße,living_street,False,True,21.647,,"LINESTRING (8.4619107 50.1835866, 8.4621954 50.1835183)",3,,,
22811448,,Karlstraße,living_street,False,False,24.433,,"LINESTRING (8.4619107 50.1835866, 8.461681 50.1836726, 8.4616307 50.18371)",3,,,
"[22811449, 208980482]",,"['Haintürchenstraße', 'Im Eck']",living_street,False,False,53.446,,"LINESTRING (8.4619107 50.1835866, 8.4620237 50.1837398, 8.462085 50.1837866, 8.4622552 50.183806, 8.4623498 50.1838099, 8.4624657 50.1837836)","['5', '3']",,,
208980482,,Haintürchenstraße,living_street,False,False,10.734,,"LINESTRING (8.4624657 50.1837836, 8.462615 50.1837702)",5,,,
22811450,,Mühlgartenweg,living_street,False,True,35.243,,"LINESTRING (8.4624657 50.1837836, 8.4623674 50.1836965, 8.4621954 50.1835183)",3,,,
"[22811449, 208980482]",,"['Haintürchenstraße', 'Im Eck']",living_street,False,True,53.446,,"LINESTRING (8.4624657 50.1837836, 8.4623498 50.1838099, 8.4622552 50.183806, 8.462085 50.1837866, 8.4620237 50.1837398, 8.4619107 50.1835866)","['5', '3']",,,
22811451,,Berggasse,living_street,False,True,55.815,,"LINESTRING (8.4628703 50.1827163, 8.4629595 50.1828877, 8.4630044 50.1830216, 8.4630285 50.1832053)",3,,,
22811452,,Sackgasse,living_street,False,True,54.543000000000006,,"LINESTRING (8.4631578 50.1827647, 8.4633249 50.1830826, 8.4635485 50.1831422)",2.5,,,
22811460,,Heuhohlweg,residential,False,False,110.401,30,"LINESTRING (8.4685361 50.1802118, 8.4684849 50.180196, 8.4684041 50.1801577, 8.4682733 50.1800537, 8.4681123 50.1799475, 8.4677311 50.179801, 8.4673732 50.1797084, 8.4672758 50.1796605)",,,,
22933380,1,Wiesbadener Straße,residential,True,False,100.26,30,"LINESTRING (8.4685361 50.1802118, 8.468753 50.1799684, 8.4692741 50.1796054, 8.4693882 50.1794999)",3,,,
22811453,,Bahnstraße,residential,False,False,136.556,30,"LINESTRING (8.4693882 50.1794999, 8.4693427 50.1794809, 8.4691668 50.1791829, 8.4689113 50.1785677, 8.4688279 50.1784192, 8.4687517 50.1783554)",,,,
22933381,,Wiesbadener Straße,residential,False,False,64.699,30,"LINESTRING (8.4693882 50.1794999, 8.4694926 50.1794921, 8.4696222 50.1794231, 8.4698394 50.1792423, 8.4700011 50.1790969)",,,,
22811453,,Bahnstraße,residential,False,True,136.55599999999998,30,"LINESTRING (8.4687517 50.1783554, 8.4688279 50.1784192, 8.4689113 50.1785677, 8.4691668 50.1791829, 8.4693427 50.1794809, 8.4693882 50.1794999)",,,,
