osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,tunnel
3926026,True,,Maderbräustraße,residential,30,False,120.168,"LINESTRING (11.5782273 48.1362019, 11.57826 48.1363215, 11.578288 48.1364558, 11.5783277 48.1366413, 11.578413 48.1368442, 11.5785098 48.1369755, 11.5785697 48.1370568, 11.5787365 48.1372089)",,
30750673,False,2,Tal,residential,30,False,74.38600000000001,"LINESTRING (11.5782273 48.1362019, 11.5785709 48.1361334, 11.5790756 48.1360595, 11.5791971 48.1360346)",6.7,
"[247649057, 247649058, 1102913089, 3813260, 30750673, 3926385, 419267959]",False,2,"['Tal', 'Sparkassenstraße']",residential,30,"[False, True]",212.686,"LINESTRING (11.5782273 48.1362019, 11.5779458 48.136264, 11.5777507 48.1363292, 11.5776006 48.1363838, 11.5774487 48.1364425, 11.5772607 48.1365454, 11.5771957 48.1365936, 11.577272 48.1366697, 11.5773219 48.1367053, 11.5773848 48.1367523, 11.5775414 48.1368615, 11.5780856 48.1372408, 11.5782984 48.1374234)",6.7,building_passage
30737199,False,,Färbergraben,residential,30,True,42.951,"LINESTRING (11.5712067 48.1373718, 11.571217 48.1374048, 11.5713244 48.13775)",,
30823525,True,,Färbergraben,residential,30,False,18.576999999999998,"LINESTRING (11.5712067 48.1373718, 11.5712712 48.1373397, 11.5713783 48.1372517)",,
121542794,False,,Hofstatt,residential,30,False,32.671,"LINESTRING (11.5716333 48.1370558, 11.5713179 48.1368508)",,
257683431,False,,Färbergraben,residential,30,True,28.854,"LINESTRING (11.5716333 48.1370558, 11.5713783 48.1372517)",,
257683431,False,,Färbergraben,residential,30,False,31.695999999999998,"LINESTRING (11.5716333 48.1370558, 11.5717038 48.1369978, 11.571795 48.1369247, 11.5719108 48.1368392)",,
4239280,False,,Sattlerstraße,residential,30,True,46.421,"LINESTRING (11.5719108 48.1368392, 11.5719585 48.1368652, 11.5723948 48.1371037)",,
257683431,False,,Färbergraben,residential,30,True,31.695999999999998,"LINESTRING (11.5719108 48.1368392, 11.571795 48.1369247, 11.5717038 48.1369978, 11.5716333 48.1370558)",,
"[257683432, 4240773]",True,,"['Färbergraben', 'Rosental']",residential,30,False,165.07699999999997,"LINESTRING (11.5719108 48.1368392, 11.5720371 48.1367443, 11.5721215 48.1366771, 11.5727338 48.1362551, 11.5732667 48.1358845, 11.5733233 48.1358466, 11.5734454 48.1357649)",,
4016231,False,,Fürstenfelder Straße,residential,30,True,26.019,"LINESTRING (11.5723948 48.1371037, 11.5722733 48.137195, 11.5721721 48.1372842)",,
4239280,False,,Sattlerstraße,residential,30,False,46.421,"LINESTRING (11.5723948 48.1371037, 11.5719585 48.1368652, 11.5719108 48.1368392)",,
"[534107305, 30805091]",True,,"['Rindermarkt', 'Fürstenfelder Straße']",residential,30,False,195.80499999999998,"LINESTRING (11.5723948 48.1371037, 11.5725068 48.1370196, 11.5725936 48.1369528, 11.5727418 48.1368448, 11.5730953 48.1365578, 11.5732437 48.1364731, 11.5732822 48.1364609, 11.5733174 48.1364561, 11.5736535 48.1364102, 11.5738063 48.1363769, 11.5739445 48.1363362, 11.5743147 48.1362182, 11.5743661 48.1362053, 11.5744649 48.1361806, 11.5745188 48.1361601)",,
151730511,True,,Am Kosttor,residential,30,False,38.739,"LINESTRING (11.5810289 48.1386367, 11.5807113 48.1383602)",,
4645419,False,,Am Kosttor,residential,30,True,31.951,"LINESTRING (11.5810289 48.1386367, 11.5812295 48.1387995, 11.5812718 48.1388552, 11.5812827 48.1388673)",,
24061812,True,,Am Kosttor,residential,30,False,32.73,"LINESTRING (11.5807113 48.1383602, 11.5808053 48.1383034, 11.5810405 48.1383031, 11.5811166 48.1383174)",,
3812984,False,2,Maximilianstraße,residential,50,False,82.071,"LINESTRING (11.578882 48.1393265, 11.5793781 48.1392301, 11.5799449 48.1391224)",,
3812984,False,2,Maximilianstraße,residential,50,True,92.203,"LINESTRING (11.578882 48.1393265, 11.5784143 48.1394129, 11.5783053 48.1394341, 11.5779781 48.1394961, 11.5778414 48.1395185, 11.5776835 48.1395451)",,
145571046,False,,Hofgraben,residential,30,True,78.72999999999999,"LINESTRING (11.578882 48.1393265, 11.5788768 48.139317, 11.5788449 48.1392621, 11.5788253 48.1392325, 11.5784578 48.1386776)",,
148881875,False,,Reichenbachstraße,residential,30,True,42.578,"LINESTRING (11.5762753 48.1335757, 11.5762641 48.1334878, 11.5762367 48.1332572, 11.576232 48.133225, 11.5762302 48.1332105, 11.5762279 48.1331941)",,
"[1102911624, 1102911480]",False,,Reichenbachstraße,residential,30,False,96.085,"LINESTRING (11.5762753 48.1335757, 11.5763649 48.1341783, 11.5763859 48.1343197, 11.5763899 48.1343533, 11.5763997 48.1344358)",,
4645370,True,,Utzschneiderstraße,residential,30,False,131.49499999999998,"LINESTRING (11.5749958 48.1343848, 11.5750862 48.1343227, 11.5760533 48.133658, 11.5760793 48.1336483, 11.5762753 48.1335757)",,
"[365018752, 144061668, 3654343]",False,"['2', '3']","['Blumenstraße', 'Frauenstraße']",secondary,30,False,124.904,"LINESTRING (11.5749958 48.1343848, 11.5754219 48.1346516, 11.5754822 48.134682, 11.575532 48.1346959, 11.575557 48.1346955, 11.5755752 48.1346952, 11.5756223 48.1346886, 11.5757016 48.1346674, 11.5759742 48.1345353, 11.576081 48.1344932, 11.5762094 48.1344593, 11.5762631 48.1344527, 11.5763997 48.1344358)",,
144061668,False,2,Blumenstraße,secondary,30,True,62.178999999999995,"LINESTRING (11.5749958 48.1343848, 11.5748103 48.1342655, 11.5747963 48.1342564, 11.5746523 48.1341638, 11.5743952 48.1339949)",,
3926024,False,,Hochbrückenstraße,residential,30,True,17.535,"LINESTRING (11.5809048 48.1369423, 11.580683 48.1368879)",,
137533536,True,,Hochbrückenstraße,residential,30,False,39.216,"LINESTRING (11.5809048 48.1369423, 11.5813039 48.1369036, 11.5814249 48.136925)",,
4564466,False,,Marienstraße,residential,30,True,117.786,"LINESTRING (11.5816703 48.1360838, 11.5810799 48.136447, 11.581025 48.1364818, 11.580982 48.1365106, 11.5808829 48.136582, 11.5807823 48.1367017, 11.580683 48.1368879)",,
143451087,False,1,Pflugstraße,residential,30,True,82.086,"LINESTRING (11.5816703 48.1360838, 11.5815947 48.1360046, 11.5815218 48.1356972, 11.5813982 48.1354699, 11.5813929 48.1354602, 11.5813515 48.1353841)",,
3812983,True,,Hildegardstraße,residential,30,False,39.757,"LINESTRING (11.5821032 48.1375121, 11.5815748 48.1375712)",8,
151523725,True,,Am Kosttor,residential,30,False,36.096,"LINESTRING (11.5811166 48.1383174, 11.5810289 48.1386367)",,
3927545,True,,Hackenstraße,residential,30,False,101.517,"LINESTRING (11.571152 48.1355993, 11.5710276 48.1357231, 11.5708728 48.1358182, 11.5705859 48.1359401, 11.5700608 48.1361256)",,
172593386,False,,Hermann-Sack-Straße,residential,30,True,64.11699999999999,"LINESTRING (11.571152 48.1355993, 11.5716042 48.1351789, 11.5716559 48.1351309)",,
3812483,False,2,Rumfordstraße,residential,50,True,267.773,"LINESTRING (11.579639 48.1339642, 11.5795766 48.1339631, 11.5795064 48.1339599, 11.5794334 48.1339518, 11.5793703 48.1339426, 11.5792851 48.1339267, 11.5781893 48.1336627, 11.5769102 48.1333548, 11.5765038 48.1332567, 11.5763994 48.1332322, 11.5762794 48.1332041, 11.5762279 48.1331941)",,
4645376,True,,Klenzestraße,residential,30,False,90.32499999999999,"LINESTRING (11.579639 48.1339642, 11.5796327 48.1339508, 11.5796145 48.133925, 11.5795768 48.1338861, 11.5794661 48.1338154, 11.5787943 48.1333855)",5.5,
23462159,True,,Zwingerstraße,residential,50,False,64.008,"LINESTRING (11.579639 48.1339642, 11.5796426 48.1339777, 11.5796348 48.134044, 11.5796296 48.1345072, 11.5796289 48.1345394)",,
30923154,False,2,Rumfordstraße,residential,50,False,147.42000000000002,"LINESTRING (11.579639 48.1339642, 11.5797119 48.133964, 11.5798041 48.1339607, 11.5798974 48.1339532, 11.5805217 48.1338636, 11.580738 48.1338325, 11.5811576 48.1337736, 11.5815889 48.1337201)",,
"[3926353, 477009659, 3810596]",False,2,"['Rosental', 'Prälat-Zistl-Straße']",residential,30,"[False, True]",357.023,"LINESTRING (11.5731798 48.1337379, 11.5733184 48.1338322, 11.5736809 48.1340449, 11.5737824 48.1341116, 11.5742066 48.134386, 11.5742682 48.1344258, 11.5744865 48.134567, 11.5747471 48.1347899, 11.574865 48.1349322, 11.5748992 48.1349959, 11.5749417 48.1350843, 11.5749574 48.1351226, 11.5749714 48.1351686, 11.5749958 48.1352964, 11.5749441 48.1352999, 11.5745442 48.1353246, 11.5743021 48.1353559, 11.5740951 48.1353976, 11.5739734 48.1354453, 11.5737896 48.1355193, 11.5736815 48.1355858, 11.5735844 48.1356542, 11.5735252 48.1357011, 11.573512 48.1357115, 11.5734454 48.1357649)",,
23457633,False,,Sankt-Jakobs-Platz,residential,30,True,46.208,"LINESTRING (11.5731798 48.1337379, 11.5730534 48.1338001, 11.5728404 48.1339593, 11.5727937 48.1340025, 11.5727503 48.1340357)",,
23457653,False,3,Corneliusstraße,residential,30,False,40.784,"LINESTRING (11.5731798 48.1337379, 11.573409 48.1335788, 11.5734389 48.133556, 11.573553 48.1334688)",,
"[23457577, 386978540, 386978541]",True,2,Corneliusstraße,residential,50,False,81.026,"LINESTRING (11.5742866 48.1329504, 11.5742798 48.1329731, 11.5742305 48.1330484, 11.5740548 48.1331694, 11.5740021 48.1332078, 11.5738522 48.1333116, 11.573739 48.1333901, 11.5736894 48.1334268, 11.573553 48.1334688)",,
"[1105728513, 33131468]",False,2,Müllerstraße,residential,50,True,63.60699999999999,"LINESTRING (11.5742866 48.1329504, 11.5743919 48.133029, 11.5744362 48.1330613, 11.5747174 48.1332709, 11.5747783 48.1333012, 11.5748428 48.1333212, 11.5749072 48.1333265)",,
23462075,True,1,Frauenstraße,secondary,30,False,28.296,"LINESTRING (11.579249 48.1345475, 11.5794686 48.1345328, 11.5796289 48.1345394)",,
"[30932611, 30932612, 365018750]",False,"['2', '3']",Frauenstraße,secondary,30,True,212.21800000000002,"LINESTRING (11.579249 48.1345475, 11.5784988 48.1344886, 11.5779447 48.134444, 11.5776951 48.1344293, 11.5773788 48.1344254, 11.5768701 48.1344276, 11.5766018 48.1344324, 11.5765539 48.1344332, 11.5763997 48.1344358)",,
23462127,False,,Zwingerstraße,residential,30,True,51.992000000000004,"LINESTRING (11.5796224 48.1346036, 11.5796282 48.1346895, 11.5796274 48.1347151, 11.5796159 48.135071)",,
666490437,True,1,Frauenstraße,secondary,30,False,28.418,"LINESTRING (11.5796224 48.1346036, 11.5794782 48.1345779, 11.579249 48.1345475)",,
"[365018753, 350873890, 666490436, 315220257]",True,"['4', '2', '3', '1']",Frauenstraße,secondary,30,False,172.24499999999998,"LINESTRING (11.5796289 48.1345394, 11.5798276 48.1345747, 11.5800526 48.134583, 11.5805661 48.1345885, 11.5809922 48.1345934, 11.5812218 48.1346093, 11.5813711 48.134634, 11.5815134 48.1346623, 11.5816455 48.1346917, 11.5817835 48.1347224, 11.5819083 48.1347521)",,
