osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,access
37276736,,,Rötengasse,residential,,False,True,68.482,"LINESTRING (8.3413327 47.8852218, 8.3414184 47.8852439, 8.3415452 47.8852509, 8.3418458 47.8852638, 8.3420766 47.8852701, 8.3422437 47.8852716)",4,,
37276739,,,Bahnhofstraße,residential,,False,False,39.191,"LINESTRING (8.3413327 47.8852218, 8.3412399 47.8851585, 8.3412076 47.8850494, 8.3412015 47.884897)",4,,
37276739,,,Bahnhofstraße,residential,,False,True,39.191,"LINESTRING (8.3412015 47.884897, 8.3412076 47.8850494, 8.3412399 47.8851585, 8.3413327 47.8852218)",4,,
37280791,,,Bahnhofstraße,residential,,False,False,80.91499999999999,"LINESTRING (8.3412015 47.884897, 8.3414596 47.8845295, 8.3416889 47.8842472)",6,,
365783730,,,Bahnhofstraße,residential,,False,True,78.865,"LINESTRING (8.3412015 47.884897, 8.3411252 47.8849712, 8.3410727 47.8850234, 8.3408352 47.8853667, 8.3407551 47.8855361)",6,,
144672008,,,Alenbergstraße,residential,30,False,False,61.153,"LINESTRING (8.3455502 47.8844626, 8.3449118 47.8848078)",4,,
161081631,2,L 170,Obere Hauptstraße,secondary,30,False,False,111.259,"LINESTRING (8.3455502 47.8844626, 8.3456414 47.8844866, 8.3457473 47.8844934, 8.3459295 47.8844934, 8.3461093 47.8844595, 8.3462797 47.8844275, 8.3465226 47.8843934, 8.3466648 47.8843799, 8.3468278 47.884372, 8.3469308 47.8843755, 8.3470132 47.8843839)",,,
161081631,2,L 170,Obere Hauptstraße,secondary,30,False,True,18.631999999999998,"LINESTRING (8.3455502 47.8844626, 8.3454656 47.884408, 8.3453906 47.8843348)",,,
144672020,,,Kesselstraße,residential,50,False,False,78.845,"LINESTRING (8.3394914 47.8833633, 8.3391654 47.8827541, 8.3391343 47.8826959)",,,
144672020,,,Kesselstraße,residential,50,False,True,194.92800000000003,"LINESTRING (8.3394914 47.8833633, 8.3396696 47.8838078, 8.3400158 47.8846147, 8.3401503 47.8847531, 8.3405266 47.8848917)",,,
144673055,,,Pfarrweg,residential,,False,True,87.42399999999999,"LINESTRING (8.3438166 47.8814048, 8.3442399 47.8817635, 8.3443134 47.8819098, 8.3443135 47.8820842)",4,,
144672024,,,Seppenhofer Straße,residential,,False,False,304.192,"LINESTRING (8.3443135 47.8820842, 8.3449465 47.8818028, 8.345369 47.8815462, 8.3455254 47.8813907, 8.3456695 47.8812067, 8.3457293 47.8811267, 8.3457523 47.881096, 8.3457615 47.8810838, 8.3457942 47.8809786, 8.3457988 47.8808781, 8.3458026 47.8807966, 8.3458033 47.8807759, 8.345815 47.8804348, 8.3467196 47.8801757)",4,,
144672024,,,Seppenhofer Straße,residential,,False,True,93.243,"LINESTRING (8.3443135 47.8820842, 8.3442041 47.8821749, 8.3440073 47.8823157, 8.3439855 47.8823348, 8.3437933 47.8825027, 8.3436907 47.8825914, 8.3435575 47.8827028, 8.3435131 47.8827266)",4,,
144673055,,,Pfarrweg,residential,,False,False,87.424,"LINESTRING (8.3443135 47.8820842, 8.3443134 47.8819098, 8.3442399 47.8817635, 8.3438166 47.8814048)",4,,
144672009,,,Bittengasse,residential,,False,False,197.042,"LINESTRING (8.3460283 47.8842465, 8.3459279 47.8841736, 8.3458963 47.8841161, 8.345894 47.88399, 8.3458911 47.8838295, 8.3458487 47.8837038, 8.3457975 47.883614, 8.3457232 47.883517, 8.3455173 47.8832988, 8.3452294 47.8830964, 8.3450669 47.8829912, 8.3448121 47.8828449, 8.3447216 47.8827984)",,,
161081631,2,L 170,Obere Hauptstraße,secondary,30,False,False,18.631999999999998,"LINESTRING (8.3453906 47.8843348, 8.3454656 47.884408, 8.3455502 47.8844626)",,,
"[1153058351, 161081631]",2,L 170,"['Rathausplatz', 'Obere Hauptstraße']",secondary,30,False,True,33.17,"LINESTRING (8.3453906 47.8843348, 8.3452176 47.8841795, 8.3451581 47.8841405, 8.3450954 47.884116)",,,
243372952,,,Ringstraße,residential,,False,True,81.64,"LINESTRING (8.3453906 47.8843348, 8.3452598 47.8844067, 8.3451144 47.8844679, 8.344827 47.8845937, 8.3446758 47.8845997, 8.344423 47.8845609)",4,,
144672013,,,Festhallenstraße,residential,,False,False,10.504,"LINESTRING (8.3482628 47.8839686, 8.3482315 47.8838765)",4,,
144672013,,,Festhallenstraße,residential,,False,True,106.067,"LINESTRING (8.3482628 47.8839686, 8.3480847 47.8840295, 8.3477561 47.8841287, 8.3474464 47.884209, 8.3472566 47.8842489, 8.3471159 47.8842869, 8.3470648 47.8843198, 8.3470132 47.8843839)",4,,
144673049,,,Haslachstraße,residential,,False,False,118.12299999999999,"LINESTRING (8.3482628 47.8839686, 8.3483328 47.8839391, 8.3484616 47.883877, 8.3486371 47.8837469, 8.3494442 47.8842293)",,,
144672024,,,Seppenhofer Straße,residential,,False,True,304.192,"LINESTRING (8.3467196 47.8801757, 8.345815 47.8804348, 8.3458033 47.8807759, 8.3458026 47.8807966, 8.3457988 47.8808781, 8.3457942 47.8809786, 8.3457615 47.8810838, 8.3457523 47.881096, 8.3457293 47.8811267, 8.3456695 47.8812067, 8.3455254 47.8813907, 8.345369 47.8815462, 8.3449465 47.8818028, 8.3443135 47.8820842)",4,,
144672016,,,Hans-Thoma-Weg,residential,,False,True,31.273,"LINESTRING (8.3401189 47.8810461, 8.3402564 47.8813118)",,,
34217061,,,Alemannenstraße,residential,,False,True,65.838,"LINESTRING (8.3422822 47.8872598, 8.3424271 47.8872286, 8.3425892 47.8871298, 8.3427648 47.8870392, 8.3428912 47.88699, 8.3430193 47.8869459)",,,
144672008,,,Alenbergstraße,residential,30,False,False,133.895,"LINESTRING (8.3422822 47.8872598, 8.3421641 47.8873738, 8.3419752 47.8875522, 8.3418821 47.8877213, 8.3418588 47.8878109, 8.3418472 47.8879383, 8.3418457 47.8880899, 8.3418633 47.8882402, 8.3418889 47.8883845)",4,,
144672008,,,Alenbergstraße,residential,30,False,True,93.348,"LINESTRING (8.3422822 47.8872598, 8.3425314 47.8870103, 8.3429915 47.8865681)",4,,
34309881,,,,residential,,False,False,17.527,"LINESTRING (8.3430193 47.8869459, 8.3430319 47.8871033)",,,
34309881,,,,residential,,False,True,42.061,"LINESTRING (8.3430193 47.8869459, 8.3429915 47.8865681)",,,
34217061,,,Alemannenstraße,residential,,False,False,65.838,"LINESTRING (8.3430193 47.8869459, 8.3428912 47.88699, 8.3427648 47.8870392, 8.3425892 47.8871298, 8.3424271 47.8872286, 8.3422822 47.8872598)",,,
34217061,,,Alemannenstraße,residential,,False,True,42.103,"LINESTRING (8.3430193 47.8869459, 8.3431986 47.8868361, 8.3434345 47.8866893)",,,
34217061,,,Alemannenstraße,residential,,False,False,42.103,"LINESTRING (8.3434345 47.8866893, 8.3431986 47.8868361, 8.3430193 47.8869459)",,,
34217061,,,Alemannenstraße,residential,,False,True,32.652,"LINESTRING (8.3434345 47.8866893, 8.343488 47.8866415, 8.3435029 47.8866267, 8.3436394 47.886492, 8.3436786 47.8864458)",,,
