osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,tunnel
157296418,,Dreitorspitzstraße,living_street,,False,True,68.818,"LINESTRING (11.7699209 48.1045186, 11.7700015 48.1047697, 11.7701014 48.1050603, 11.7701229 48.1051226)",,,
"[682385185, 741321650, 232987166, 958552983]",,Heinrich-Laberger-Ring,residential,30,False,"[False, True]",388.90200000000004,"LINESTRING (11.7721704 48.1013379, 11.772555 48.1013234, 11.7729166 48.1013097, 11.7736676 48.1013062, 11.7740255 48.1014571, 11.7741381 48.1016538, 11.7723296 48.1020433, 11.772264 48.1020194, 11.7722222 48.1018201, 11.7721704 48.1013379)",,,
"[682385185, 741321650, 232987166, 958552983]",,Heinrich-Laberger-Ring,residential,30,False,"[False, True]",388.902,"LINESTRING (11.7721704 48.1013379, 11.7722222 48.1018201, 11.772264 48.1020194, 11.7723296 48.1020433, 11.7741381 48.1016538, 11.7740255 48.1014571, 11.7736676 48.1013062, 11.7729166 48.1013097, 11.772555 48.1013234, 11.7721704 48.1013379)",,,
"[231599712, 227935465, 958553223]",,Heinrich-Laberger-Ring,residential,30,False,"[False, True]",53.983999999999995,"LINESTRING (11.7721704 48.1013379, 11.7719368 48.1013466, 11.7718224 48.1013517, 11.7714474 48.1013853)",,,
51818365,,Taubenstraße,residential,30,False,False,51.458,"LINESTRING (11.7650759 48.107026, 11.7656105 48.1073205)",4.5,,
51818365,,Taubenstraße,residential,30,False,True,25.67,"LINESTRING (11.7650759 48.107026, 11.7648112 48.1068775)",4.5,,
25028199,,Taubenstraße,residential,30,False,False,211.288,"LINESTRING (11.7650759 48.107026, 11.7669035 48.105628, 11.7669472 48.1055945)",,,
215267880,,Bahnhofstraße,residential,30,False,True,36.54,"LINESTRING (11.7669472 48.1055945, 11.7666179 48.1053503)",6,,
25028199,,Taubenstraße,residential,30,False,True,211.288,"LINESTRING (11.7669472 48.1055945, 11.7669035 48.105628, 11.7650759 48.107026)",,,
215267880,,Bahnhofstraße,residential,30,False,False,84.314,"LINESTRING (11.7669472 48.1055945, 11.7671358 48.1057384, 11.7676851 48.1061708)",6,,
25028233,,Birkhahnweg,residential,30,False,False,52.284,"LINESTRING (11.7651132 48.1076534, 11.7656105 48.1073205)",3.9,,
25028225,,Birkhahnweg,residential,30,False,False,47.487,"LINESTRING (11.7651132 48.1076534, 11.7646602 48.1074153, 11.7646314 48.1074166, 11.7645991 48.1074241)",4.3,,
"[25028225, 975560089]",,Birkhahnweg,residential,30,False,True,50.832,"LINESTRING (11.7651132 48.1076534, 11.7649653 48.1077297, 11.7647133 48.1079316, 11.7646909 48.1079496, 11.7646509 48.1079872)","['4.3', '4.2']",,
25028225,,Birkhahnweg,residential,30,False,False,47.138,"LINESTRING (11.7645991 48.1074241, 11.7644681 48.1075358, 11.7644329 48.107546, 11.7643947 48.1075357, 11.7643719 48.1075125, 11.7643805 48.1074926, 11.7644754 48.1074183, 11.7645991 48.1074241)",4.3,,
25028225,,Birkhahnweg,residential,30,False,True,47.138000000000005,"LINESTRING (11.7645991 48.1074241, 11.7644754 48.1074183, 11.7643805 48.1074926, 11.7643719 48.1075125, 11.7643947 48.1075357, 11.7644329 48.107546, 11.7644681 48.1075358, 11.7645991 48.1074241)",4.3,,
25028225,,Birkhahnweg,residential,30,False,True,47.487,"LINESTRING (11.7645991 48.1074241, 11.7646314 48.1074166, 11.7646602 48.1074153, 11.7651132 48.1076534)",4.3,,
25028233,,Birkhahnweg,residential,30,False,True,52.284,"LINESTRING (11.7656105 48.1073205, 11.7651132 48.1076534)",3.9,,
51818365,,Taubenstraße,residential,30,False,True,51.458,"LINESTRING (11.7656105 48.1073205, 11.7650759 48.107026)",4.5,,
1193552206,,Kleiberstraße,residential,30,False,False,30.238,"LINESTRING (11.7656105 48.1073205, 11.7659112 48.1075039)",4.5,,
4644371,2,Fasanenstraße,residential,30,False,False,104.193,"LINESTRING (11.7653566 48.1083761, 11.76573 48.1085736, 11.7657801 48.1085899, 11.7658217 48.1085992, 11.765884 48.1086056, 11.7661815 48.1086097, 11.7665497 48.1086139, 11.7666124 48.1086202, 11.7666443 48.10863)",,,
