osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge
330182704,大武路,residential,True,False,14.494,"LINESTRING (121.827799 24.8614177, 121.8279413 24.8614356)",,,
129008195,青雲路三段387巷,unclassified,False,True,147.016,"LINESTRING (121.827799 24.8614177, 121.8277001 24.8615059, 121.8271502 24.8620331, 121.8267785 24.8623611)",,,
330182706,青雲路三段,primary,True,False,152.353,"LINESTRING (121.827799 24.8614177, 121.8276554 24.8611754, 121.8274578 24.8608435, 121.8271703 24.8603943, 121.8271564 24.8603726, 121.8270618 24.8602221)",,2,
536613646,,unclassified,False,True,46.015,"LINESTRING (121.8238068 24.862377, 121.8236203 24.8625076, 121.8234457 24.8626298)",,,
613073370,青雲北橋,primary,False,True,23.264,"LINESTRING (121.8262843 24.8589684, 121.8264009 24.8591489)",,2,yes
85644658,青雲路三段,primary,False,False,84.598,"LINESTRING (121.8262843 24.8589684, 121.8260682 24.8586424, 121.825852 24.8583165)",,2,
85644656,吉祥路,tertiary,False,False,31.899,"LINESTRING (121.8206225 24.8568187, 121.820375 24.8569972)",,宜3,
1111915795,吉祥路88巷,residential,False,False,76.072,"LINESTRING (121.8206225 24.8568187, 121.8210945 24.8573522)",,,
85644656,吉祥路,tertiary,False,True,133.934,"LINESTRING (121.8206225 24.8568187, 121.8210955 24.8564775, 121.8211506 24.8564378, 121.8211871 24.8564114, 121.8212118 24.8563936, 121.8212399 24.8563753, 121.8215556 24.8561695, 121.8216785 24.8560894)",,宜3,
1111915795,吉祥路88巷,residential,False,True,76.072,"LINESTRING (121.8210945 24.8573522, 121.8206225 24.8568187)",,,
398091418,青雲路三段323巷,residential,False,True,202.12800000000001,"LINESTRING (121.8270246 24.8613051, 121.8269249 24.8611649, 121.8268264 24.8610644, 121.8264986 24.8607577, 121.8263322 24.8606086, 121.8262934 24.8604999, 121.8263513 24.8603837, 121.8265177 24.8602484, 121.8269204 24.860017)",,,
