osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref
5300264,Kennel Avenue,residential,False,True,317.343,"LINESTRING (-122.578078 45.151427, -122.578242 45.150691, -122.5782763 45.1504972, -122.578304 45.150341, -122.578315 45.1503043, -122.578344 45.150208, -122.578412 45.150063, -122.5784462 45.1500098, -122.5784808 45.1499613, -122.5784933 45.1499458, -122.5785066 45.1499294, -122.5785985 45.1498363, -122.5786363 45.1497866, -122.5786498 45.1497689, -122.5786863 45.1497146, -122.5787197 45.1496523, -122.5787295 45.1496268, -122.5787479 45.1495786, -122.5787978 45.1493471, -122.5788434 45.1491353, -122.5788701 45.1490117, -122.5789042 45.1488533, -122.578945 45.148664)",,,
5307989,Metzler Avenue,residential,False,True,197.664,"LINESTRING (-122.5782331 45.1476551, -122.5782866 45.1475593, -122.578414 45.147334, -122.5784826 45.147204, -122.5785151 45.1471418, -122.578549 45.147078, -122.5785695 45.1470334, -122.5786357 45.1468887, -122.57867 45.146814, -122.579079 45.145981)",,,
480761873,West Main Street,primary,False,False,72.864,"LINESTRING (-122.5782331 45.1476551, -122.5787163 45.1477073, -122.5791515 45.1477543)",,,OR 211
480761873,West Main Street,primary,False,True,87.607,"LINESTRING (-122.5782331 45.1476551, -122.578152 45.1476469, -122.5780753 45.1476389, -122.577224 45.1475517, -122.577128 45.1475401)",,,OR 211
5300264,Kennel Avenue,residential,False,False,102.44200000000001,"LINESTRING (-122.5791515 45.1477543, -122.5791308 45.1478455, -122.5790773 45.1480814, -122.5790454 45.1482217, -122.5790255 45.1483092, -122.578945 45.148664)",,,
480761873,West Main Street,primary,False,False,29.727000000000004,"LINESTRING (-122.5791515 45.1477543, -122.579256 45.147767, -122.579288 45.1477709, -122.5795251 45.1477995)",,,OR 211
480761873,West Main Street,primary,False,True,72.864,"LINESTRING (-122.5791515 45.1477543, -122.5787163 45.1477073, -122.5782331 45.1476551)",,,OR 211
5308761,Hart Avenue,residential,False,True,178.461,"LINESTRING (-122.5795251 45.1477995, -122.5795617 45.1477225, -122.5796773 45.1474783, -122.5798316 45.1471543, -122.5802493 45.146278)",,,
480761873,West Main Street,primary,False,False,82.18299999999999,"LINESTRING (-122.5795251 45.1477995, -122.5796232 45.1478102, -122.5800202 45.1478536, -122.5802459 45.1478782, -122.5805607 45.1479126)",,,OR 211
480761873,West Main Street,primary,False,True,29.727000000000004,"LINESTRING (-122.5795251 45.1477995, -122.579288 45.1477709, -122.579256 45.147767, -122.5791515 45.1477543)",,,OR 211
"[480761872, 5291414]",West Main Street,primary,False,True,104.94099999999999,"LINESTRING (-122.5818856 45.148045, -122.5814606 45.1480025, -122.5812108 45.1479776, -122.5806347 45.14792, -122.5805607 45.1479126)",,2,OR 211
"[5297800, 5300345]","['Alex Avenue', 'Thelander Lane']",residential,False,False,86.506,"LINESTRING (-122.5818856 45.148045, -122.58204 45.147589, -122.582094 45.147447, -122.58217 45.147294)",,,
