osmid,oneway,name,highway,reversed,length,geometry,ref
21630623,False,Saint Leonards Circle,residential,True,15.225,"LINESTRING (-88.134405 42.904859, -88.1342967 42.9049706)",
21653351,False,Saint Leonards Drive,residential,True,90.69200000000001,"LINESTRING (-88.134405 42.904859, -88.13449 42.904906, -88.134715 42.905014, -88.134787 42.905041, -88.13487 42.905065, -88.134956 42.905085, -88.135204 42.905128, -88.135286 42.905135, -88.135426 42.905129)",
21634403,False,Kelly Drive,residential,False,52.031,"LINESTRING (-88.143686 42.902399, -88.143701 42.902308, -88.1437507 42.9019335)",
21634403,False,Kelly Drive,residential,True,251.48,"LINESTRING (-88.143686 42.902399, -88.143692 42.902527, -88.143689 42.902623, -88.143695 42.90269, -88.143714 42.902782, -88.143767 42.90289, -88.143873 42.903077, -88.143919 42.90324, -88.143925 42.903316, -88.143921 42.903401, -88.143941 42.903635, -88.14397 42.903742, -88.144016 42.903851, -88.144235 42.904252, -88.1443438 42.9045106, -88.1443729 42.9045797)",
21643511,False,Lions Park Drive,residential,False,224.477,"LINESTRING (-88.143686 42.902399, -88.143572 42.90239, -88.143393 42.902383, -88.1421215 42.9023771, -88.1420573 42.9023768, -88.141883 42.902376, -88.140931 42.902379)",
21634403,False,Kelly Drive,residential,True,52.031,"LINESTRING (-88.1437507 42.9019335, -88.143701 42.902308, -88.143686 42.902399)",
551682578,True,Janesville Road,secondary,False,16.422,"LINESTRING (-88.135598 42.906537, -88.1354008 42.9065678)",CTH L
551682575,False,Kristin Drive,residential,False,157.72000000000003,"LINESTRING (-88.135598 42.906537, -88.1355808 42.906452, -88.1355309 42.9062059, -88.135437 42.905743, -88.135408 42.905561, -88.135405 42.905389, -88.135426 42.905129)",
551682577,True,,secondary_link,False,24.025,"LINESTRING (-88.135598 42.906537, -88.1356267 42.9065576, -88.1356717 42.9065828, -88.1357151 42.9065971, -88.1357676 42.9066081, -88.1357937 42.9066105, -88.1358628 42.9066169)",
21653351,False,Saint Leonards Drive,residential,False,90.69200000000001,"LINESTRING (-88.135426 42.905129, -88.135286 42.905135, -88.135204 42.905128, -88.134956 42.905085, -88.13487 42.905065, -88.134787 42.905041, -88.134715 42.905014, -88.13449 42.904906, -88.134405 42.904859)",
21654905,False,Saint Leonards Court,residential,False,143.36700000000002,"LINESTRING (-88.135426 42.905129, -88.135594 42.905141, -88.135772 42.905147, -88.135961 42.905142, -88.136218 42.905115, -88.136865 42.905008, -88.137024 42.904976, -88.1371419 42.9049259)",
551682575,False,Kristin Drive,residential,False,268.185,"LINESTRING (-88.135426 42.905129, -88.135456 42.904766, -88.135485 42.904541, -88.135554 42.904193, -88.135714 42.903751, -88.135852 42.903468, -88.1359071 42.9033754, -88.13593 42.903337, -88.136042 42.903192, -88.13616 42.903077, -88.136336 42.902938, -88.136401 42.902887)",
551682575,False,Kristin Drive,residential,True,157.72,"LINESTRING (-88.135426 42.905129, -88.135405 42.905389, -88.135408 42.905561, -88.135437 42.905743, -88.1355309 42.9062059, -88.1355808 42.906452, -88.135598 42.906537)",
21641358,False,Canfield Drive,residential,False,87.00500000000001,"LINESTRING (-88.136401 42.902887, -88.136317 42.902807, -88.136238 42.902714, -88.136197 42.902626, -88.136111 42.902318, -88.136028 42.902165)",
551682575,False,Kristin Drive,residential,False,80.62,"LINESTRING (-88.136401 42.902887, -88.136552 42.902819, -88.136704 42.902758, -88.136827 42.902718, -88.136976 42.902675, -88.137123 42.902643, -88.13731 42.902614)",
551682575,False,Kristin Drive,residential,True,268.185,"LINESTRING (-88.136401 42.902887, -88.136336 42.902938, -88.13616 42.903077, -88.136042 42.903192, -88.13593 42.903337, -88.1359071 42.9033754, -88.135852 42.903468, -88.135714 42.903751, -88.135554 42.904193, -88.135485 42.904541, -88.135456 42.904766, -88.135426 42.905129)",
551682575,False,Kristin Drive,residential,False,53.677,"LINESTRING (-88.13731 42.902614, -88.137955 42.902515)",
21665102,False,Kittery Court,residential,False,98.68799999999999,"LINESTRING (-88.13731 42.902614, -88.137328 42.902683, -88.1375356 42.903486)",
551682575,False,Kristin Drive,residential,True,80.62,"LINESTRING (-88.13731 42.902614, -88.137123 42.902643, -88.136976 42.902675, -88.136827 42.902718, -88.136704 42.902758, -88.136552 42.902819, -88.136401 42.902887)",
551682575,False,Kristin Drive,residential,True,53.677,"LINESTRING (-88.137955 42.902515, -88.13731 42.902614)",
21637213,False,Kristin Court,residential,False,33.709,"LINESTRING (-88.137955 42.902515, -88.137937 42.902421, -88.13788 42.902217)",
551682575,False,Kristin Drive,residential,False,156.34799999999998,"LINESTRING (-88.137955 42.902515, -88.138443 42.902449, -88.138622 42.902441, -88.138657 42.902443, -88.138712 42.902445, -88.13884 42.902459, -88.139313 42.902525, -88.1397439 42.9025756, -88.139849 42.902588)",
