osmid,name,highway,oneway,reversed,length,geometry,lanes,width,maxspeed
9285423,Brunswick Avenue,residential,False,True,120.423,"LINESTRING (-70.565517 41.457712, -70.565694 41.457502, -70.565933 41.457331, -70.565992 41.457271, -70.5663338 41.4568272)",,,
9284651,Second Avenue,residential,False,False,128.132,"LINESTRING (-70.566671 41.454219, -70.566566 41.454607, -70.566465 41.45502, -70.5663783 41.4553502)",,,
9284651,Second Avenue,residential,False,True,108.035,"LINESTRING (-70.566671 41.454219, -70.566729 41.454067, -70.566828 41.453723, -70.566851 41.453646, -70.5669685 41.4532736)",,,
9285578,First Avenue,residential,False,False,70.517,"LINESTRING (-70.566671 41.454219, -70.566325 41.454156, -70.566116 41.45416, -70.566038 41.454214, -70.56599 41.45434)",1,9.1,
9285547,Forest Hill Avenue,residential,False,False,38.65,"LINESTRING (-70.568015 41.451102, -70.567565 41.451018)",2,9.1,
9285547,Forest Hill Avenue,residential,False,True,59.477,"LINESTRING (-70.568015 41.451102, -70.5687 41.451252)",2,9.1,
9284474,Goode Street,residential,False,True,108.373,"LINESTRING (-70.568015 41.451102, -70.56809 41.4509, -70.568256 41.450453, -70.5683436 41.4501593)",2,7.6,
9285213,Windy Hill Road,residential,False,False,31.842,"LINESTRING (-70.572824 41.450462, -70.572467 41.45036)",,,
9285233,Dannys Court,residential,False,True,20.313,"LINESTRING (-70.571385 41.451319, -70.571609 41.451391)",,,
629045927,Dannys Court,residential,False,False,11.73,"LINESTRING (-70.571385 41.451319, -70.5712569 41.4512753)",,,
629045927,Dannys Court,residential,False,True,41.511,"LINESTRING (-70.571385 41.451319, -70.5711767 41.4516581)",,,
9284462,Richmond Street,residential,False,False,70.291,"LINESTRING (-70.5693834 41.4503558, -70.5685656 41.4502013)",2,7.6,
9285432,Hitchings Circle,residential,False,False,244.807,"LINESTRING (-70.5693834 41.4503558, -70.569479 41.449938, -70.569506 41.449607, -70.569483 41.449444, -70.569372 41.449378, -70.569267 41.449368, -70.56915 41.449377, -70.569039 41.449408, -70.568937 41.449445, -70.568783 41.449549, -70.568647 41.449765, -70.5685656 41.4502013)",,,
9284462,Richmond Street,residential,False,True,33.583,"LINESTRING (-70.5693834 41.4503558, -70.5697741 41.4504297)",2,7.6,
9284529,Perkins Avenue,residential,False,True,32.546,"LINESTRING (-70.5676652 41.4538417, -70.5677405 41.4535545)",2,7.6,
629045934,Edson Avenue,residential,False,False,35.671,"LINESTRING (-70.5676652 41.4538417, -70.5672428 41.4537899)",,,
