osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
21387155,13th Street,residential,False,False,108.69300000000001,"LINESTRING (-102.8304538 33.1858508, -102.8310223 33.1858515, -102.8316218 33.1858522)",,,
21388154,Avenue E,residential,False,False,105.713,"LINESTRING (-102.8304538 33.1858508, -102.830453 33.1863134, -102.8304533 33.1868015)",,,
21387155,13th Street,residential,False,True,108.69300000000001,"LINESTRING (-102.8316218 33.1858522, -102.8310223 33.1858515, -102.8304538 33.1858508)",,,
21388126,Avenue D,residential,False,False,105.265,"LINESTRING (-102.8316218 33.1858522, -102.8315866 33.1863155, -102.8315797 33.1867979)",,,
21388154,Avenue E,residential,False,False,90.958,"LINESTRING (-102.8304507 33.191625, -102.8304503 33.192443)",,,
21388154,Avenue E,residential,False,True,11.32,"LINESTRING (-102.8304507 33.191625, -102.8304508 33.1915232)",,,
162157629,7th Street,residential,False,False,211.177,"LINESTRING (-102.8304507 33.191625, -102.8281813 33.1916161)",,,
21388233,Avenue G,tertiary,False,False,91.294,"LINESTRING (-102.8281813 33.1916161, -102.8281537 33.1924368)",,,
162157629,7th Street,residential,False,False,104.566,"LINESTRING (-102.8281813 33.1916161, -102.8270576 33.1916104)",,,
162157629,7th Street,residential,False,True,211.177,"LINESTRING (-102.8281813 33.1916161, -102.8304507 33.191625)",,,
21388233,Avenue G,tertiary,False,True,106.43799999999999,"LINESTRING (-102.8281813 33.1916161, -102.8281846 33.1911101, -102.8281876 33.1906589)",,,
21387812,Ferrel Avenue,residential,False,False,98.433,"LINESTRING (-102.8258801 33.1916074, -102.825904 33.1924924)",,,
162157629,7th Street,residential,False,True,109.57,"LINESTRING (-102.8258801 33.1916074, -102.8270576 33.1916104)",,,
21387812,Ferrel Avenue,residential,False,True,106.381,"LINESTRING (-102.8258801 33.1916074, -102.8258816 33.1911073, -102.8258834 33.1906507)",,,
21387807,Ferrel Avenue,residential,False,True,19.312,"LINESTRING (-102.825849 33.1879436, -102.825843 33.18777)",,,
117987580,Cowboy Way,primary,False,True,33.102,"LINESTRING (-102.825849 33.1879436, -102.8255473 33.1877859)",4,US 82;US 380,55 mph
117987580,Cowboy Way,primary,False,False,124.2,"LINESTRING (-102.825849 33.1879436, -102.8265044 33.188267, -102.8267575 33.1883738, -102.827023 33.1884722)",4,US 82;US 380,55 mph
"[21380488, 21387979]","['Avenue L', 'Beanes Place']",residential,False,False,126.25900000000001,"LINESTRING (-102.8219154 33.186938, -102.8221348 33.1870424, -102.8223987 33.187156, -102.8225296 33.1873208, -102.8225304 33.1873919, -102.8225348 33.1877988)",,,
