osmid,lanes,name,highway,oneway,reversed,length,maxspeed,ref,geometry,bridge
24238832,2,Centennial Loop,secondary,False,True,90.661,40,,"LINESTRING (120.9065141 14.4463811, 120.9065228 14.4465474, 120.9065282 14.4465922, 120.9065393 14.4466334, 120.9065551 14.4466742, 120.9065944 14.4467175, 120.9066281 14.4467373, 120.906669 14.4467523, 120.9067109 14.446764, 120.9067624 14.4467731, 120.9070538 14.4468225)",
158322299,2,Freedom Street,residential,False,False,50.095,,,"LINESTRING (120.906049 14.4463914, 120.9065141 14.4463811)",
158322299,2,Freedom Street,residential,False,True,25.355,,,"LINESTRING (120.906049 14.4463914, 120.9058136 14.4463969)",
158322311,2,Freedom Street,residential,False,False,86.701,,,"LINESTRING (120.906049 14.4463914, 120.9060545 14.4460471, 120.9060575 14.4460373, 120.9060695 14.4460314, 120.9061188 14.446011, 120.9062556 14.4459909, 120.9064892 14.4459896)",
158322299,2,Freedom Street,residential,False,False,25.355,,,"LINESTRING (120.9058136 14.4463969, 120.906049 14.4463914)",
33772580,,Kaingin,residential,False,True,49.601,,,"LINESTRING (120.9052473 14.4467401, 120.9049326 14.4467366, 120.9049326 14.4465953)",
216377470,,,residential,False,False,116.241,,,"LINESTRING (120.8991541 14.4403336, 120.8986822 14.4412738)",
216377472,,,residential,False,False,78.38499999999999,,,"LINESTRING (120.8993351 14.4408012, 120.8992115 14.4411402, 120.8990927 14.4414659)",
216377470,,,residential,False,True,116.241,,,"LINESTRING (120.8986822 14.4412738, 120.8991541 14.4403336)",
893592206,,General Tirona Street,residential,False,True,50.3,,,"LINESTRING (120.8986822 14.4412738, 120.8990175 14.441505, 120.8990627 14.4415362)",
216377472,,,residential,False,False,8.458,,,"LINESTRING (120.8990927 14.4414659, 120.8990627 14.4415362)",
216377472,,,residential,False,True,78.38499999999999,,,"LINESTRING (120.8990927 14.4414659, 120.8992115 14.4411402, 120.8993351 14.4408012)",
893592208,,,residential,False,False,44.617,,,"LINESTRING (120.8990927 14.4414659, 120.8990331 14.4414389, 120.8991531 14.441122)",
24238990,2,Tanggulan Street,residential,False,False,33.954,,,"LINESTRING (120.9053617 14.4455552, 120.905677 14.4455593)",
24238990,2,Tanggulan Street,residential,False,True,61.9,,,"LINESTRING (120.9053617 14.4455552, 120.9047869 14.4455478)",
225263525,1,J. Legaspi Street,residential,False,True,77.39,,,"LINESTRING (120.9053617 14.4455552, 120.9054609 14.4451896, 120.9055575 14.4448857)",
158322244,2,Tirona Highway,secondary,False,False,52.965,50,62,"LINESTRING (120.90441 14.4445334, 120.9048756 14.444687)",
158322244,2,Tirona Highway,secondary,False,True,98.24199999999999,50,62,"LINESTRING (120.90441 14.4445334, 120.9040957 14.4444378, 120.9039387 14.4443873, 120.9038745 14.4443701, 120.903622 14.4442861, 120.903543 14.4442588)",
225263524,2,7 Bayani Street,residential,False,True,109.186,,,"LINESTRING (120.90441 14.4445334, 120.9043076 14.4448311, 120.9042859 14.4448947, 120.9042003 14.445174, 120.9041224 14.4454745)",
158322244,2,Tirona Highway,secondary,False,True,52.965,50,62,"LINESTRING (120.9048756 14.444687, 120.90441 14.4445334)",
158322244,2,Tirona Highway,secondary,False,False,76.679,50,62,"LINESTRING (120.9048756 14.444687, 120.9051139 14.4447558, 120.9055575 14.4448857)",
225263526,2,P. Canda Street,residential,False,True,99.861,,,"LINESTRING (120.9048756 14.444687, 120.9048107 14.4448898, 120.9047086 14.4451662, 120.9046429 14.4453272, 120.9045688 14.4455342)",
"[24238832, 158322244]",2,"['Centennial Loop', 'Tirona Highway']",secondary,False,"[False, True]",161.21799999999996,"['40', '50']",62,"LINESTRING (120.9055575 14.4448857, 120.9064544 14.4451086, 120.9065927 14.4451504, 120.9065503 14.4453058, 120.9065334 14.4453695, 120.9065108 14.4454539, 120.9064885 14.4455507)",
158322244,2,Tirona Highway,secondary,False,True,76.679,50,62,"LINESTRING (120.9055575 14.4448857, 120.9051139 14.4447558, 120.9048756 14.444687)",
225263525,1,J. Legaspi Street,residential,False,False,77.39,,,"LINESTRING (120.9055575 14.4448857, 120.9054609 14.4451896, 120.9053617 14.4455552)",
24238990,2,Tanggulan Street,residential,False,False,48.524,,,"LINESTRING (120.9041224 14.4454745, 120.9045688 14.4455342)",
24238990,2,Tanggulan Street,residential,False,True,57.04,,,"LINESTRING (120.9041224 14.4454745, 120.9036021 14.4453782)",
225263524,2,7 Bayani Street,residential,False,False,109.186,,,"LINESTRING (120.9041224 14.4454745, 120.9042003 14.445174, 120.9042859 14.4448947, 120.9043076 14.4448311, 120.90441 14.4445334)",
27053937,,Gregoria Street,residential,False,True,22.139,,,"LINESTRING (120.9026609 14.4435518, 120.9025141 14.4436912)",
"[333288584, 24238995, 647441126]",2,Gregoria Street,secondary,False,False,95.456,50,62,"LINESTRING (120.9026609 14.4435518, 120.903043 14.4430936, 120.9031391 14.4429924, 120.9032346 14.4428982)",cantilever
333288585,2,Tirona Highway,secondary,False,False,33.548,50,62,"LINESTRING (120.9026609 14.4435518, 120.9026386 14.4436012, 120.9026326 14.443648, 120.9026427 14.4437006, 120.9026588 14.44375, 120.9026869 14.4437851, 120.9027247 14.4438205)",
333288589,2,General Tirona Street,residential,False,False,26.851,,,"LINESTRING (120.9027247 14.4438205, 120.9025141 14.4436912)",
158322244,2,Tirona Highway,secondary,False,False,100.76299999999999,50,62,"LINESTRING (120.9027247 14.4438205, 120.9031802 14.4440815, 120.9033888 14.4441886, 120.903543 14.4442588)",
333288585,2,Tirona Highway,secondary,False,True,33.547999999999995,50,62,"LINESTRING (120.9027247 14.4438205, 120.9026869 14.4437851, 120.9026588 14.44375, 120.9026427 14.4437006, 120.9026326 14.443648, 120.9026386 14.4436012, 120.9026609 14.4435518)",
24238832,2,Centennial Loop,secondary,False,False,90.66099999999999,40,,"LINESTRING (120.9070538 14.4468225, 120.9067624 14.4467731, 120.9067109 14.446764, 120.906669 14.4467523, 120.9066281 14.4467373, 120.9065944 14.4467175, 120.9065551 14.4466742, 120.9065393 14.4466334, 120.9065282 14.4465922, 120.9065228 14.4465474, 120.9065141 14.4463811)",
973373288,,,unclassified,False,False,184.10500000000002,,,"LINESTRING (120.9070538 14.4468225, 120.9070755 14.4473402, 120.9073447 14.4482751, 120.9073453 14.4483515, 120.9073192 14.4484385)",
973373288,,,unclassified,False,True,184.105,,,"LINESTRING (120.9073192 14.4484385, 120.9073453 14.4483515, 120.9073447 14.4482751, 120.9070755 14.4473402, 120.9070538 14.4468225)",
105241196,1,Kapitan M.S. Victa,residential,False,False,88.577,,,"LINESTRING (120.9035962 14.4424837, 120.9036281 14.4425005, 120.9039462 14.4426771, 120.9043128 14.4428748)",
