osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,junction
"[822624922, 822642463]",,,residential,False,False,79.25899999999999,"LINESTRING (124.4445766 6.8636464, 124.4448088 6.8638149, 124.4449161 6.8638881, 124.4450006 6.8639427, 124.4450328 6.8639267, 124.445065 6.8639107, 124.4451159 6.8639201, 124.445187 6.8639454)",,,,
289080683,,,unclassified,False,False,38.6,"LINESTRING (124.442254 6.860309, 124.4423774 6.8599842)",,,,
325121410,,,residential,False,True,91.223,"LINESTRING (124.4425061 6.856533, 124.4422755 6.8568631, 124.4420438 6.8572129)",,,,
289080683,,,unclassified,False,True,38.6,"LINESTRING (124.4423774 6.8599842, 124.442254 6.860309)",,,,
289080683,,,unclassified,False,False,127.80699999999999,"LINESTRING (124.4423774 6.8599842, 124.4426429 6.8595021, 124.4429425 6.8589811)",,,,
822624935,,,residential,False,False,75.16499999999999,"LINESTRING (124.4423774 6.8599842, 124.4420448 6.8598217, 124.4417686 6.8596816)",,,,
822624936,,,residential,False,True,112.262,"LINESTRING (124.4419445 6.8593557, 124.4411121 6.8587758)",,,,
822635479,,,residential,False,False,41.114,"LINESTRING (124.4419445 6.8593557, 124.4417686 6.8596816)",,,,
822635479,,,residential,False,True,94.011,"LINESTRING (124.4419445 6.8593557, 124.4421682 6.8589802, 124.4423744 6.8586259)",,,,
822624936,,,residential,False,False,112.262,"LINESTRING (124.4411121 6.8587758, 124.4419445 6.8593557)",,,,
822624937,,,residential,False,False,87.004,"LINESTRING (124.4411121 6.8587758, 124.4415251 6.8581094)",,,,
"[822624937, 822624935]",,,residential,False,True,168.609,"LINESTRING (124.4411121 6.8587758, 124.4408921 6.8591416, 124.4408713 6.8591786, 124.4408656 6.8591936, 124.4408663 6.8592092, 124.440871 6.8592189, 124.440877 6.8592265, 124.4408854 6.8592338, 124.4409404 6.8592665, 124.4417686 6.8596816)",,,,
149306686,4,Cotabato-Koronadal Highway,trunk,False,True,120.614,"LINESTRING (124.4451203 6.8603762, 124.4456816 6.8594456)",1,60,,
149306686,4,Cotabato-Koronadal Highway,trunk,False,False,63.102000000000004,"LINESTRING (124.4451203 6.8603762, 124.4450335 6.8605201, 124.4448267 6.8608631)",1,60,,
335897179,,,tertiary,False,False,138.349,"LINESTRING (124.4451203 6.8603762, 124.4448343 6.8602078, 124.4445875 6.8600427, 124.4440723 6.8596948)",,,,
822624938,,,residential,False,True,135.512,"LINESTRING (124.4451203 6.8603762, 124.4457811 6.8607351, 124.4458857 6.860799, 124.4460091 6.8608736, 124.4461861 6.8609801)",,,,
822635453,,,residential,False,False,102.23,"LINESTRING (124.4472697 6.8593317, 124.4469049 6.8598643, 124.4468406 6.8599682, 124.4467554 6.8600961)",,,,
335897175,,,residential,False,False,16.399,"LINESTRING (124.4487892 6.8646937, 124.4488469 6.8645578)",,,,
156178362,2,Maganoy-Tuka Road,primary,False,False,155.503,"LINESTRING (124.4475326 6.8623409, 124.4488254 6.8628961)",,,,
156178362,2,Maganoy-Tuka Road,primary,False,True,107.336,"LINESTRING (124.4475326 6.8623409, 124.4466341 6.8619721)",,,,
"[822635466, 335253901]",,,unclassified,False,False,281.135,"LINESTRING (124.4475326 6.8623409, 124.4469184 6.8631318, 124.446736 6.8633555, 124.4466555 6.8634354, 124.4466099 6.8634594, 124.4465563 6.8634807, 124.4464892 6.863502, 124.4464061 6.8635286, 124.4463551 6.8635499, 124.4462934 6.8635685, 124.4462237 6.8635845, 124.4456604 6.863209)",,,,
822642464,,,residential,False,True,48.144,"LINESTRING (124.4454378 6.8635912, 124.445187 6.8639454)",,,,
822624922,,,residential,False,True,50.414,"LINESTRING (124.4455746 6.864185, 124.4454351 6.8640945, 124.4453198 6.8640252, 124.445187 6.8639454)",,,,
822642464,,,residential,False,False,48.144,"LINESTRING (124.445187 6.8639454, 124.4454378 6.8635912)",,,,
822624922,,,residential,False,False,50.414,"LINESTRING (124.445187 6.8639454, 124.4453198 6.8640252, 124.4454351 6.8640945, 124.4455746 6.864185)",,,,
"[822624922, 822642463]",,,residential,False,True,79.259,"LINESTRING (124.445187 6.8639454, 124.4451159 6.8639201, 124.445065 6.8639107, 124.4450328 6.8639267, 124.4450006 6.8639427, 124.4449161 6.8638881, 124.4448088 6.8638149, 124.4445766 6.8636464)",,,,
822233957,4,Cotabato-Koronadal Highway,trunk,False,True,71.749,"LINESTRING (124.4423345 6.8651051, 124.4426563 6.8645445)",1,60,,
822233957,4,Cotabato-Koronadal Highway,trunk,False,False,42.457,"LINESTRING (124.4423345 6.8651051, 124.4422503 6.8652407, 124.4421382 6.8654334)",1,60,,
156178362,2,Maganoy-Tuka Road,primary,False,False,126.226,"LINESTRING (124.4447588 6.8611419, 124.4458035 6.8616032)",,,,
