osmid,lanes,highway,oneway,reversed,length,name,bridge,geometry,ref,maxspeed
152457672,2,unclassified,False,True,452.312,,,"LINESTRING (120.7606605 14.3211702, 120.7611474 14.3214878, 120.7612856 14.3215801, 120.7615009 14.3215616, 120.7616116 14.3215954, 120.7617837 14.321663, 120.7619309 14.3217614, 120.7620382 14.3218511, 120.7621897 14.3219356, 120.7625486 14.3221396, 120.7631236 14.3224867, 120.7632868 14.3225852, 120.7636772 14.3228311, 120.7638186 14.3228865, 120.7639477 14.3228988, 120.7643178 14.3230364)",,
152457864,,unclassified,False,False,143.413,,,"LINESTRING (120.7606605 14.3211702, 120.7609103 14.3209054, 120.7611753 14.3206245, 120.7615832 14.3202414)",,
"[890535739, 890535740]",,residential,False,True,149.802,,,"LINESTRING (120.7606605 14.3211702, 120.7602633 14.3215587, 120.7597783 14.3220819, 120.7597316 14.3221678)",,
890535740,,residential,False,True,78.844,,,"LINESTRING (120.7596899 14.3225427, 120.7598281 14.323239)",,
890535740,,residential,False,False,42.083,,,"LINESTRING (120.7596899 14.3225427, 120.7597021 14.3222904, 120.7597316 14.3221678)",,
152457672,2,unclassified,False,False,452.31199999999995,,,"LINESTRING (120.7643178 14.3230364, 120.7639477 14.3228988, 120.7638186 14.3228865, 120.7636772 14.3228311, 120.7632868 14.3225852, 120.7631236 14.3224867, 120.7625486 14.3221396, 120.7621897 14.3219356, 120.7620382 14.3218511, 120.7619309 14.3217614, 120.7617837 14.321663, 120.7616116 14.3215954, 120.7615009 14.3215616, 120.7612856 14.3215801, 120.7611474 14.3214878, 120.7606605 14.3211702)",,
152457850,,tertiary,False,True,322.058,,,"LINESTRING (120.7643178 14.3230364, 120.7647656 14.3219801, 120.7649436 14.3216887, 120.7653387 14.3211836, 120.7659033 14.3206248)",,
152459153,1,residential,False,False,78.469,,,"LINESTRING (120.7669184 14.3177513, 120.7664988 14.3183281)",,
"[79292376, 645185266]",,tertiary,False,False,211.123,,,"LINESTRING (120.7686896 14.3208272, 120.7687455 14.3208494, 120.7687691 14.3208781, 120.768775 14.3209221, 120.7687533 14.320968, 120.7687177 14.321031, 120.7686487 14.3211372, 120.7685865 14.3212377, 120.7685508 14.3213028, 120.7685181 14.3213624, 120.7684793 14.3214638, 120.7684632 14.321582, 120.7684498 14.3217224, 120.7684443 14.3218692, 120.7684387 14.3221378, 120.7684463 14.3226067)",,
"[1237434530, 1237434531, 892519628]",,tertiary,False,"[False, True]",189.45399999999998,,,"LINESTRING (120.7686896 14.3208272, 120.768662 14.3208163, 120.768145 14.3206484, 120.7681461 14.3206412, 120.7681602 14.3205448, 120.7682062 14.3202751, 120.7686628 14.3202986, 120.7687219 14.3199781)",,
78884324,2,secondary,False,False,244.39600000000002,Sabang Road,,"LINESTRING (120.766688 14.3214883, 120.7667759 14.3215835, 120.7675638 14.322416, 120.7677847 14.3225885, 120.7679546 14.3226606, 120.7681584 14.3226776, 120.7684463 14.3226067)",402,40
