osmid,name,highway,oneway,reversed,length,geometry,lanes
53127795,M. Quezon Avenue,tertiary,False,True,73.191,"LINESTRING (125.1675501 6.1113453, 125.1675453 6.1120035)",4
60237882,Abubacar Banisil Street,residential,False,False,179.442,"LINESTRING (125.1675501 6.1113453, 125.1691728 6.111315)",
60237887,C. M. Recto Street,residential,False,True,86.388,"LINESTRING (125.1689295 6.1120042, 125.1689322 6.1127811)",
1051181429,,residential,False,True,153.041,"LINESTRING (125.1689295 6.1120042, 125.1675453 6.1120035)",
1051181429,,residential,False,False,84.128,"LINESTRING (125.1689295 6.1120042, 125.1692923 6.1120014, 125.169358 6.1119917, 125.1694009 6.1119744, 125.1694243 6.1119564, 125.1696077 6.1117791)",
60237888,Lukban Street,residential,False,False,70.535,"LINESTRING (125.1696077 6.1117791, 125.1691728 6.111315)",
60237888,Lukban Street,residential,False,True,123.26,"LINESTRING (125.1696077 6.1117791, 125.1703651 6.1125925)",
1051181429,,residential,False,True,84.128,"LINESTRING (125.1696077 6.1117791, 125.1694243 6.1119564, 125.1694009 6.1119744, 125.169358 6.1119917, 125.1692923 6.1120014, 125.1689295 6.1120042)",
57743591,J. P. Laurel Avenue,tertiary,False,True,155.849,"LINESTRING (125.1675268 6.1163324, 125.1689364 6.116335)",2
53127795,M. Quezon Avenue,tertiary,False,False,88.978,"LINESTRING (125.1675268 6.1163324, 125.1675266 6.1160607, 125.1675357 6.115631, 125.1675349 6.1155323)",4
60237872,Abdawa Street,residential,False,True,144.566,"LINESTRING (125.1696035 6.113577, 125.169598 6.1148771)",
60237876,Balagtas Street,residential,False,False,78.665,"LINESTRING (125.1696035 6.113577, 125.170315 6.1135772)",
60237876,Balagtas Street,residential,False,True,73.934,"LINESTRING (125.1696035 6.113577, 125.168935 6.1135936)",
60237871,Tieza Street,residential,False,True,154.11,"LINESTRING (125.1689373 6.11426, 125.1675436 6.1142381)",
60237887,C. M. Recto Street,residential,False,False,74.101,"LINESTRING (125.1689373 6.11426, 125.168935 6.1135936)",
60237887,C. M. Recto Street,residential,False,True,68.23,"LINESTRING (125.1689373 6.11426, 125.1689394 6.1148736)",
60237861,Sulpicio Muñasque Street,residential,False,False,71.553,"LINESTRING (125.169912 6.1106045, 125.1703667 6.1110624)",
60237882,Abubacar Banisil Street,residential,False,True,113.671,"LINESTRING (125.169912 6.1106045, 125.1691728 6.111315)",
60237882,Abubacar Banisil Street,residential,False,False,156.422,"LINESTRING (125.169912 6.1106045, 125.1702208 6.1102935, 125.1702458 6.1102615, 125.1702625 6.1102275, 125.1702686 6.1101935, 125.1702737 6.1101512, 125.1702779 6.109337)",
60237887,C. M. Recto Street,residential,False,False,86.388,"LINESTRING (125.1689322 6.1127811, 125.1689295 6.1120042)",
60237887,C. M. Recto Street,residential,False,True,90.347,"LINESTRING (125.1689322 6.1127811, 125.168935 6.1135936)",
