osmid,highway,oneway,reversed,length,geometry,ref
791502989,residential,False,True,51.368,"LINESTRING (76.8048191 24.2360996, 76.8053234 24.2360555)",
791502989,residential,False,False,138.472,"LINESTRING (76.8048191 24.2360996, 76.8047547 24.23608, 76.8038213 24.2359919, 76.8034619 24.2359919)",
791504547,residential,False,False,102.14699999999999,"LINESTRING (76.8048191 24.2360996, 76.8047872 24.2364762, 76.8048408 24.2369459, 76.8048355 24.2370144)",
791502989,residential,False,True,138.47200000000004,"LINESTRING (76.8034619 24.2359919, 76.8038213 24.2359919, 76.8047547 24.23608, 76.8048191 24.2360996)",
791504548,residential,False,False,82.057,"LINESTRING (76.8034619 24.2359919, 76.8034353 24.2357033, 76.8034675 24.2355663, 76.8037411 24.2353853)",
791504548,residential,False,True,161.015,"LINESTRING (76.8034619 24.2359919, 76.8035534 24.2363344, 76.8041542 24.2364762, 76.8042132 24.2367111, 76.8042186 24.2369997)",
791502990,residential,False,True,26.96,"LINESTRING (76.8061602 24.2356886, 76.8061602 24.2355174, 76.8061387 24.2354489)",
791502992,residential,False,True,57.19,"LINESTRING (76.8063694 24.2345439, 76.8064123 24.2347347, 76.8064123 24.2349842, 76.8063962 24.2350527)",
791502993,residential,False,True,78.314,"LINESTRING (76.8063694 24.2345439, 76.8064284 24.2345243, 76.8069327 24.2344901, 76.8071365 24.234495)",
791504550,residential,False,False,59.673,"LINESTRING (76.8063694 24.2345439, 76.8061763 24.2344314, 76.8061763 24.2343189, 76.8064123 24.2343189)",
791502993,residential,False,False,78.31400000000001,"LINESTRING (76.8071365 24.234495, 76.8069327 24.2344901, 76.8064284 24.2345243, 76.8063694 24.2345439)",
791504546,residential,False,False,62.571,"LINESTRING (76.8048355 24.2370144, 76.8042186 24.2369997)",
791504546,residential,False,True,38.686,"LINESTRING (76.8048355 24.2370144, 76.8052161 24.2370388)",
791504547,residential,False,True,102.14699999999999,"LINESTRING (76.8048355 24.2370144, 76.8048408 24.2369459, 76.8047872 24.2364762, 76.8048191 24.2360996)",
791504546,residential,False,True,62.571,"LINESTRING (76.8042186 24.2369997, 76.8048355 24.2370144)",
791504546,residential,False,False,74.28999999999999,"LINESTRING (76.8042186 24.2369997, 76.8039607 24.2370095, 76.8038535 24.2369801, 76.8034941 24.2370241)",
791504548,residential,False,False,161.015,"LINESTRING (76.8042186 24.2369997, 76.8042132 24.2367111, 76.8041542 24.2364762, 76.8035534 24.2363344, 76.8034619 24.2359919)",
791504548,residential,False,False,48.686,"LINESTRING (76.8037411 24.2353853, 76.8038699 24.2352484, 76.8040898 24.2350869)",
791504548,residential,False,True,82.057,"LINESTRING (76.8037411 24.2353853, 76.8034675 24.2355663, 76.8034353 24.2357033, 76.8034619 24.2359919)",
791504549,residential,False,True,119.35399999999998,"LINESTRING (76.8037411 24.2353853, 76.8038484 24.235444, 76.8040898 24.2354783, 76.8043795 24.2354685, 76.8048945 24.2355174)",
791504548,residential,False,True,48.686,"LINESTRING (76.8040898 24.2350869, 76.8038699 24.2352484, 76.8037411 24.2353853)",
791504549,residential,False,False,119.354,"LINESTRING (76.8048945 24.2355174, 76.8043795 24.2354685, 76.8040898 24.2354783, 76.8038484 24.235444, 76.8037411 24.2353853)",
791504550,residential,False,True,59.673,"LINESTRING (76.8064123 24.2343189, 76.8061763 24.2343189, 76.8061763 24.2344314, 76.8063694 24.2345439)",
791504558,residential,False,False,109.268,"LINESTRING (76.8032314 24.2378951, 76.8034996 24.2379245, 76.8040897 24.237944, 76.804256 24.2378168)",
