osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access
806898056,Edavanna Wandoor Road,secondary,False,True,222.51299999999998,"LINESTRING (76.2354806 11.1956936, 76.2353628 11.1957231, 76.2346025 11.1959182, 76.234348 11.1959853, 76.2343422 11.1959874, 76.2341724 11.1960357, 76.2337585 11.1961852, 76.2335338 11.1962807)",,,,
803315146,Valanchery - Nilambur Road,primary,False,True,9.703,"LINESTRING (76.2356143 11.1936288, 76.2355917 11.1935444)",2,SH73,40,
478006901,,tertiary,False,True,48.059,"LINESTRING (76.2356143 11.1936288, 76.2355076 11.1936581, 76.2353191 11.1937253, 76.2352101 11.1937934)",,,,
803315146,Valanchery - Nilambur Road,primary,False,False,216.797,"LINESTRING (76.2356143 11.1936288, 76.235654 11.193757, 76.2357277 11.1939962, 76.2358659 11.1946616, 76.2358683 11.1946769, 76.2360102 11.195537)",2,SH73,40,
478006901,,tertiary,False,False,48.059,"LINESTRING (76.2352101 11.1937934, 76.2353191 11.1937253, 76.2355076 11.1936581, 76.2356143 11.1936288)",,,,
478006901,,tertiary,False,True,21.893,"LINESTRING (76.2352101 11.1937934, 76.2350831 11.1938727, 76.2350546 11.1939132)",,,,
798625310,,unclassified,False,False,49.82299999999999,"LINESTRING (76.2352101 11.1937934, 76.235126 11.1934833, 76.2351482 11.193358)",,,,
798625310,,unclassified,False,False,41.07900000000001,"LINESTRING (76.2351482 11.193358, 76.2353305 11.1932865, 76.235424 11.1932478, 76.2354966 11.1932178)",,,,
798625310,,unclassified,False,True,49.82299999999999,"LINESTRING (76.2351482 11.193358, 76.235126 11.1934833, 76.2352101 11.1937934)",,,,
1227132011,,residential,False,False,75.018,"LINESTRING (76.2351482 11.193358, 76.2349733 11.193422, 76.2348968 11.1934677, 76.2349816 11.1938627)",,,,
478006903,TB ROAD,unclassified,False,False,17.202,"LINESTRING (76.2391044 11.1946785, 76.2392305 11.1947714)",,,,
34752021,Thrikkalangode-Thiruvali-Wandoor-Kalikavu Road,secondary,False,False,125.688,"LINESTRING (76.2391044 11.1946785, 76.2389392 11.194732, 76.238019 11.1950578)",,,,
478006903,TB ROAD,unclassified,False,True,63.953,"LINESTRING (76.2397799 11.1949722, 76.2392305 11.1947714)",,,,
478006903,TB ROAD,unclassified,False,False,87.623,"LINESTRING (76.2397799 11.1949722, 76.2398633 11.1950257, 76.2400138 11.1950563, 76.2400397 11.1951301, 76.2401565 11.1952548, 76.2401798 11.1953515, 76.2401902 11.1953821, 76.2403537 11.1953872)",,,,
962837236,,unclassified,False,True,158.61599999999999,"LINESTRING (76.2397799 11.1949722, 76.2397752 11.1951424, 76.2398662 11.1954339, 76.2400291 11.1960638, 76.240179 11.196327)",,,,
478006903,TB ROAD,unclassified,False,False,63.953,"LINESTRING (76.2392305 11.1947714, 76.2397799 11.1949722)",,,,
478006903,TB ROAD,unclassified,False,True,17.202,"LINESTRING (76.2392305 11.1947714, 76.2391044 11.1946785)",,,,
478006904,,unclassified,False,False,133.274,"LINESTRING (76.2392305 11.1947714, 76.239292 11.1953072, 76.2394262 11.1959533)",,,,
892173715,,unclassified,False,False,35.181,"LINESTRING (76.2394262 11.1959533, 76.2391182 11.1960472)",,,,
478006904,,unclassified,False,False,73.484,"LINESTRING (76.2394262 11.1959533, 76.2397108 11.1965036, 76.2397379 11.1965384)",,,,
478006904,,unclassified,False,True,133.274,"LINESTRING (76.2394262 11.1959533, 76.239292 11.1953072, 76.2392305 11.1947714)",,,,
721617779,,unclassified,False,False,22.993,"LINESTRING (76.2405909 11.1977249, 76.2407138 11.1978929)",,,,
478006904,,unclassified,False,False,79.815,"LINESTRING (76.2405909 11.1977249, 76.2405624 11.1977647, 76.2403836 11.1978764, 76.2403063 11.1978285, 76.2401843 11.197673, 76.2400136 11.1977249)",,,,
478006904,,unclassified,False,True,161.711,"LINESTRING (76.2405909 11.1977249, 76.2404649 11.1974975, 76.2402535 11.1971984, 76.2397379 11.1965384)",,,,
478006904,,unclassified,False,True,79.815,"LINESTRING (76.2400136 11.1977249, 76.2401843 11.197673, 76.2403063 11.1978285, 76.2403836 11.1978764, 76.2405624 11.1977647, 76.2405909 11.1977249)",,,,
34752021,Thrikkalangode-Thiruvali-Wandoor-Kalikavu Road,secondary,False,False,66.673,"LINESTRING (76.238019 11.1950578, 76.2379732 11.195074, 76.2374299 11.1952171)",,,,
34752021,Thrikkalangode-Thiruvali-Wandoor-Kalikavu Road,secondary,False,True,125.688,"LINESTRING (76.238019 11.1950578, 76.2389392 11.194732, 76.2391044 11.1946785)",,,,
