osmid,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,junction
298106984,residential,False,False,93.498,,,"LINESTRING (77.2843459 30.1215139, 77.2844258 30.1218776, 77.2844336 30.1218965, 77.2844555 30.1219078, 77.2844872 30.1219044, 77.2849071 30.1217347)",,
298106958,residential,False,True,84.186,,,"LINESTRING (77.2865284 30.1215779, 77.2860213 30.1209608)",,
298106994,residential,False,False,11.071,,,"LINESTRING (77.2848723 30.1216398, 77.2849071 30.1217347)",,
298106944,residential,False,False,53.203,,,"LINESTRING (77.2848723 30.1216398, 77.2847169 30.1216294, 77.2845362 30.1215903, 77.2844359 30.1215609, 77.2843459 30.1215139)",,
298106944,residential,False,True,93.03200000000001,,,"LINESTRING (77.2848723 30.1216398, 77.2849733 30.1216303, 77.2850844 30.1216052, 77.2851732 30.1215719, 77.2857348 30.1212819)",,
298106989,residential,False,False,38.344,,,"LINESTRING (77.2910383 30.1217125, 77.2907497 30.1219504)",,
298106989,residential,False,True,54.873,,,"LINESTRING (77.2910383 30.1217125, 77.2913684 30.122115)",,
990654150,residential,False,True,19.865,,,"LINESTRING (77.2910383 30.1217125, 77.2911911 30.1215923)",,
298106964,residential,False,True,88.281,,,"LINESTRING (77.2864604 30.121738, 77.2858802 30.1211228)",,
298106994,residential,False,False,16.354,,,"LINESTRING (77.2849071 30.1217347, 77.2849707 30.1218711)",,
298106994,residential,False,True,11.071,,,"LINESTRING (77.2849071 30.1217347, 77.2848723 30.1216398)",,
298106984,residential,False,True,93.498,,,"LINESTRING (77.2849071 30.1217347, 77.2844872 30.1219044, 77.2844555 30.1219078, 77.2844336 30.1218965, 77.2844258 30.1218776, 77.2843459 30.1215139)",,
298106994,residential,False,True,16.354,,,"LINESTRING (77.2849707 30.1218711, 77.2849071 30.1217347)",,
298106961,residential,False,True,50.617,,,"LINESTRING (77.2907497 30.1219504, 77.2910749 30.1223083)",,
298106989,residential,False,True,38.344,,,"LINESTRING (77.2907497 30.1219504, 77.2910383 30.1217125)",,
990654152,residential,False,True,43.5,,,"LINESTRING (77.2907497 30.1219504, 77.2904262 30.1222238)",,
38626882,tertiary,False,True,4.636,ODR,50,"LINESTRING (77.2914079 30.1220911, 77.2913684 30.122115)",,
"[298106968, 298106990]",residential,False,True,69.35999999999999,,,"LINESTRING (77.2914079 30.1220911, 77.2916283 30.1223169, 77.291638 30.1223368, 77.291633 30.122355, 77.2916233 30.1223682, 77.2914033 30.122563)",,
38626882,tertiary,False,False,4.636,ODR,50,"LINESTRING (77.2913684 30.122115, 77.2914079 30.1220911)",,
38626882,tertiary,False,True,30.63,ODR,50,"LINESTRING (77.2913684 30.122115, 77.2911179 30.1222851)",,
298106989,residential,False,False,54.873,,,"LINESTRING (77.2913684 30.122115, 77.2910383 30.1217125)",,
