osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref
124077193,False,2,ぶどう園通り,tertiary,40,False,71.52799999999999,"LINESTRING (140.1462057 35.9766914, 140.1459642 35.9765769, 140.1458426 35.9765331, 140.1456526 35.9764899, 140.1456002 35.9764809, 140.1454708 35.9764645)",
124077188,False,,,unclassified,,True,127.353,"LINESTRING (140.1487715 35.9801903, 140.1473572 35.9802339)",
601296757,False,,,unclassified,,True,49.188,"LINESTRING (140.1487715 35.9801903, 140.1487859 35.9806325)",
124077188,False,,,unclassified,,False,141.92,"LINESTRING (140.1487715 35.9801903, 140.1491436 35.9801987, 140.150348 35.9802287)",
398161411,False,,,unclassified,,True,60.397,"LINESTRING (140.1485809 35.9752448, 140.1480123 35.9749562)",
198859591,False,,,unclassified,,False,29.621,"LINESTRING (140.1485809 35.9752448, 140.1484556 35.9753862, 140.1483891 35.9754613)",
56987771,False,2,けやき通り,secondary,60,False,64.367,"LINESTRING (140.1483891 35.9754613, 140.149104 35.9754421)",272
"[1214085361, 56987771]",False,2,けやき通り,secondary,60,True,150.212,"LINESTRING (140.1483891 35.9754613, 140.146799 35.9755051, 140.1467208 35.9755073)",272
198859591,False,,,unclassified,,True,29.621,"LINESTRING (140.1483891 35.9754613, 140.1484556 35.9753862, 140.1485809 35.9752448)",
198861229,False,,,unclassified,,False,55.143,"LINESTRING (140.1483891 35.9754613, 140.1483277 35.9755378, 140.1481977 35.9756998, 140.1480496 35.9758741)",
1214085358,False,2,けやき通り,secondary,60,True,24.238,"LINESTRING (140.1443417 35.9755728, 140.1440725 35.9755802)",272
198860793,False,,,unclassified,,False,55.48,"LINESTRING (140.1443417 35.9755728, 140.1443421 35.9756495, 140.144343 35.9756659, 140.144497 35.9757184, 140.1447748 35.975869)",
"[1214085358, 1214085359]",False,2,けやき通り,secondary,60,False,170.82,"LINESTRING (140.1443417 35.9755728, 140.1456545 35.9755366, 140.1460201 35.9755266, 140.1461213 35.9755239, 140.1462389 35.9755212)",272
198861229,False,,,unclassified,,True,49.989,"LINESTRING (140.1467203 35.9756169, 140.1471761 35.9758739)",
