osmid,highway,oneway,reversed,length,lanes,width,geometry,bridge,maxspeed
61836424,unclassified,False,False,46.538,,,"LINESTRING (130.474678 33.5355596, 130.4742806 33.5353038)",,
61836424,unclassified,False,True,48.364,,,"LINESTRING (130.474678 33.5355596, 130.4750363 33.5358758)",,
172024432,unclassified,False,False,88.778,,,"LINESTRING (130.474678 33.5355596, 130.4753245 33.5349705)",,
62262372,unclassified,False,False,66.584,,,"LINESTRING (130.474678 33.5355596, 130.4742174 33.5359037, 130.4741178 33.5359097)",,
57717858,tertiary,False,False,18.906,2,5,"LINESTRING (130.4738067 33.536984, 130.4736445 33.5370871)",,
57717858,tertiary,False,True,8.465,2,5,"LINESTRING (130.4738067 33.536984, 130.4738808 33.5369395)",,
61434138,unclassified,False,False,48.550999999999995,,,"LINESTRING (130.4738067 33.536984, 130.4737543 33.5369008, 130.4735266 33.5366155)",,
57901367,tertiary,False,False,31.725,2,5,"LINESTRING (130.4741178 33.5359097, 130.4741953 33.5356318)",,
57901367,tertiary,False,True,8.784,2,5,"LINESTRING (130.4741178 33.5359097, 130.4741007 33.5359874)",,
62262372,unclassified,False,True,66.584,,,"LINESTRING (130.4741178 33.5359097, 130.4742174 33.5359037, 130.474678 33.5355596)",,
57901367,tertiary,False,False,37.319,2,5,"LINESTRING (130.4741953 33.5356318, 130.4742806 33.5353038)",,
57901367,tertiary,False,True,31.725,2,5,"LINESTRING (130.4741953 33.5356318, 130.4741178 33.5359097)",,
172131853,unclassified,False,True,62.58,,,"LINESTRING (130.4741953 33.5356318, 130.4735215 33.5355958)",,
61964648,residential,True,False,111.066,1,2.5,"LINESTRING (130.4690861 33.536019, 130.4693879 33.5362236, 130.469605 33.5363603, 130.4697772 33.5364673, 130.4698711 33.5365209, 130.4700703 33.5365726)",,
54407456,tertiary,False,False,12.409,,,"LINESTRING (130.4682193 33.5351692, 130.4683141 33.5350904)",,
54407456,tertiary,False,True,12.949,,,"LINESTRING (130.4682193 33.5351692, 130.4681207 33.5352517)",,
