osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction
31976496,,U Nadjezdu,residential,False,True,229.62099999999998,"LINESTRING (14.9910682 50.1327765, 14.9913626 50.1327274, 14.9910833 50.1319398, 14.9895062 50.1322662)",,,
31976497,,U Nadjezdu,residential,False,False,106.00000000000001,"LINESTRING (14.9910682 50.1327765, 14.9910035 50.1326303, 14.9905966 50.132707, 14.9906763 50.1328962, 14.9910912 50.1328353, 14.9910682 50.1327765)",,,
31976497,,U Nadjezdu,residential,False,True,106.0,"LINESTRING (14.9910682 50.1327765, 14.9910912 50.1328353, 14.9906763 50.1328962, 14.9905966 50.132707, 14.9910035 50.1326303, 14.9910682 50.1327765)",,,
31976416,,Pražská,residential,False,False,71.86,"LINESTRING (14.9829811 50.1351512, 14.983161 50.135209, 14.9836829 50.1352801, 14.9839504 50.1353164)",,,
31976416,,Pražská,residential,False,True,144.054,"LINESTRING (14.9829811 50.1351512, 14.9826035 50.1350229, 14.9824883 50.1349867, 14.9823743 50.1349635, 14.9810337 50.1348873)",,,
52142756,,Tyršova,residential,False,False,114.668,"LINESTRING (14.9829811 50.1351512, 14.9830035 50.1353619, 14.9830735 50.1356597, 14.9831854 50.1361736)",,,
1123457531,,Kostelní,residential,False,False,36.47,"LINESTRING (14.9831854 50.1361736, 14.9826737 50.1361746)",,,
1123457531,,Kostelní,residential,False,True,64.189,"LINESTRING (14.9831854 50.1361736, 14.9840793 50.136244)",,,
52142756,,Tyršova,residential,False,True,114.668,"LINESTRING (14.9831854 50.1361736, 14.9830735 50.1356597, 14.9830035 50.1353619, 14.9829811 50.1351512)",,,
359092458,611,Poděbradská,secondary,False,False,7.655,"LINESTRING (14.9843221 50.1339137, 14.9842147 50.1339137)",2,,
9526553,611,Poděbradská,secondary,True,False,83.55499999999999,"LINESTRING (14.9843221 50.1339137, 14.9853075 50.1338679, 14.985486 50.1338385)",1,,
41838758,611,Poděbradská,secondary,False,True,250.93099999999998,"LINESTRING (14.9865693 50.13389, 14.9875489 50.1338434, 14.988709 50.1337776, 14.9891368 50.1337411, 14.9900709 50.1336628)",2,,
359092443,611,Poděbradská,secondary,True,False,52.114,"LINESTRING (14.9865693 50.13389, 14.9860174 50.1339401, 14.9858506 50.1339713)",,,
136015611,330;611;334,,secondary,True,False,11.702,"LINESTRING (14.9858506 50.1339713, 14.9858194 50.1340001, 14.9857776 50.1340228, 14.9857281 50.1340377)",1,,roundabout
136015611,330;611;334,,secondary,True,False,16.207,"LINESTRING (14.9858361 50.1338325, 14.9858628 50.1338663, 14.9858738 50.1339034, 14.9858691 50.1339384, 14.9858506 50.1339713)",1,,roundabout
359092433,611,Poděbradská,secondary,True,False,52.738,"LINESTRING (14.9858361 50.1338325, 14.9860181 50.1338588, 14.9865693 50.13389)",,,
136015611,330;611;334,,secondary,True,False,6.678,"LINESTRING (14.985535 50.1340156, 14.9854759 50.133969)",1,,roundabout
136015611,330;611;334,,secondary,True,False,15.133000000000001,"LINESTRING (14.9854759 50.133969, 14.9854599 50.1339406, 14.9854543 50.1339106, 14.9854621 50.1338731, 14.985486 50.1338385)",1,,roundabout
359092466,611,Poděbradská,secondary,True,False,82.521,"LINESTRING (14.9854759 50.133969, 14.9853146 50.1339519, 14.9843221 50.1339137)",1,,
136015611,330;611;334,,secondary,True,False,8.414,"LINESTRING (14.985486 50.1338385, 14.9855239 50.1338095, 14.9855729 50.1337884)",1,,roundabout
136015611,330;611;334,,secondary,True,False,12.517999999999999,"LINESTRING (14.9855729 50.1337884, 14.9856291 50.1337769, 14.9856881 50.1337759, 14.9857452 50.1337808)",1,,roundabout
359092449,334,Československé armády,secondary,True,False,29.188,"LINESTRING (14.9855729 50.1337884, 14.9855732 50.1336861, 14.9855736 50.1335259)",,,
136015611,330;611;334,,secondary,True,False,8.698,"LINESTRING (14.9857452 50.1337808, 14.9857959 50.1338049, 14.9858361 50.1338325)",1,,roundabout
136015611,330;611;334,,secondary,True,False,14.515,"LINESTRING (14.9857281 50.1340377, 14.9856743 50.134044, 14.9856198 50.1340411, 14.9855751 50.1340314, 14.985535 50.1340156)",1,,roundabout
"[1064111763, 359092455]",330,Paroubkova,secondary,True,False,29.64,"LINESTRING (14.9857281 50.1340377, 14.9856607 50.1341412, 14.9855851 50.1342878)",1,,
291412980,,Gregrovo náměstí,residential,False,True,92.169,"LINESTRING (14.9862735 50.1341295, 14.986367 50.1344518, 14.9857287 50.1345011, 14.9855909 50.1345117)",,,
31976387,330,Paroubkova,secondary,False,False,24.9,"LINESTRING (14.9855909 50.1345117, 14.9855851 50.1342878)",2,,
31976387,330,Paroubkova,secondary,False,True,77.574,"LINESTRING (14.9855909 50.1345117, 14.9856484 50.1351096, 14.985648 50.1352082)",2,,
291412980,,Gregrovo náměstí,residential,False,False,92.169,"LINESTRING (14.9855909 50.1345117, 14.9857287 50.1345011, 14.986367 50.1344518, 14.9862735 50.1341295)",,,
894691284,334,Československé armády,secondary,False,True,12.163,"LINESTRING (14.9855736 50.1335259, 14.9855496 50.1334176)",,,
"[359092437, 1064111766]",334,Československé armády,secondary,True,False,30.87,"LINESTRING (14.9855736 50.1335259, 14.9856756 50.1336756, 14.9857452 50.1337808)",,,
31976387,330,Paroubkova,secondary,False,True,24.9,"LINESTRING (14.9855851 50.1342878, 14.9855909 50.1345117)",2,,
359092452,330,Paroubkova,secondary,True,False,30.503,"LINESTRING (14.9855851 50.1342878, 14.985548 50.1341339, 14.985535 50.1340156)",1,,
31976426,,Husínek,residential,False,True,213.81,"LINESTRING (14.9882572 50.1336794, 14.9873845 50.1334439, 14.9867845 50.1332923, 14.9862661 50.1331696, 14.9862077 50.1331684, 14.9861439 50.1331724, 14.9860573 50.1331786, 14.9859653 50.1331957, 14.9858856 50.1332149, 14.9858096 50.1332422, 14.9856212 50.1333654, 14.9855496 50.1334176)",,,
1049208633,,,residential,False,True,69.461,"LINESTRING (14.9867409 50.139325, 14.9876459 50.1390931)",,,
1049208633,,,residential,False,False,69.461,"LINESTRING (14.9876459 50.1390931, 14.9867409 50.139325)",,,
31976378,,Mládežnická,residential,False,True,87.944,"LINESTRING (14.9876459 50.1390931, 14.9873198 50.1385239, 14.9872852 50.1383407)",,,
1049208804,,,residential,False,True,56.569,"LINESTRING (14.984571 50.1379875, 14.9838432 50.1381905)",,,
1049208804,,,residential,False,False,56.569,"LINESTRING (14.9838432 50.1381905, 14.984571 50.1379875)",,,
"[51979485, 31976407]",,"['Za Kinem', 'Na Lávkách']",residential,False,False,144.415,"LINESTRING (14.9838432 50.1381905, 14.984039 50.1386586, 14.9836829 50.1387313, 14.9828961 50.1390067)",,,
31976407,,Za Kinem,residential,False,True,217.624,"LINESTRING (14.9838432 50.1381905, 14.9837513 50.1379707, 14.9832248 50.1373355, 14.9825331 50.1368722, 14.9820478 50.1366736)",,,
31976379,,Palackého nám.,residential,False,False,17.67,"LINESTRING (14.985648 50.1352082, 14.9856501 50.1353671)",,,
31976387,330,Paroubkova,secondary,False,True,17.67,"LINESTRING (14.985648 50.1352082, 14.9856501 50.1353671)",2,,
31976379,,Palackého nám.,residential,False,True,94.199,"LINESTRING (14.985648 50.1352082, 14.9857576 50.1352051, 14.9859861 50.1352062, 14.9860653 50.1352662, 14.9860806 50.1353335, 14.986104 50.135473, 14.9861644 50.1357493, 14.9861818 50.1358128)",,,
31976387,330,Paroubkova,secondary,False,False,77.574,"LINESTRING (14.985648 50.1352082, 14.9856484 50.1351096, 14.9855909 50.1345117)",2,,
31976379,,Palackého nám.,residential,False,False,94.199,"LINESTRING (14.9861818 50.1358128, 14.9861644 50.1357493, 14.986104 50.135473, 14.9860806 50.1353335, 14.9860653 50.1352662, 14.9859861 50.1352062, 14.9857576 50.1352051, 14.985648 50.1352082)",,,
