osmid,oneway,name,highway,reversed,length,junction,geometry
377991842,False,,residential,False,32.886,,"LINESTRING (41.0772567 19.1290622, 41.0772107 19.1290834, 41.0769607 19.129157)"
1063328617,False,,residential,False,309.039,,"LINESTRING (41.0772567 19.1290622, 41.0772726 19.1296047, 41.077325 19.1301519, 41.0773466 19.1305682, 41.0773743 19.1307923, 41.0776547 19.1307661, 41.077855 19.1308011, 41.0781107 19.1307341, 41.0784649 19.1307559)"
378091090,False,,residential,True,14.729,,"LINESTRING (41.0784649 19.1307559, 41.0784313 19.1308845)"
378091090,False,,residential,False,30.983,,"LINESTRING (41.0784649 19.1307559, 41.078508 19.1305906, 41.0785414 19.1304869)"
1063328617,False,,residential,True,309.039,,"LINESTRING (41.0784649 19.1307559, 41.0781107 19.1307341, 41.077855 19.1308011, 41.0776547 19.1307661, 41.0773743 19.1307923, 41.0773466 19.1305682, 41.077325 19.1301519, 41.0772726 19.1296047, 41.0772567 19.1290622)"
377991842,False,,residential,False,18.691,,"LINESTRING (41.0798291 19.1279343, 41.0796663 19.1280021)"
377991842,False,,residential,True,46.59,,"LINESTRING (41.0798291 19.1279343, 41.0802349 19.1277653)"
1063328622,False,,residential,True,121.059,,"LINESTRING (41.0798291 19.1279343, 41.0799321 19.1281903, 41.0800091 19.1283635, 41.0800799 19.1283533, 41.0803526 19.1282951, 41.0805452 19.1282252, 41.0806387 19.1281778)"
1063328623,False,,residential,False,72.215,,"LINESTRING (41.0786783 19.1249663, 41.0789724 19.1255533)"
377991848,False,,residential,False,35.31,,"LINESTRING (41.0789724 19.1255533, 41.0793083 19.1255423)"
1063328623,False,,residential,True,72.215,,"LINESTRING (41.0789724 19.1255533, 41.0786783 19.1249663)"
1063332276,False,,residential,True,83.299,,"LINESTRING (41.0789724 19.1255533, 41.079335 19.1262195)"
377991848,False,,residential,True,28.185000000000002,,"LINESTRING (41.0789724 19.1255533, 41.0789498 19.125554, 41.078705 19.1255735)"
1063328624,False,,residential,True,50.588,,"LINESTRING (41.0780759 19.1251671, 41.0781069 19.1256211)"
377991847,False,,residential,False,63.664,,"LINESTRING (41.0771397 19.1244461, 41.0770967 19.123875)"
377991847,False,,residential,True,133.648,,"LINESTRING (41.0771397 19.1244461, 41.0772299 19.125645)"
1063328625,False,,residential,False,194.908,,"LINESTRING (41.0771397 19.1244461, 41.0789296 19.123985)"
1103107687,False,,residential,True,66.627,,"LINESTRING (41.0771397 19.1244461, 41.0765344 19.1246249)"
377991841,False,,residential,True,60.728,,"LINESTRING (41.0789296 19.123985, 41.0788528 19.1234437)"
1063328625,False,,residential,True,194.908,,"LINESTRING (41.0789296 19.123985, 41.0771397 19.1244461)"
377991841,False,,residential,False,75.60900000000001,,"LINESTRING (41.0789296 19.123985, 41.0790119 19.1245648, 41.0790396 19.1246561)"
377991839,False,,residential,False,178.337,,"LINESTRING (41.0769666 19.1222759, 41.0770967 19.123875)"
1063328629,False,,residential,False,220.745,,"LINESTRING (41.0769666 19.1222759, 41.0779586 19.1220924, 41.0779656 19.1228716, 41.0780718 19.1229351, 41.0782115 19.1229282)"
377991840,False,,residential,True,74.349,,"LINESTRING (41.0782115 19.1229282, 41.0782303 19.1235966)"
1063328629,False,,residential,True,220.745,,"LINESTRING (41.0782115 19.1229282, 41.0780718 19.1229351, 41.0779656 19.1228716, 41.0779586 19.1220924, 41.0769666 19.1222759)"
1063332255,False,,residential,False,33.638,,"LINESTRING (41.0803264 19.1280552, 41.0802349 19.1277653)"
377991842,False,,residential,False,46.59,,"LINESTRING (41.0802349 19.1277653, 41.0798291 19.1279343)"
377991842,False,,residential,True,21.376,,"LINESTRING (41.0802349 19.1277653, 41.0804211 19.1276878)"
1063332255,False,,residential,True,33.638,,"LINESTRING (41.0802349 19.1277653, 41.0803264 19.1280552)"
1063324579,False,,residential,False,44.826,,"LINESTRING (41.0818031 19.1268271, 41.0817921 19.12679, 41.0817936 19.1264254)"
1063324579,False,,residential,True,62.824,,"LINESTRING (41.0818031 19.1268271, 41.0818484 19.12698, 41.0819209 19.1273804)"
1063332262,False,,residential,False,101.35000000000001,,"LINESTRING (41.0818031 19.1268271, 41.0816298 19.1268506, 41.0814881 19.1269612, 41.0813124 19.1270456, 41.0809489 19.127114, 41.0809129 19.1271258)"
1063324576,False,,residential,False,45.72,,"LINESTRING (41.0809129 19.1271258, 41.080856 19.1269319, 41.0807619 19.1267417)"
1063324576,False,,residential,True,74.81899999999999,,"LINESTRING (41.0809129 19.1271258, 41.0809177 19.1271422, 41.0808694 19.1273373, 41.0807836 19.1274818, 41.0805287 19.127643)"
1063332262,False,,residential,True,101.35000000000001,,"LINESTRING (41.0809129 19.1271258, 41.0809489 19.127114, 41.0813124 19.1270456, 41.0814881 19.1269612, 41.0816298 19.1268506, 41.0818031 19.1268271)"
1063324570,False,,residential,False,52.834,,"LINESTRING (41.0787015 19.1261168, 41.07867 19.1261083, 41.0782127 19.1260052)"
1063324570,False,,residential,True,62.342,,"LINESTRING (41.0787015 19.1261168, 41.0791797 19.1262451, 41.0792383 19.1263173)"
1063332264,False,,residential,False,61.232,,"LINESTRING (41.0787015 19.1261168, 41.0787471 19.1259104, 41.0787328 19.1257126, 41.078705 19.1255735)"
377991848,False,,residential,True,63.057,,"LINESTRING (41.078705 19.1255735, 41.0781069 19.1256211)"
377991848,False,,residential,False,28.185000000000002,,"LINESTRING (41.078705 19.1255735, 41.0789498 19.125554, 41.0789724 19.1255533)"
1063332264,False,,residential,True,61.232,,"LINESTRING (41.078705 19.1255735, 41.0787328 19.1257126, 41.0787471 19.1259104, 41.0787015 19.1261168)"
1063332273,False,,residential,False,60.464,,"LINESTRING (41.0792815 19.1273433, 41.079078 19.1273583, 41.0787174 19.1274424)"
377991849,False,,residential,False,97.61,,"LINESTRING (41.0787174 19.1274424, 41.0790086 19.128276)"
377991849,False,,residential,True,60.933,,"LINESTRING (41.0787174 19.1274424, 41.0785357 19.126922)"
1063332273,False,,residential,True,60.464,,"LINESTRING (41.0787174 19.1274424, 41.079078 19.1273583, 41.0792815 19.1273433)"
