osmid,oneway,highway,reversed,length,geometry
758720297,False,residential,False,105.03500000000001,"LINESTRING (41.7602089 22.4361604, 41.7602058 22.4361931, 41.7601071 22.4371003)"
758720297,False,residential,True,120.054,"LINESTRING (41.7602089 22.4361604, 41.7602932 22.4352773, 41.7602975 22.4350842)"
758720306,False,residential,True,9.201,"LINESTRING (41.7587408 22.43614, 41.7586533 22.4361575)"
758720306,False,residential,False,83.18799999999999,"LINESTRING (41.7587408 22.43614, 41.7590595 22.4360764, 41.7595404 22.4361213)"
758720307,False,residential,False,102.43799999999999,"LINESTRING (41.7587408 22.43614, 41.7592927 22.436458, 41.7595142 22.4367041)"
758720298,False,residential,False,73.44800000000001,"LINESTRING (41.7588867 22.4370061, 41.7588555 22.4368396, 41.758661 22.4363821)"
758720298,False,residential,True,40.524,"LINESTRING (41.7588867 22.4370061, 41.758943 22.4373065, 41.7589511 22.4373656)"
758720308,False,residential,False,73.52799999999999,"LINESTRING (41.7588867 22.4370061, 41.7593315 22.4368441, 41.7595142 22.4367041)"
758720307,False,residential,False,57.269,"LINESTRING (41.7595142 22.4367041, 41.7598706 22.4371)"
758720307,False,residential,True,102.43799999999999,"LINESTRING (41.7595142 22.4367041, 41.7592927 22.436458, 41.7587408 22.43614)"
758720308,False,residential,True,73.52799999999999,"LINESTRING (41.7595142 22.4367041, 41.7593315 22.4368441, 41.7588867 22.4370061)"
758720305,False,residential,False,37.478,"LINESTRING (41.7596386 22.4344406, 41.7595889 22.4347745)"
758720305,False,residential,True,57.76,"LINESTRING (41.7596386 22.4344406, 41.7597152 22.433926)"
758720309,False,residential,False,69.723,"LINESTRING (41.7596386 22.4344406, 41.7603097 22.4345322)"
758720297,False,residential,False,61.392,"LINESTRING (41.7603097 22.4345322, 41.7602975 22.4350842)"
758720309,False,residential,False,182.15,"LINESTRING (41.7603097 22.4345322, 41.7620659 22.4347521)"
758720309,False,residential,True,69.723,"LINESTRING (41.7603097 22.4345322, 41.7596386 22.4344406)"
758720297,False,residential,True,60.244,"LINESTRING (41.7603097 22.4345322, 41.7603126 22.4344019, 41.7603726 22.4339942)"
758720309,False,residential,False,104.393,"LINESTRING (41.7620659 22.4347521, 41.7630699 22.4348942)"
758720309,False,residential,True,182.15,"LINESTRING (41.7620659 22.4347521, 41.7603097 22.4345322)"
758720310,False,residential,True,148.487,"LINESTRING (41.7620659 22.4347521, 41.7622499 22.4334276)"
922947188,False,residential,False,103.72,"LINESTRING (41.7620659 22.4347521, 41.7619881 22.4356821)"
758720309,False,residential,True,12.498,"LINESTRING (41.764721 22.4351108, 41.7646004 22.4350964)"
112691883,True,tertiary,False,187.255,"LINESTRING (41.764721 22.4351108, 41.7651024 22.4337522, 41.7651722 22.4334793)"
758720310,False,residential,False,26.77,"LINESTRING (41.762283 22.4331888, 41.7622499 22.4334276)"
112691870,True,tertiary,False,48.097,"LINESTRING (41.762283 22.4331888, 41.7621443 22.4331749, 41.761818 22.4331402)"
758720310,False,residential,False,148.487,"LINESTRING (41.7622499 22.4334276, 41.7620659 22.4347521)"
758720310,False,residential,True,26.77,"LINESTRING (41.7622499 22.4334276, 41.762283 22.4331888)"
758720311,False,residential,False,113.157,"LINESTRING (41.7622499 22.4334276, 41.7611586 22.4332931)"
758720297,False,residential,False,69.374,"LINESTRING (41.760488 22.4332105, 41.760397 22.4338287)"
758720297,False,residential,True,23.398,"LINESTRING (41.760488 22.4332105, 41.7605187 22.433002)"
758720311,False,residential,False,174.049,"LINESTRING (41.760488 22.4332105, 41.7588106 22.4329958)"
758720311,False,residential,True,69.534,"LINESTRING (41.760488 22.4332105, 41.7611586 22.4332931)"
758720282,False,residential,False,100.206,"LINESTRING (41.7588106 22.4329958, 41.7586569 22.4338857)"
758720282,False,residential,True,19.211,"LINESTRING (41.7588106 22.4329958, 41.7588401 22.4328252)"
758720311,False,residential,False,93.507,"LINESTRING (41.7588106 22.4329958, 41.7579098 22.432878)"
758720311,False,residential,True,174.049,"LINESTRING (41.7588106 22.4329958, 41.760488 22.4332105)"
758720285,False,residential,False,100.159,"LINESTRING (41.7579098 22.432878, 41.7577458 22.4337659)"
758720285,False,residential,True,16.683,"LINESTRING (41.7579098 22.432878, 41.7579371 22.4327301)"
758720311,False,residential,True,93.507,"LINESTRING (41.7579098 22.432878, 41.7588106 22.4329958)"
758720284,False,residential,False,18.87,"LINESTRING (41.7576381 22.4328687, 41.7576752 22.4327025)"
758720312,False,residential,False,35.07,"LINESTRING (41.7576381 22.4328687, 41.7573001 22.4328255)"
758720284,False,residential,True,98.184,"LINESTRING (41.7576381 22.4328687, 41.757566 22.4331913, 41.7574517 22.4337347)"
366251102,True,tertiary,False,55.148,"LINESTRING (41.7636769 22.4392471, 41.7635423 22.4397272)"
758721257,False,residential,False,54.807,"LINESTRING (41.7636769 22.4392471, 41.7641931 22.4393708)"
758721257,False,residential,True,11.661,"LINESTRING (41.7636769 22.4392471, 41.7635662 22.4392241)"
758721257,False,residential,True,40.314,"LINESTRING (41.766579 22.4399423, 41.7661993 22.4398513)"
112691883,True,tertiary,False,20.173,"LINESTRING (41.7635662 22.4392241, 41.7636155 22.4390485)"
758721257,False,residential,False,11.661,"LINESTRING (41.7635662 22.4392241, 41.7636769 22.4392471)"
758721257,False,residential,False,51.556,"LINESTRING (41.7646887 22.4394895, 41.7651743 22.4396058)"
758721257,False,residential,True,52.618,"LINESTRING (41.7646887 22.4394895, 41.7641931 22.4393708)"
922947156,False,residential,True,53.731,"LINESTRING (41.7646887 22.4394895, 41.7645594 22.4399577)"
758721257,False,residential,False,54.233,"LINESTRING (41.7651743 22.4396058, 41.7656851 22.4397282)"
758721257,False,residential,True,51.556,"LINESTRING (41.7651743 22.4396058, 41.7646887 22.4394895)"
922947156,False,residential,False,53.731,"LINESTRING (41.7645594 22.4399577, 41.7646887 22.4394895)"
922947164,False,residential,False,52.063,"LINESTRING (41.7645594 22.4399577, 41.7640674 22.4398462)"
922947164,False,residential,True,55.566,"LINESTRING (41.7635423 22.4397272, 41.7640674 22.4398462)"
922947164,False,residential,False,55.566,"LINESTRING (41.7640674 22.4398462, 41.7635423 22.4397272)"
922947164,False,residential,True,52.063,"LINESTRING (41.7640674 22.4398462, 41.7645594 22.4399577)"
922947165,False,residential,False,105.398,"LINESTRING (41.7640674 22.4398462, 41.7638025 22.4407619)"
922947165,False,residential,True,105.398,"LINESTRING (41.7638025 22.4407619, 41.7640674 22.4398462)"
758721251,False,residential,False,51.006,"LINESTRING (41.7647185 22.4375138, 41.7651989 22.4376289)"
758721251,False,residential,True,55.283,"LINESTRING (41.7647185 22.4375138, 41.7641978 22.4373891)"
922947166,False,residential,False,103.257,"LINESTRING (41.7647185 22.4375138, 41.7644643 22.4384122)"
758721257,False,residential,False,52.618,"LINESTRING (41.7641931 22.4393708, 41.7646887 22.4394895)"
758721257,False,residential,True,54.807,"LINESTRING (41.7641931 22.4393708, 41.7636769 22.4392471)"
922947166,False,residential,True,54.72,"LINESTRING (41.7641931 22.4393708, 41.7643278 22.4388947)"
758721251,False,residential,False,48.977,"LINESTRING (41.7662464 22.4378798, 41.7667077 22.4379903)"
