osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge
201755298,,Gyár utca,residential,,False,False,78.348,"LINESTRING (21.3804439 46.7389122, 21.3804054 46.7389411, 21.3797336 46.7394216)",,
201755298,,Gyár utca,residential,,False,True,89.847,"LINESTRING (21.3804439 46.7389122, 21.3809182 46.7385563, 21.3811973 46.7382923)",,
201758666,,Buda utca,residential,,False,True,316.58099999999996,"LINESTRING (21.3804439 46.7389122, 21.3811437 46.7393731, 21.3813424 46.7394828, 21.3817756 46.7396927, 21.3824765 46.739982, 21.3827331 46.7400709, 21.382929 46.7401238, 21.3834284 46.7401862, 21.3837871 46.7402449, 21.3839775 46.7402978)",,
201758673,,Kút utca,residential,,False,False,127.29500000000002,"LINESTRING (21.3849867 46.7393858, 21.3842763 46.7400439, 21.3839775 46.7402978)",,
276501065,,Jókai Mór utca,residential,,False,False,207.15200000000002,"LINESTRING (21.3849867 46.7393858, 21.3857535 46.7399226, 21.3862014 46.7402378, 21.3867097 46.7405965, 21.3868572 46.7407354)",,
276501065,,Jókai Mór utca,residential,,False,True,41.101000000000006,"LINESTRING (21.3849867 46.7393858, 21.3849063 46.7393295, 21.384634 46.739174, 21.384576 46.7391472)",,
201758673,,Kút utca,residential,,False,False,77.151,"LINESTRING (21.3839775 46.7402978, 21.38335 46.7408423)",,
201758666,,Buda utca,residential,,False,False,316.581,"LINESTRING (21.3839775 46.7402978, 21.3837871 46.7402449, 21.3834284 46.7401862, 21.382929 46.7401238, 21.3827331 46.7400709, 21.3824765 46.739982, 21.3817756 46.7396927, 21.3813424 46.7394828, 21.3811437 46.7393731, 21.3804439 46.7389122)",,
201758666,,Buda utca,residential,,False,True,190.978,"LINESTRING (21.3839775 46.7402978, 21.3844494 46.740538, 21.3850343 46.7408329, 21.3859746 46.7413352)",,
201758673,,Kút utca,residential,,False,True,127.29500000000002,"LINESTRING (21.3839775 46.7402978, 21.3842763 46.7400439, 21.3849867 46.7393858)",,
201758673,,Kút utca,residential,,False,True,77.151,"LINESTRING (21.38335 46.7408423, 21.3839775 46.7402978)",,
201365128,,Zsarói Nagy utca,residential,,False,False,178.355,"LINESTRING (21.38335 46.7408423, 21.3835128 46.7409085, 21.3845917 46.7414531, 21.3850194 46.7416819, 21.3852217 46.7418031)",,
201365128,,Zsarói Nagy utca,residential,,False,True,259.105,"LINESTRING (21.38335 46.7408423, 21.3831983 46.7408101, 21.3828727 46.7407799, 21.3823429 46.740744, 21.38202 46.740708, 21.3816834 46.7406381, 21.3812999 46.7404981, 21.3810295 46.7403733, 21.3803857 46.7399029)",,
201755292,,Honvéd utca,residential,,False,True,24.442,"LINESTRING (21.3859746 46.7413352, 21.3862132 46.7411883)",,
201755292,,Honvéd utca,residential,,False,False,77.452,"LINESTRING (21.3859746 46.7413352, 21.385472 46.7416447, 21.3852217 46.7418031)",,
201758666,,Buda utca,residential,,False,False,190.978,"LINESTRING (21.3859746 46.7413352, 21.3850343 46.7408329, 21.3844494 46.740538, 21.3839775 46.7402978)",,
173767484,42345,Vasút utca,tertiary,50,False,False,77.885,"LINESTRING (21.3883674 46.743097, 21.3888872 46.7424939)",,
173767484,42345,Vasút utca,tertiary,50,False,True,152.819,"LINESTRING (21.3883674 46.743097, 21.3873476 46.7442804)",,
"[201365128, 276972997]",,"['Zsarói Nagy utca', 'Kastély utca']",residential,,False,True,327.747,"LINESTRING (21.3883674 46.743097, 21.3883314 46.7430687, 21.3881043 46.7428901, 21.3878973 46.7428088, 21.3876986 46.7427824, 21.3870888 46.7428296, 21.3863162 46.7429223, 21.3862395 46.7429126, 21.3862114 46.7428429, 21.3861562 46.742633, 21.3860569 46.7423891, 21.3859079 46.7422643, 21.3857923 46.7421943, 21.3855988 46.7420771, 21.3852217 46.7418031)",,
201755234,,Jókai Mór utca,residential,,False,False,145.65800000000002,"LINESTRING (21.3875401 46.7415731, 21.3876691 46.7417064, 21.387943 46.7419234, 21.3882211 46.7421082, 21.3888364 46.7424645, 21.3888872 46.7424939)",,
201755234,,Jókai Mór utca,residential,,False,True,101.739,"LINESTRING (21.3875401 46.7415731, 21.3871898 46.7412108, 21.386775 46.7408236)",,
276959458,,Bem utca,residential,,False,True,115.71000000000001,"LINESTRING (21.3875401 46.7415731, 21.3874407 46.7415664, 21.3872985 46.7415444, 21.387159 46.7415131, 21.3870169 46.7414855, 21.386864 46.7414874, 21.3867084 46.7414929, 21.3866145 46.7414598, 21.3862283 46.7412006, 21.3862132 46.7411883)",,
201755292,,Honvéd utca,residential,,False,False,24.442,"LINESTRING (21.3862132 46.7411883, 21.3859746 46.7413352)",,
201755292,,Honvéd utca,residential,,False,True,58.989000000000004,"LINESTRING (21.3862132 46.7411883, 21.3865054 46.7410083, 21.386775 46.7408236)",,
