osmid,oneway,lanes,name,highway,maxspeed,reversed,length,bridge,geometry,ref
227026384,False,,Esztergomi utca,residential,,True,62.53,,"LINESTRING (18.3953892 47.5872625, 18.3950239 47.587768)",
227026382,False,,Hunyadi János tér,residential,,True,219.08900000000003,,"LINESTRING (18.3953892 47.5872625, 18.3954745 47.5872904, 18.3960723 47.5874863, 18.396264 47.5875491, 18.3963207 47.5875707, 18.3963284 47.58761, 18.3963133 47.5876465, 18.3960328 47.5880327, 18.3959905 47.5880635, 18.3959486 47.5880682, 18.3958857 47.5880504, 18.3958104 47.5880257, 18.3950684 47.5877826, 18.3950239 47.587768)",
227026384,False,,Esztergomi utca,residential,,False,82.87,,"LINESTRING (18.3953892 47.5872625, 18.3955879 47.5869877, 18.3958734 47.5865926)",
227026384,False,,Esztergomi utca,residential,,True,82.87,,"LINESTRING (18.3958734 47.5865926, 18.3955879 47.5869877, 18.3953892 47.5872625)",
310277054,False,,Álmos vezér utca,residential,,False,117.187,,"LINESTRING (18.3958734 47.5865926, 18.3969805 47.586974, 18.396996 47.5869796, 18.3972737 47.5870593)",
"[858853050, 310277054]",False,,Álmos vezér utca,residential,,True,90.939,,"LINESTRING (18.3958734 47.5865926, 18.3951343 47.5863324, 18.3947926 47.5862221)",
227026384,False,,Esztergomi utca,residential,,False,62.53,,"LINESTRING (18.3950239 47.587768, 18.3953892 47.5872625)",
227026382,False,,Hunyadi János tér,residential,,False,219.08900000000003,,"LINESTRING (18.3950239 47.587768, 18.3950684 47.5877826, 18.3958104 47.5880257, 18.3958857 47.5880504, 18.3959486 47.5880682, 18.3959905 47.5880635, 18.3960328 47.5880327, 18.3963133 47.5876465, 18.3963284 47.58761, 18.3963207 47.5875707, 18.396264 47.5875491, 18.3960723 47.5874863, 18.3954745 47.5872904, 18.3953892 47.5872625)",
101079191,False,,Mártírok útja,residential,,False,37.528,,"LINESTRING (18.4030197 47.5815993, 18.4033746 47.5813614)",
101079191,False,,Mártírok útja,residential,,True,105.167,,"LINESTRING (18.4030197 47.5815993, 18.4025945 47.5818939, 18.4020489 47.5822817)",
227041049,False,,,residential,,True,26.514,,"LINESTRING (18.4030197 47.5815993, 18.4031627 47.5816279, 18.4032441 47.581687, 18.403293 47.5817337)",
101079214,False,,Béla király körtér,residential,,False,41.848,,"LINESTRING (18.403293 47.5817337, 18.4033359 47.5815402, 18.4033746 47.5813614)",
101079214,False,,Béla király körtér,residential,,True,94.239,,"LINESTRING (18.403293 47.5817337, 18.4032562 47.5818997, 18.4031093 47.5825721)",
227041049,False,,,residential,,False,26.514000000000003,,"LINESTRING (18.403293 47.5817337, 18.4032441 47.581687, 18.4031627 47.5816279, 18.4030197 47.5815993)",
792715722,False,,Jedlik Ányos utca,residential,,False,10.307,,"LINESTRING (18.3993129 47.5798589, 18.399437 47.5798987)",
310277044,False,,Jedlik Ányos utca,residential,50,True,902.8270000000003,,"LINESTRING (18.3993129 47.5798589, 18.399185 47.5798138, 18.3985573 47.5796203, 18.398395 47.5795774, 18.3983091 47.5795574, 18.3981434 47.5795314, 18.3979731 47.5795224, 18.3977642 47.5795324, 18.3975875 47.5795733, 18.3974817 47.5796223, 18.3973462 47.5797186, 18.3972161 47.579843, 18.3970626 47.5800533, 18.3967783 47.5804827, 18.3963399 47.5812515, 18.3960376 47.5818796, 18.3958723 47.5822779, 18.3958011 47.5826064, 18.3957735 47.5826733, 18.3956637 47.5828797, 18.3952793 47.5835385, 18.3950361 47.5838401, 18.3945856 47.5843437, 18.3943004 47.5847013, 18.3937848 47.5853879, 18.3936882 47.5854837, 18.3934604 47.5857095, 18.3933926 47.5857768)",
101476241,True,,Előd vezér utca,residential,,False,9.934,,"LINESTRING (18.3935113 47.5880296, 18.3933982 47.5879831)",
"[334471087, 368629327]",False,,Erdész utca,residential,,True,168.521,,"LINESTRING (18.3921618 47.5829951, 18.3924995 47.5826955, 18.392836 47.582397, 18.393397 47.5818992, 18.3935248 47.5817903)",
120660160,False,,,residential,,True,41.518,,"LINESTRING (18.394825 47.5859883, 18.3947323 47.5860264, 18.3946571 47.5860521, 18.394547 47.5860571, 18.3944423 47.5860568, 18.394297 47.5860498)",
310277042,True,2,Győri út,tertiary,50,False,264.71999999999997,,"LINESTRING (18.394825 47.5859883, 18.3963942 47.5839122, 18.3964297 47.5838679)",
334471147,True,2,Köztársaság útja,tertiary,50,False,363.22799999999995,,"LINESTRING (18.3967808 47.5833742, 18.3969239 47.5831792, 18.3973229 47.58263, 18.3978004 47.5819968, 18.3978609 47.5819166, 18.3988509 47.5805002, 18.3988846 47.5804519, 18.3988958 47.5804359)",
264390059,False,,Fő tér,residential,,True,16.933,,"LINESTRING (18.3978594 47.5821122, 18.3980037 47.5821474, 18.3980717 47.582164)",
304346644,True,2,Köztársaság útja,tertiary,50,False,186.689,,"LINESTRING (18.3978594 47.5821122, 18.3974465 47.5826476, 18.3967828 47.5835477, 18.3967365 47.5836105)",
919281807,True,,,tertiary,,False,26.19,,"LINESTRING (18.3963119 47.5835889, 18.3960772 47.5834145)",
309845072,True,,,tertiary_link,,False,32.763000000000005,,"LINESTRING (18.3964297 47.5838679, 18.3964263 47.5838114, 18.3964051 47.5837179, 18.3963119 47.5835889)",
310277041,True,2,Győri út,tertiary,50,False,26.409,,"LINESTRING (18.3964297 47.5838679, 18.3964648 47.5838245, 18.3965862 47.5836552)",
334471149,True,2,,tertiary,50,False,18.519,,"LINESTRING (18.3967365 47.5836105, 18.3966265 47.5837596)",
309845073,True,,,tertiary_link,,False,12.549999999999999,,"LINESTRING (18.3967365 47.5836105, 18.3966733 47.5836396, 18.3966379 47.5836498, 18.3965862 47.5836552)",
310277046,True,2,,tertiary_link,50,False,34.487,,"LINESTRING (18.3965862 47.5836552, 18.3967808 47.5833742)",
310277040,True,,,tertiary_link,,False,12.245999999999999,,"LINESTRING (18.3965862 47.5836552, 18.3966115 47.5836844, 18.3966233 47.5837138, 18.3966265 47.5837596)",
"[310277050, 310277051]",True,,,tertiary_link,,False,22.264,,"LINESTRING (18.3965862 47.5836552, 18.3965139 47.5836496, 18.3964721 47.5836462, 18.3964146 47.5836311, 18.3963119 47.5835889)",
792715719,True,2,Köztársaság útja,tertiary,50,False,71.381,,"LINESTRING (18.3988958 47.5804359, 18.3993129 47.5798589)",
792715718,False,,,residential,,False,9.183,,"LINESTRING (18.3988958 47.5804359, 18.3989802 47.5804617, 18.3990075 47.5804697)",
