osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref
149748805,2,,residential,,False,False,61.769,"LINESTRING (-7.1107543 53.4578001, -7.1111155 53.458006, -7.111123 53.458086, -7.1109664 53.4582372)",
149748872,2,,residential,30,False,False,54.566,"LINESTRING (-7.110275 53.4579701, -7.1109664 53.4582372)",
149757340,2,,residential,30,False,True,36.981,"LINESTRING (-7.110275 53.4579701, -7.1104747 53.4576595)",
149757340,2,,residential,30,False,False,70.329,"LINESTRING (-7.110275 53.4579701, -7.1102035 53.4580199, -7.1096772 53.4584924)",
149748812,2,,residential,30,False,True,8.674,"LINESTRING (-7.1112653 53.4569087, -7.1113687 53.4569566)",
149748878,,,residential,,False,True,8.538,"LINESTRING (-7.1112653 53.4569087, -7.1112077 53.4569774)",
149748812,2,,residential,30,False,False,207.736,"LINESTRING (-7.1112653 53.4569087, -7.1107179 53.4566973, -7.1101946 53.4565525, -7.1100626 53.4565539, -7.1099702 53.4565821, -7.1099109 53.4566419, -7.1098843 53.4567083, -7.1099042 53.4567746, -7.110904 53.4572949)",
149748804,2,The Hawthorns,residential,50,False,False,28.209,"LINESTRING (-7.1054085 53.4573281, -7.1055039 53.4572526, -7.1056239 53.4571502, -7.105654 53.4571209)",
149748804,2,The Hawthorns,residential,50,False,True,62.19,"LINESTRING (-7.1054085 53.4573281, -7.105278 53.4573794, -7.1049843 53.4577188, -7.1049144 53.4577922)",
149748844,2,,residential,50,False,True,104.04299999999999,"LINESTRING (-7.1054085 53.4573281, -7.1055431 53.4573951, -7.1057498 53.4573948, -7.1065658 53.4577961, -7.1066409 53.4577322)",
149748808,2,Cluainn Craoibh,residential,30,False,False,29.999,"LINESTRING (-7.1088991 53.4561032, -7.1085292 53.4559474)",
149748818,2,,residential,,False,False,11.389,"LINESTRING (-7.1105784 53.4588182, -7.1104314 53.458765)",
149748861,2,,residential,,False,False,18.705,"LINESTRING (-7.1007135 53.4562351, -7.1005932 53.4563873)",
149748861,2,,residential,,False,True,17.807,"LINESTRING (-7.1007135 53.4562351, -7.100828 53.4560902)",
149748806,2,,residential,,False,True,51.788000000000004,"LINESTRING (-7.1007135 53.4562351, -7.1013432 53.4564282, -7.1013764 53.4563889)",
149748804,2,The Hawthorns,residential,50,False,False,32.645,"LINESTRING (-7.1038557 53.4587231, -7.1041351 53.4584812)",
64776629,2,Cluainn Craoibh,residential,30,False,False,50.986,"LINESTRING (-7.1092333 53.4559903, -7.109329 53.4559062, -7.1096655 53.4556108)",
64776629,2,Cluainn Craoibh,residential,30,False,True,60.544,"LINESTRING (-7.1092333 53.4559903, -7.1090918 53.4561144, -7.1088435 53.4563325, -7.108763 53.4564031, -7.10872 53.4564409)",
