osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,ref,access
48788377,2,平林寺大門通り,tertiary,False,True,21.46,,"LINESTRING (139.5669553 35.7971844, 139.567059 35.7973581)",,
405135822,,,residential,False,False,24.719,,"LINESTRING (139.5669553 35.7971844, 139.5672025 35.7970884)",,
405135822,,,residential,False,True,10.365,,"LINESTRING (139.5670507 35.7962582, 139.5670913 35.7963454)",,
405135822,,,residential,False,False,10.365,,"LINESTRING (139.5670913 35.7963454, 139.5670507 35.7962582)",,
405135823,,,residential,False,False,25.377,,"LINESTRING (139.5670913 35.7963454, 139.5668382 35.7964451)",,
405135822,,,residential,False,True,100.34899999999999,,"LINESTRING (139.5670913 35.7963454, 139.5674202 35.796996, 139.5672025 35.7970884)",,
405135822,,,residential,False,True,24.719,,"LINESTRING (139.5672025 35.7970884, 139.5669553 35.7971844)",,
405135824,,,residential,False,False,78.717,,"LINESTRING (139.5672025 35.7970884, 139.5668382 35.7964451)",,
405135822,,,residential,False,False,100.34899999999999,,"LINESTRING (139.5672025 35.7970884, 139.5674202 35.796996, 139.5670913 35.7963454)",,
405135823,,,residential,False,False,27.429,,"LINESTRING (139.5668382 35.7964451, 139.5665646 35.7965528)",,
405135823,,,residential,False,True,25.377,,"LINESTRING (139.5668382 35.7964451, 139.5670913 35.7963454)",,
405135824,,,residential,False,True,78.717,,"LINESTRING (139.5668382 35.7964451, 139.5672025 35.7970884)",,
119051056,,,unclassified,False,False,22.035,,"LINESTRING (139.568064 35.7965138, 139.5680221 35.7963927, 139.5680024 35.7963221)",,
119051056,,,unclassified,False,True,44.97,,"LINESTRING (139.568064 35.7965138, 139.5682105 35.7968591, 139.5682263 35.7968962)",,
405135825,,,residential,False,False,69.614,,"LINESTRING (139.568064 35.7965138, 139.5685816 35.7963605, 139.5685147 35.7961898)",,
405135825,,,residential,False,True,28.705,,"LINESTRING (139.5683463 35.7960568, 139.568452 35.7960295, 139.5685147 35.7961898)",,
405135827,,,residential,False,False,48.49,,"LINESTRING (139.5685147 35.7961898, 139.5680024 35.7963221)",,
405135825,,,residential,False,False,28.705,,"LINESTRING (139.5685147 35.7961898, 139.568452 35.7960295, 139.5683463 35.7960568)",,
405135825,,,residential,False,True,69.614,,"LINESTRING (139.5685147 35.7961898, 139.5685816 35.7963605, 139.568064 35.7965138)",,
119051056,,,unclassified,False,False,48.159,,"LINESTRING (139.5680024 35.7963221, 139.5678844 35.7958997)",,
405135827,,,residential,False,True,48.49,,"LINESTRING (139.5680024 35.7963221, 139.5685147 35.7961898)",,
119051056,,,unclassified,False,True,22.035,,"LINESTRING (139.5680024 35.7963221, 139.5680221 35.7963927, 139.568064 35.7965138)",,
119051056,,,unclassified,False,False,11.414,,"LINESTRING (139.5678695 35.7958465, 139.5678415 35.7957464)",,
119051056,,,unclassified,False,True,6.066,,"LINESTRING (139.5678695 35.7958465, 139.5678844 35.7958997)",,
405135828,,,residential,False,False,21.448,,"LINESTRING (139.5678695 35.7958465, 139.5676382 35.7958913)",,
