osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,maxspeed
320788685,tertiary,False,True,126.65599999999999,"LINESTRING (140.7154814 36.7179718, 140.7154132 36.7178565, 140.71534 36.7177501, 140.7152322 36.7176189, 140.7147185 36.7170127)",,,,,
438354596,residential,False,False,149.99900000000002,"LINESTRING (140.7154814 36.7179718, 140.7159206 36.7178137, 140.7159743 36.7178094, 140.7160655 36.7178159, 140.716787 36.71799, 140.716897 36.7180029, 140.7169935 36.7180008, 140.7170834 36.7179769)",,,,,
198704556,tertiary,False,False,70.698,"LINESTRING (140.7191569 36.718137, 140.7199303 36.7182781)",,,,,
1197838754,trunk,False,False,66.321,"LINESTRING (140.7191569 36.718137, 140.719136 36.7187332)",,2,6,陸前浜街道,
1197838754,trunk,False,True,44.857,"LINESTRING (140.7191569 36.718137, 140.7191685 36.7177337)",,2,6,陸前浜街道,
198704556,tertiary,False,True,70.698,"LINESTRING (140.7199303 36.7182781, 140.7191569 36.718137)",,,,,
198704780,unclassified,False,False,74.18,"LINESTRING (140.7199303 36.7182781, 140.7199252 36.717611)",,,,,
198705086,tertiary,False,False,66.059,"LINESTRING (140.7199303 36.7182781, 140.7203942 36.7183671, 140.720484 36.7183843, 140.7206539 36.7184048)",,,,,
198704058,unclassified,False,False,46.28,"LINESTRING (140.71262 36.7183396, 140.7127751 36.7187368)",,,,,
198704058,unclassified,False,True,34.713,"LINESTRING (140.71262 36.7183396, 140.71247 36.7180515)",,,,,
444491344,residential,False,False,87.223,"LINESTRING (140.71262 36.7183396, 140.7134664 36.7179459)",,,,,
198704941,unclassified,False,True,102.741,"LINESTRING (140.7206539 36.7184048, 140.7203277 36.7175186)",,,,,
198705086,tertiary,False,True,66.059,"LINESTRING (140.7206539 36.7184048, 140.720484 36.7183843, 140.7203942 36.7183671, 140.7199303 36.7182781)",,,,,
444491340,unclassified,False,False,16.168,"LINESTRING (140.718207 36.7184563, 140.7181735 36.7185992)",,,,,
444491340,unclassified,False,True,40.752,"LINESTRING (140.718207 36.7184563, 140.7182422 36.7180909)",,,,,
