osmid,highway,oneway,reversed,length,geometry,ref,name,bridge
169526354,secondary,False,True,191.916,"LINESTRING (130.7094314 33.8193986, 130.7098788 33.8184057, 130.7100129 33.818115, 130.7101346 33.8177753)",203,中間水巻線,
169528056,unclassified,False,False,187.719,"LINESTRING (130.7094314 33.8193986, 130.7096758 33.8191149, 130.710568 33.8179994)",,,
810485669,unclassified,False,False,33.863,"LINESTRING (130.7142816 33.8198887, 130.7140526 33.8201265)",,,
169528394,unclassified,False,True,118.43199999999999,"LINESTRING (130.7142816 33.8198887, 130.7139554 33.8196069, 130.7137608 33.819451, 130.7136409 33.81939, 130.7134096 33.8193123, 130.7132639 33.8192794)",,,
810485669,unclassified,False,True,90.57,"LINESTRING (130.7142816 33.8198887, 130.7144684 33.8196273, 130.7139534 33.8193488)",,,
169526276,secondary,False,False,123.787,"LINESTRING (130.7092911 33.8196773, 130.7088272 33.8207217)",203,中間水巻線,
169526305,secondary,False,True,33.591,"LINESTRING (130.7092911 33.8196773, 130.7094314 33.8193986)",203,中間水巻線,
520347781,unclassified,False,True,41.384,"LINESTRING (130.7092911 33.8196773, 130.709145 33.8195956, 130.7088795 33.819547)",,,
169526276,secondary,False,True,123.787,"LINESTRING (130.7088272 33.8207217, 130.7092911 33.8196773)",203,中間水巻線,
169528271,tertiary,False,True,14.601,"LINESTRING (130.7107895 33.8205327, 130.7108319 33.8204062)",,もやい通り,
169528409,unclassified,False,False,11.039,"LINESTRING (130.7107895 33.8205327, 130.7109069 33.8205512)",,,
810485678,unclassified,False,False,32.259,"LINESTRING (130.7114954 33.8206851, 130.7116856 33.8204418)",,,
169528409,unclassified,False,True,56.370999999999995,"LINESTRING (130.7114954 33.8206851, 130.7112788 33.8206328, 130.7109069 33.8205512)",,,
520347781,unclassified,False,False,41.384,"LINESTRING (130.7088795 33.819547, 130.709145 33.8195956, 130.7092911 33.8196773)",,,
520347782,unclassified,False,True,275.097,"LINESTRING (130.7088795 33.819547, 130.7089605 33.8185428, 130.7089911 33.8178498, 130.7090258 33.8176417, 130.7092067 33.8170981)",,,
169543554,primary,False,False,3.703,"LINESTRING (130.7139144 33.818583, 130.7139521 33.8185943)",48,中間引野線,
169543554,primary,False,True,112.44,"LINESTRING (130.7139144 33.818583, 130.7137635 33.8185288, 130.7133637 33.8183553, 130.7130729 33.8182162, 130.7128504 33.8180949)",48,中間引野線,
520347783,unclassified,False,False,117.612,"LINESTRING (130.7139144 33.818583, 130.7138224 33.8186961, 130.7137073 33.8187253, 130.713489 33.8186763, 130.7132356 33.8186553, 130.7127802 33.8188417)",,,
169527892,unclassified,False,False,66.14099999999999,"LINESTRING (130.7127802 33.8188417, 130.7131451 33.8191887, 130.7132639 33.8192794)",,,
169527892,unclassified,False,True,56.744,"LINESTRING (130.7127802 33.8188417, 130.7126744 33.8187844, 130.7123683 33.8184687)",,,
520347783,unclassified,False,True,117.612,"LINESTRING (130.7127802 33.8188417, 130.7132356 33.8186553, 130.713489 33.8186763, 130.7137073 33.8187253, 130.7138224 33.8186961, 130.7139144 33.818583)",,,
