osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,tunnel
113776704,trunk_link,True,False,347.053,"LINESTRING (140.7333586 39.7000095, 140.732702 39.6994104, 140.732456 39.6991386, 140.7323661 39.6990282, 140.7322655 39.6988964, 140.7321685 39.6987382, 140.7320119 39.6984515, 140.7319055 39.6982059, 140.7318337 39.6979974, 140.7317638 39.6977627, 140.7315799 39.6973794, 140.7315061 39.6972814)",,1,,,
443768465,trunk,False,False,532.4440000000001,"LINESTRING (140.7333586 39.7000095, 140.732584 39.6994356, 140.7323305 39.69919, 140.7321663 39.6989828, 140.7320161 39.6987845, 140.7318069 39.6984349, 140.7315803 39.6979695, 140.7313506 39.6974691, 140.7312322 39.6972614, 140.73113 39.6970812, 140.7309607 39.6968355, 140.7307838 39.6966217, 140.7306281 39.6964516, 140.7301276 39.695992)",,2,46,生保内バイパス,
443768465,trunk,False,True,42.211,"LINESTRING (140.7333586 39.7000095, 140.7335544 39.7001189, 140.7337672 39.7002219)",,2,46,生保内バイパス,
569146177,residential,False,True,13.108,"LINESTRING (140.7268817 39.7042386, 140.726729 39.7042483)",,,,,
114598555,unclassified,False,False,128.885,"LINESTRING (140.7283194 39.7022298, 140.7268195 39.7021212)",,,,,
569146180,residential,False,False,51.953,"LINESTRING (140.7257355 39.7014659, 140.7257905 39.7010006)",,,,,
114598822,unclassified,False,False,37.819,"LINESTRING (140.7257905 39.7010006, 140.7262299 39.7010378)",,,,,
114598822,unclassified,False,True,58.748,"LINESTRING (140.7257905 39.7010006, 140.7251065 39.7009539)",,,,,
569146180,residential,False,True,51.953,"LINESTRING (140.7257905 39.7010006, 140.7257355 39.7014659)",,,,,
114599085,residential,False,False,40.658,"LINESTRING (140.7264203 39.6957163, 140.7263556 39.6959158, 140.7262966 39.6960058, 140.726243 39.6960483)",,,,,
114598749,tertiary,False,True,8.597,"LINESTRING (140.7276703 39.6956603, 140.7276723 39.6957376)",,,,,
569209891,residential,False,True,27.942,"LINESTRING (140.7338461 39.7031844, 140.7338549 39.7029332)",,,,,
114598658,residential,False,False,76.319,"LINESTRING (140.7331758 39.7028965, 140.7331515 39.7035826)",,,,,
114598658,residential,False,True,24.386,"LINESTRING (140.7331758 39.7028965, 140.7331784 39.7026772)",,,,,
569209892,residential,False,False,58.24,"LINESTRING (140.7331758 39.7028965, 140.7338549 39.7029332)",,,,,
569209891,residential,False,False,27.942,"LINESTRING (140.7338549 39.7029332, 140.7338461 39.7031844)",,,,,
569209891,residential,False,True,28.949,"LINESTRING (140.7338549 39.7029332, 140.7338805 39.7026736)",,,,,
569209892,residential,False,True,58.24,"LINESTRING (140.7338549 39.7029332, 140.7331758 39.7028965)",,,,,
