osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access
134130291,,,,unclassified,,True,False,60.963,"LINESTRING (139.3322966 35.7364271, 139.3326341 35.7359522)",
134130352,,,,unclassified,,False,True,104.894,"LINESTRING (139.3322966 35.7364271, 139.3333001 35.7369029)",
134129924,,,銀座通り,unclassified,,True,False,63.735,"LINESTRING (139.329778 35.736544, 139.3300554 35.7360169)",
134130447,,,,residential,30,False,True,77.974,"LINESTRING (139.329778 35.736544, 139.3305212 35.7369015)",
134129994,,,,unclassified,,False,False,13.422,"LINESTRING (139.3344664 35.7365927, 139.3345373 35.7364866)",
134130315,,,,unclassified,,False,True,13.039,"LINESTRING (139.3344664 35.7365927, 139.3343381 35.7366466)",
134130464,,,牛浜北通り,unclassified,,False,False,61.702999999999996,"LINESTRING (139.3344664 35.7365927, 139.3346636 35.7365136, 139.3347783 35.7364825, 139.3348961 35.7364781, 139.3351119 35.7365292)",
134130094,,,,unclassified,,False,True,12.124,"LINESTRING (139.3343381 35.7366466, 139.3342121 35.7366844)",
134130315,,,,unclassified,,False,False,13.039,"LINESTRING (139.3343381 35.7366466, 139.3344664 35.7365927)",
134130403,,,,unclassified,,False,False,109.19999999999999,"LINESTRING (139.3343381 35.7366466, 139.3345432 35.7370173, 139.3349423 35.7374932)",
134129913,,,牛浜北通り,unclassified,,False,False,57.07,"LINESTRING (139.3342121 35.7366844, 139.3336633 35.7364295)",
134130094,,,,unclassified,,False,False,12.124,"LINESTRING (139.3342121 35.7366844, 139.3343381 35.7366466)",
134130455,,,,unclassified,,False,True,107.37599999999999,"LINESTRING (139.3342121 35.7366844, 139.3340448 35.7368196, 139.3337888 35.7370868, 139.3336467 35.7372671, 139.333515 35.7374611)",
134129877,,,,residential,,False,True,35.063,"LINESTRING (139.3360444 35.7367508, 139.3359589 35.7370584)",
134130362,,,牛浜北通り,unclassified,,False,True,35.038,"LINESTRING (139.3360444 35.7367508, 139.3364258 35.7368095)",
134130464,,,牛浜北通り,unclassified,,False,True,5.644,"LINESTRING (139.3360444 35.7367508, 139.3359844 35.7367365)",
134130338,,,,residential,30,False,True,92.992,"LINESTRING (139.3317616 35.7368395, 139.3308758 35.7364124)",
134130350,,,,unclassified,20,True,False,63.03,"LINESTRING (139.3317616 35.7368395, 139.3314209 35.7373343)",
134129934,,,,residential,,False,False,63.104,"LINESTRING (139.3305212 35.7369015, 139.3308758 35.7364124)",
134129934,,,,residential,,False,True,60.291,"LINESTRING (139.3305212 35.7369015, 139.330182 35.7373686)",
134130447,,,,residential,30,False,False,77.974,"LINESTRING (139.3305212 35.7369015, 139.329778 35.736544)",
134130447,,,,residential,30,False,True,94.394,"LINESTRING (139.3305212 35.7369015, 139.3314209 35.7373343)",
134130183,,,図書館通り,unclassified,,False,True,64.143,"LINESTRING (139.3333001 35.7369029, 139.3329522 35.7374059)",
134130337,,,図書館通り,unclassified,,False,True,62.013,"LINESTRING (139.3333001 35.7369029, 139.3336633 35.7364295)",
134130352,,,,unclassified,,False,False,104.894,"LINESTRING (139.3333001 35.7369029, 139.3322966 35.7364271)",
134130161,,,,unclassified,,True,False,63.175,"LINESTRING (139.3319357 35.7369139, 139.3322966 35.7364271)",
134130323,,,,unclassified,,False,False,106.82,"LINESTRING (139.3319357 35.7369139, 139.3329522 35.7374059)",
134130451,,,わらつけ街道,unclassified,,False,False,36.91,"LINESTRING (139.3377879 35.736986, 139.3377251 35.737314)",
134130463,,,,unclassified,,False,False,52.079,"LINESTRING (139.3377879 35.736986, 139.3378977 35.7365262)",
134130362,,,牛浜北通り,unclassified,,False,False,53.413000000000004,"LINESTRING (139.3377879 35.736986, 139.337249 35.7369294, 139.337201 35.7369244)",
134130445,,,牛浜北通り,unclassified,,False,True,57.829,"LINESTRING (139.3377879 35.736986, 139.3381876 35.737057, 139.3384169 35.7370831)",
134124565,,165;166,伊奈福生線,secondary,30,False,False,69.88,"LINESTRING (139.32951 35.7370565, 139.330182 35.7373686)",
134129924,,,銀座通り,unclassified,,True,False,61.909,"LINESTRING (139.32951 35.7370565, 139.329778 35.736544)",
134130445,,,牛浜北通り,unclassified,,False,True,6.328,"LINESTRING (139.3394029 35.7373132, 139.33947 35.7373297)",
286241029,2,16,東京環状,trunk,60,True,False,67.757,"LINESTRING (139.3394029 35.7373132, 139.3391196 35.7378775)",yes
134130445,,,牛浜北通り,unclassified,,False,False,48.222,"LINESTRING (139.3394029 35.7373132, 139.3391834 35.7372724, 139.338883 35.7372133)",
134130022,,,,unclassified,30,True,False,73.043,"LINESTRING (139.3314209 35.7373343, 139.3310193 35.7379046)",
134130447,,,,residential,30,False,False,94.394,"LINESTRING (139.3314209 35.7373343, 139.3305212 35.7369015)",
134130183,,,図書館通り,unclassified,,False,False,64.143,"LINESTRING (139.3329522 35.7374059, 139.3333001 35.7369029)",
134130295,,,,unclassified,,False,False,47.874,"LINESTRING (139.3329522 35.7374059, 139.3334057 35.7376292)",
134130323,,,,unclassified,,False,True,106.82,"LINESTRING (139.3329522 35.7374059, 139.3319357 35.7369139)",
670138026,,,図書館通り,unclassified,,False,True,63.555,"LINESTRING (139.3329522 35.7374059, 139.3325932 35.7378976)",
