osmid,name,highway,oneway,reversed,length,geometry,tunnel,lanes,ref,maxspeed,access
"[101333713, 678453347]",Kudigora st.,tertiary,False,False,58.36,"LINESTRING (45.8116502 41.948175, 45.8113301 41.9481162, 45.8109742 41.9480261)",,,,60,
101333713,Kudigora st.,tertiary,False,True,105.82300000000001,"LINESTRING (45.8116502 41.948175, 45.8125317 41.9481484, 45.8129254 41.9481084)",,,,60,
101333743,Erekle II st.,residential,False,True,154.827,"LINESTRING (45.8116502 41.948175, 45.8116591 41.9479861, 45.811624 41.9476747, 45.8115245 41.9467869)",,,,,
952743526,დავით გურამიშვილის ქუჩა,residential,False,False,115.49499999999999,"LINESTRING (45.8191768 41.9505916, 45.8191774 41.9506235, 45.8191537 41.9509434, 45.8191158 41.9515722, 45.8191124 41.9516291)",,,,,
952743526,დავით გურამიშვილის ქუჩა,residential,False,True,7.472999999999999,"LINESTRING (45.8191768 41.9505916, 45.8191764 41.9505699, 45.8191755 41.9505244)",,,,,
101333430,,residential,False,True,83.366,"LINESTRING (45.8105244 41.9466931, 45.8115245 41.9467869)",,,,,
678453346,ილია ჭავჭავაძის გამზირი,tertiary,False,True,5.857,"LINESTRING (45.8152975 41.9509413, 45.8152871 41.9508892)",no,2,შ 182,60,yes
101333475,Akaki Tsereteli st.,residential,False,False,175.62,"LINESTRING (45.8152975 41.9509413, 45.8146803 41.9510002, 45.8134852 41.9510474, 45.813181 41.9510357)",,,,,
678453346,ილია ჭავჭავაძის გამზირი,tertiary,False,False,35.193999999999996,"LINESTRING (45.8152975 41.9509413, 45.8153013 41.9509604, 45.815354 41.951255)",no,2,შ 182,60,yes
101333821,ნინოწმინდის ქუჩა,residential,False,True,135.313,"LINESTRING (45.8191755 41.9505244, 45.8191171 41.9505267, 45.8190927 41.950529, 45.8188722 41.9505496, 45.8187267 41.9505735, 45.8183954 41.950604, 45.8178242 41.9506309, 45.8175499 41.9506518)",,,,,
952743526,დავით გურამიშვილის ქუჩა,residential,False,False,7.472999999999999,"LINESTRING (45.8191755 41.9505244, 45.8191764 41.9505699, 45.8191768 41.9505916)",,,,,
952743526,დავით გურამიშვილის ქუჩა,residential,False,True,201.382,"LINESTRING (45.8191755 41.9505244, 45.819145 41.9496897, 45.8191123 41.9489912, 45.8191039 41.9487881, 45.8191016 41.9487323, 45.8190989 41.9487143)",,,,,
101333676,,residential,False,False,45.414,"LINESTRING (45.8173065 41.9466017, 45.817339 41.9470094)",,,,,
693259722,გიორგი სააკაძის ქუჩა,residential,False,False,3.341,"LINESTRING (45.8173065 41.9466017, 45.8172661 41.9466019)",,,,,
693259722,გიორგი სააკაძის ქუჩა,residential,False,True,191.41899999999998,"LINESTRING (45.8173065 41.9466017, 45.8180096 41.9465977, 45.818398 41.9465946, 45.8196209 41.9466055)",,,,,
101333475,Akaki Tsereteli st.,residential,False,False,75.973,"LINESTRING (45.8088757 41.9513803, 45.8084472 41.9513589, 45.8079595 41.9513303)",,,,,
101333475,Akaki Tsereteli st.,residential,False,True,95.612,"LINESTRING (45.8088757 41.9513803, 45.8089461 41.9513798, 45.8092805 41.9513602, 45.809783 41.9513283, 45.810029 41.9513282)",,,,,
560076350,ანდრია ბენაშვილის ქუჩა,residential,False,False,417.66999999999996,"LINESTRING (45.8088757 41.9513803, 45.8088245 41.9512329, 45.8087218 41.9509801, 45.8086449 41.9504458, 45.8085871 41.95015, 45.8086064 41.9494582, 45.8085871 41.948733, 45.8085679 41.9482034, 45.8085358 41.9479887, 45.8084972 41.9476494)",,,,,
952743526,დავით გურამიშვილის ქუჩა,residential,False,False,164.22899999999998,"LINESTRING (45.8199392 41.9451477, 45.8198191 41.9456613, 45.8196209 41.9466055)",,,,,
101333715,გიორგი სააკაძის ქუჩა,residential,False,False,16.582,"LINESTRING (45.8198159 41.9466402, 45.8196209 41.9466055)",,,,,
101333680,,residential,False,True,20.707,"LINESTRING (45.815354 41.951255, 45.8154666 41.9512375, 45.8155395 41.9512321, 45.8156013 41.9512275)",,,,,
678453346,ილია ჭავჭავაძის გამზირი,tertiary,False,False,145.283,"LINESTRING (45.815354 41.951255, 45.8154378 41.9516949, 45.815514 41.9519561, 45.8155753 41.9522118, 45.8156256 41.9524624, 45.8156363 41.9525439)",no,2,შ 182,60,yes
678453346,ილია ჭავჭავაძის გამზირი,tertiary,False,True,35.193999999999996,"LINESTRING (45.815354 41.951255, 45.8153013 41.9509604, 45.8152975 41.9509413)",no,2,შ 182,60,yes
101333807,უორდროპების ქუჩა,residential,False,False,96.76099999999998,"LINESTRING (45.8182036 41.9527028, 45.818309 41.9526275, 45.8184103 41.9524849, 45.8185382 41.9524045, 45.8187372 41.9523502, 45.8190715 41.9522916, 45.8191545 41.9522812)",,,,,
101333807,უორდროპების ქუჩა,residential,False,True,57.938,"LINESTRING (45.8182036 41.9527028, 45.8180009 41.9527211, 45.8176689 41.952709, 45.8175075 41.9526872)",,,,,
101333800,ილია მოლაშვილის ქუჩა,residential,False,True,284.081,"LINESTRING (45.8162122 41.9440548, 45.8160983 41.9447135, 45.8160045 41.9451389, 45.8157998 41.9461385, 45.8157697 41.9465864)",,,,,
101333803,იოსებ ნონეშვილის ქუჩა,residential,False,False,368.818,"LINESTRING (45.8162122 41.9440548, 45.8168737 41.9440762, 45.8172902 41.9441097, 45.81728 41.9441935, 45.8172226 41.9447587, 45.8171008 41.9455284, 45.8170929 41.9456283, 45.8171038 41.9457039, 45.817163 41.945878, 45.8172051 41.9461197, 45.8172506 41.9462421, 45.8172705 41.9464396, 45.8172661 41.9466019)",,,,,
101333803,იოსებ ნონეშვილის ქუჩა,residential,False,True,82.285,"LINESTRING (45.8162122 41.9440548, 45.8155144 41.9440197, 45.8152244 41.9439775)",,,,,
101333807,უორდროპების ქუჩა,residential,False,False,52.779,"LINESTRING (45.8163689 41.9525588, 45.8170032 41.9526114)",,,,,
101333807,უორდროპების ქუჩა,residential,False,True,60.684000000000005,"LINESTRING (45.8163689 41.9525588, 45.8162275 41.9525453, 45.8157416 41.9525465, 45.8156363 41.9525439)",,,,,
101333475,Akaki Tsereteli st.,residential,False,False,24.195,"LINESTRING (45.8103204 41.9513477, 45.810029 41.9513282)",,,,,
101333475,Akaki Tsereteli st.,residential,False,True,93.09499999999998,"LINESTRING (45.8103204 41.9513477, 45.8110986 41.9512876, 45.8113237 41.9512291, 45.8114232 41.9512044)",,,,,
101333458,,residential,False,False,20.996,"LINESTRING (45.8170448 41.951658, 45.8168271 41.9516493, 45.8167913 41.9516475)",,,,,
101333578,კოტე მარჯანიშვილის I ჩიხი,residential,False,False,115.855,"LINESTRING (45.8118655 41.9496294, 45.811919 41.9496369, 45.8119815 41.9496275, 45.8120468 41.9496049, 45.8122777 41.9495687, 45.8127143 41.9495468, 45.8132505 41.9495233)",,,,,
101333676,,residential,False,True,45.414,"LINESTRING (45.817339 41.9470094, 45.8173065 41.9466017)",,,,,
101333860,,residential,False,True,12.638000000000002,"LINESTRING (45.8156386 41.9511173, 45.8156266 41.9511509, 45.8156103 41.9511972, 45.8156013 41.9512275)",,,,,
101333368,ნოდარ დუმბაძის ქუჩა,residential,False,False,172.70600000000002,"LINESTRING (45.8163584 41.9491976, 45.8164388 41.9496677, 45.8165116 41.9500019, 45.8165707 41.950236, 45.8166047 41.9504883, 45.8166588 41.950734)",,,,,
122257893,დავით აღმაშენებლის გამზირი,tertiary,False,False,94.964,"LINESTRING (45.8163584 41.9491976, 45.8171523 41.9490736, 45.8174782 41.9490096)",,2,,50,yes
122257893,დავით აღმაშენებლის გამზირი,tertiary,False,True,115.218,"LINESTRING (45.8163584 41.9491976, 45.8151194 41.9493734, 45.8149908 41.9493951)",,2,,50,yes
101333404,,residential,False,False,26.023,"LINESTRING (45.8129664 41.9516616, 45.8132134 41.9515166)",,,,,
101333475,Akaki Tsereteli st.,residential,False,False,39.947,"LINESTRING (45.8118892 41.9511098, 45.8118044 41.9511261, 45.8114232 41.9512044)",,,,,
101333475,Akaki Tsereteli st.,residential,False,True,107.619,"LINESTRING (45.8118892 41.9511098, 45.8128682 41.9510148, 45.813181 41.9510357)",,,,,
101333572,,residential,False,True,29.245999999999995,"LINESTRING (45.8161043 41.9515416, 45.8161109 41.9514376, 45.8161248 41.9513578, 45.816138 41.9513156, 45.816138 41.9512805)",,,,,
101333416,Kote Marjanishvili St.,residential,False,False,85.098,"LINESTRING (45.813181 41.9510357, 45.8131834 41.9502704)",,,,,
101333416,Kote Marjanishvili St.,residential,False,True,53.541,"LINESTRING (45.813181 41.9510357, 45.8132134 41.9515166)",,,,,
101333475,Akaki Tsereteli st.,residential,False,False,107.619,"LINESTRING (45.813181 41.9510357, 45.8128682 41.9510148, 45.8118892 41.9511098)",,,,,
101333475,Akaki Tsereteli st.,residential,False,True,175.62,"LINESTRING (45.813181 41.9510357, 45.8134852 41.9510474, 45.8146803 41.9510002, 45.8152975 41.9509413)",,,,,
