osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
349765081,False,,,,residential,,True,52.637,"LINESTRING (43.6752605 36.2742503, 43.6753822 36.2737872)"
968775335,False,,,,living_street,,True,74.50500000000001,"LINESTRING (43.6752605 36.2742503, 43.6750191 36.2742333, 43.6746946 36.2742203, 43.674598 36.2742117, 43.6745256 36.2741879, 43.6744523 36.2741479)"
506336070,False,,,,tertiary,,False,45.432,"LINESTRING (43.675018 36.2752432, 43.6749704 36.2751931, 43.6749228 36.2751466, 43.6746974 36.2749268)"
"[506336058, 506336070]",False,,,,tertiary,,True,41.537000000000006,"LINESTRING (43.675018 36.2752432, 43.675174 36.2754071, 43.6753403 36.2755066)"
303331432,True,2,2,ڕێگای هەولێر - موسڵ,trunk,60,False,93.308,"LINESTRING (43.6762269 36.2707264, 43.6772473 36.2708918)"
1021952263,False,,,,trunk_link,,False,15.581,"LINESTRING (43.6762269 36.2707264, 43.6762533 36.2705879)"
1021952263,False,,,,trunk_link,,True,15.581,"LINESTRING (43.6762533 36.2705879, 43.6762269 36.2707264)"
321698498,False,,,,unclassified,,False,110.007,"LINESTRING (43.6762533 36.2705879, 43.6769819 36.2707177, 43.6774535 36.2707936)"
321698498,False,,,,unclassified,,True,90.252,"LINESTRING (43.6762533 36.2705879, 43.6760236 36.270547, 43.6752695 36.2704157)"
1021952265,False,,,,trunk_link,,True,17.619,"LINESTRING (43.6743505 36.2702449, 43.6742967 36.2703973)"
321698498,False,,,,unclassified,,False,84.572,"LINESTRING (43.6743505 36.2702449, 43.6746383 36.2703057, 43.6747834 36.2703275, 43.6752695 36.2704157)"
1021952265,False,,,,trunk_link,,False,17.619,"LINESTRING (43.6742967 36.2703973, 43.6743505 36.2702449)"
303331432,True,2,2,ڕێگای هەولێر - موسڵ,trunk,60,False,85.632,"LINESTRING (43.6742967 36.2703973, 43.6745355 36.2704393, 43.6752303 36.2705601)"
1021952266,False,,,,trunk_link,,True,16.437,"LINESTRING (43.6752695 36.2704157, 43.6752303 36.2705601)"
321698498,False,,,,unclassified,,False,90.252,"LINESTRING (43.6752695 36.2704157, 43.6760236 36.270547, 43.6762533 36.2705879)"
321698498,False,,,,unclassified,,True,84.572,"LINESTRING (43.6752695 36.2704157, 43.6747834 36.2703275, 43.6746383 36.2703057, 43.6743505 36.2702449)"
1021952266,False,,,,trunk_link,,False,16.437,"LINESTRING (43.6752303 36.2705601, 43.6752695 36.2704157)"
303331432,True,2,2,ڕێگای هەولێر - موسڵ,trunk,60,False,91.24000000000001,"LINESTRING (43.6752303 36.2705601, 43.6756298 36.2706296, 43.6762269 36.2707264)"
321698496,False,,,,secondary,,False,46.433,"LINESTRING (43.6752221 36.2707911, 43.674714 36.2707101)"
321698496,False,,,,secondary,,True,29.997,"LINESTRING (43.6752221 36.2707911, 43.6755446 36.270863)"
1021952267,False,,,,trunk_link,,False,11.13,"LINESTRING (43.6752221 36.2707911, 43.6752555 36.2706947)"
1021952267,False,,,,trunk_link,,True,11.13,"LINESTRING (43.6752555 36.2706947, 43.6752221 36.2707911)"
538394317,False,,,,residential,,True,31.922,"LINESTRING (43.6791807 36.2752911, 43.6791379 36.2750061)"
1081282577,False,,,,residential,,False,131.874,"LINESTRING (43.6791807 36.2752911, 43.6806345 36.2751098)"
1081282577,False,,,,residential,,True,3.47,"LINESTRING (43.6791807 36.2752911, 43.6791422 36.2752943)"
349765073,True,,,,tertiary,,False,97.548,"LINESTRING (43.6757631 36.2744293, 43.6755422 36.2752883)"
1081282578,False,,,,residential,,False,142.216,"LINESTRING (43.6757631 36.2744293, 43.6773367 36.2745917)"
1081282578,False,,,,residential,,True,142.216,"LINESTRING (43.6773367 36.2745917, 43.6757631 36.2744293)"
1174951382,False,,,,residential,,True,48.919,"LINESTRING (43.676869 36.2728353, 43.6767554 36.2732656)"
1174951382,False,,,,residential,,False,46.165,"LINESTRING (43.6765726 36.2739944, 43.6766705 36.2735868)"
1174951382,False,,,,residential,,False,8.63,"LINESTRING (43.6766705 36.2735868, 43.6766906 36.2735109)"
1174951382,False,,,,residential,,True,46.165,"LINESTRING (43.6766705 36.2735868, 43.6765726 36.2739944)"
1174951383,False,,,,residential,,True,61.748,"LINESTRING (43.6766705 36.2735868, 43.675994 36.2734823)"
349765073,True,,,,tertiary,,False,60.318,"LINESTRING (43.675994 36.2734823, 43.6758696 36.2740154)"
1174951383,False,,,,residential,,False,61.748,"LINESTRING (43.675994 36.2734823, 43.6766705 36.2735868)"
1174951385,False,,,,residential,,True,52.962,"LINESTRING (43.6767966 36.2752529, 43.6762293 36.2753859)"
"[1081282577, 1174951381]",False,,,,residential,,False,162.594,"LINESTRING (43.6776468 36.275841, 43.6777031 36.2756464, 43.6777434 36.2755664, 43.6777994 36.2755122, 43.6781963 36.2754264, 43.6785644 36.2753638, 43.6789487 36.2753173, 43.6791422 36.2752943)"
1174951386,False,,,,residential,,True,137.607,"LINESTRING (43.6776468 36.275841, 43.6773303 36.2757956, 43.6769628 36.2756681, 43.6766115 36.275547, 43.676405 36.2754648, 43.6762293 36.2753859)"
1174951385,False,,,,residential,,False,52.962,"LINESTRING (43.6762293 36.2753859, 43.6767966 36.2752529)"
1174951386,False,,,,residential,,True,62.543,"LINESTRING (43.6762293 36.2753859, 43.6755422 36.2752883)"
1174951386,False,,,,residential,,False,137.60700000000003,"LINESTRING (43.6762293 36.2753859, 43.676405 36.2754648, 43.6766115 36.275547, 43.6769628 36.2756681, 43.6773303 36.2757956, 43.6776468 36.275841)"
1174951386,False,,,,residential,,False,62.543,"LINESTRING (43.6755422 36.2752883, 43.6762293 36.2753859)"
283095117,True,,,GASHA Company St,tertiary,,False,44.326,"LINESTRING (43.6809064 36.2748544, 43.680973 36.2752494)"
538979038,False,,,,residential,,False,9.423,"LINESTRING (43.6769897 36.2688195, 43.6768905 36.2687915)"
538979038,False,,,,residential,,True,38.706,"LINESTRING (43.6769897 36.2688195, 43.6774038 36.268918)"
538979039,False,,,,residential,,True,95.36900000000001,"LINESTRING (43.6769897 36.2688195, 43.6769347 36.2689472, 43.6769132 36.2690251, 43.6769253 36.269104, 43.6769695 36.2691483, 43.6770822 36.2691797, 43.6771841 36.2691775, 43.6772659 36.2691451, 43.6773183 36.2690867, 43.6773652 36.2690056, 43.6774038 36.268918)"
1242681176,False,,,,residential,,True,73.387,"LINESTRING (43.6775047 36.2735803, 43.6766906 36.2735109)"
1174951382,False,,,,residential,,False,27.888,"LINESTRING (43.6766906 36.2735109, 43.6767554 36.2732656)"
1174951382,False,,,,residential,,True,8.63,"LINESTRING (43.6766906 36.2735109, 43.6766705 36.2735868)"
1242681176,False,,,,residential,,False,73.387,"LINESTRING (43.6766906 36.2735109, 43.6775047 36.2735803)"
1242681177,False,,,,residential,,True,56.297,"LINESTRING (43.6773317 36.2731748, 43.6772324 36.2732538, 43.6771171 36.2732905, 43.6770286 36.2732959, 43.6767554 36.2732656)"
1174951382,False,,,,residential,,False,48.919,"LINESTRING (43.6767554 36.2732656, 43.676869 36.2728353)"
1174951382,False,,,,residential,,True,27.888,"LINESTRING (43.6767554 36.2732656, 43.6766906 36.2735109)"
1242681177,False,,,,residential,,False,56.297000000000004,"LINESTRING (43.6767554 36.2732656, 43.6770286 36.2732959, 43.6771171 36.2732905, 43.6772324 36.2732538, 43.6773317 36.2731748)"
