osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,width,lanes,junction
38274095,False,,Cutting Road,residential,50,False,121.299,"LINESTRING (138.7856872 -35.5037867, 138.7855333 -35.5037273, 138.7844483 -35.5033716)",4,,
38274095,False,,Cutting Road,residential,50,True,41.472,"LINESTRING (138.7856872 -35.5037867, 138.7858221 -35.5038366, 138.7858416 -35.5038436, 138.7858618 -35.5038497, 138.7861123 -35.5039252)",4,,
38274857,False,,Dunbar Street,residential,50,True,101.126,"LINESTRING (138.7851747 -35.5045948, 138.7856872 -35.5037867)",4,,
38274857,False,,Dunbar Street,residential,50,False,83.59799999999998,"LINESTRING (138.7851747 -35.5045948, 138.7850849 -35.5046286, 138.785003 -35.5046262, 138.7845305 -35.5043635, 138.7843929 -35.5042816)",4,,
"[38274858, 287201575]",True,,,unclassified,,False,176.915,"LINESTRING (138.7851747 -35.5045948, 138.7849123 -35.5049989, 138.7848427 -35.5050727, 138.7847647 -35.5051414, 138.7847267 -35.505217, 138.7847351 -35.5052548, 138.7847857 -35.5053065, 138.7848257 -35.5053236, 138.7848615 -35.5053358, 138.7848807 -35.5053423, 138.7849566 -35.5053423, 138.7849988 -35.5053149, 138.7852815 -35.5049354, 138.7853173 -35.504889, 138.7853891 -35.5048478)",3,,
37501221,False,B37,Hays Street,primary,50,True,81.371,"LINESTRING (138.7839715 -35.5040424, 138.7834282 -35.5046254)",,,
38274857,False,,Dunbar Street,residential,50,True,46.503,"LINESTRING (138.7839715 -35.5040424, 138.7843929 -35.5042816)",4,,
38311628,False,,Porter Street,residential,50,False,142.431,"LINESTRING (138.7839715 -35.5040424, 138.7827496 -35.5032354)",,,
"[37501220, 37501221]",False,B37,"['Hays Street', 'Cadell Street']",primary,50,False,83.648,"LINESTRING (138.7839715 -35.5040424, 138.7842295 -35.5038012, 138.7842508 -35.5037705, 138.7842663 -35.5037414, 138.7842751 -35.5037081, 138.7842492 -35.5036329, 138.7842229 -35.5035822, 138.7841005 -35.5034108)",,,
38274857,False,,Dunbar Street,residential,50,False,46.503,"LINESTRING (138.7843929 -35.5042816, 138.7839715 -35.5040424)",4,,
38279174,False,,Goolwa Terrace,residential,50,False,82.913,"LINESTRING (138.7843929 -35.5042816, 138.7839262 -35.5049232)",4,,
38274857,False,,Dunbar Street,residential,50,True,83.598,"LINESTRING (138.7843929 -35.5042816, 138.7845305 -35.5043635, 138.785003 -35.5046262, 138.7850849 -35.5046286, 138.7851747 -35.5045948)",4,,
38279174,False,,Goolwa Terrace,residential,50,True,82.913,"LINESTRING (138.7839262 -35.5049232, 138.7843929 -35.5042816)",4,,
38279175,False,,Admiral Terrace,residential,50,True,55.934,"LINESTRING (138.7839262 -35.5049232, 138.7834282 -35.5046254)",4,,
38279175,False,,Admiral Terrace,residential,50,False,82.131,"LINESTRING (138.7839262 -35.5049232, 138.7840069 -35.5049707, 138.784064 -35.5050222, 138.7840955 -35.5050593, 138.7841207 -35.5051278, 138.784136 -35.5051861, 138.7841403 -35.5052685, 138.7841312 -35.5053449, 138.7841163 -35.5054164, 138.7840767 -35.5055937)",4,,
37501221,False,B37,Hays Street,primary,50,False,81.371,"LINESTRING (138.7834282 -35.5046254, 138.7839715 -35.5040424)",,,
37501221,False,B37,Hays Street,primary,50,True,72.351,"LINESTRING (138.7834282 -35.5046254, 138.7829348 -35.5051373)",,,
38279175,False,,Admiral Terrace,residential,50,False,55.934,"LINESTRING (138.7834282 -35.5046254, 138.7839262 -35.5049232)",4,,
97512876,False,,Goyder Street,residential,50,True,145.224,"LINESTRING (138.7834282 -35.5046254, 138.7822042 -35.5037811)",,,
38279175,False,,Admiral Terrace,residential,50,False,51.551,"LINESTRING (138.7840767 -35.5055937, 138.7839861 -35.5060514)",4,,
38279175,False,,Admiral Terrace,residential,50,True,82.13099999999999,"LINESTRING (138.7840767 -35.5055937, 138.7841163 -35.5054164, 138.7841312 -35.5053449, 138.7841403 -35.5052685, 138.784136 -35.5051861, 138.7841207 -35.5051278, 138.7840955 -35.5050593, 138.784064 -35.5050222, 138.7840069 -35.5049707, 138.7839262 -35.5049232)",4,,
38279176,True,,Hutchinson Street,residential,50,False,129.761,"LINESTRING (138.7840767 -35.5055937, 138.782829 -35.5054416, 138.7827409 -35.5053938, 138.7827008 -35.5053511)",3,,
37501221,False,B37,Hays Street,primary,50,False,31.973,"LINESTRING (138.7827008 -35.5053511, 138.782743 -35.5053252, 138.7827883 -35.5052852, 138.7828489 -35.5052188, 138.7829348 -35.5051373)",,,
97512959,False,B37,Hutchinson Street,primary,50,True,109.056,"LINESTRING (138.7827008 -35.5053511, 138.782597 -35.5053332, 138.7823558 -35.5053078, 138.7815103 -35.5052018)",,,
38279175,False,,Admiral Terrace,residential,50,True,51.551,"LINESTRING (138.7839861 -35.5060514, 138.7840767 -35.5055937)",4,,
38279177,False,,Sidmouth Street,residential,50,False,236.145,"LINESTRING (138.7839861 -35.5060514, 138.7814084 -35.5057245)",4,,
"[38279178, 38279175]",False,,"['Baronet Street', 'Admiral Terrace']",residential,50,False,285.723,"LINESTRING (138.7839861 -35.5060514, 138.7839282 -35.5064596, 138.7838254 -35.5065195, 138.7825733 -35.5063708, 138.7813291 -35.506209)",4,,
37516031,False,,Oliver Street,residential,50,False,54.35,"LINESTRING (138.7814084 -35.5057245, 138.7813291 -35.506209)",,2,
37516031,False,,Oliver Street,residential,50,True,58.849,"LINESTRING (138.7814084 -35.5057245, 138.7815103 -35.5052018)",,2,
38279177,False,,Sidmouth Street,residential,50,True,236.145,"LINESTRING (138.7814084 -35.5057245, 138.7839861 -35.5060514)",4,,
38279180,False,,Tiverton Street,residential,50,False,123.563,"LINESTRING (138.7814084 -35.5057245, 138.7800606 -35.5055484)",4,,
37516031,False,,Oliver Street,residential,50,True,54.35,"LINESTRING (138.7813291 -35.506209, 138.7814084 -35.5057245)",,2,
38279179,False,,Governor Street,residential,50,False,95.055,"LINESTRING (138.7813291 -35.506209, 138.7802928 -35.5060708)",4,,
"[38279178, 38279175]",False,,"['Baronet Street', 'Admiral Terrace']",residential,50,True,285.723,"LINESTRING (138.7813291 -35.506209, 138.7825733 -35.5063708, 138.7838254 -35.5065195, 138.7839282 -35.5064596, 138.7839861 -35.5060514)",4,,
38279179,False,,Governor Street,residential,50,True,95.055,"LINESTRING (138.7802928 -35.5060708, 138.7813291 -35.506209)",4,,
38279180,False,,Tiverton Street,residential,50,True,123.563,"LINESTRING (138.7800606 -35.5055484, 138.7814084 -35.5057245)",4,,
38311608,False,,Chrystal Street,residential,50,False,127.281,"LINESTRING (138.7849937 -35.4994546, 138.7857985 -35.5003932)",4,,
38312396,False,,Fenchurch Street,residential,50,False,147.448,"LINESTRING (138.7849937 -35.4994546, 138.7836709 -35.5002283)",4,,
38312396,False,,Fenchurch Street,residential,50,True,144.434,"LINESTRING (138.7849937 -35.4994546, 138.7855448 -35.4991423, 138.785665 -35.4990726, 138.7862972 -35.4987056)",4,,
37501230,False,,Brooking Street,residential,50,False,114.24,"LINESTRING (138.7836709 -35.5002283, 138.7844046 -35.5010642)",,,
37501230,False,,Brooking Street,residential,50,True,28.913,"LINESTRING (138.7836709 -35.5002283, 138.7834902 -35.5000139)",,,
38312396,False,,Fenchurch Street,residential,50,True,147.448,"LINESTRING (138.7836709 -35.5002283, 138.7849937 -35.4994546)",4,,
37501209,False,,Wildman Street,residential,50,False,78.227,"LINESTRING (138.7827496 -35.5032354, 138.7822042 -35.5037811)",4,,
38311628,False,,Porter Street,residential,50,True,142.431,"LINESTRING (138.7827496 -35.5032354, 138.7839715 -35.5040424)",,,
38311628,False,,Porter Street,residential,50,False,103.006,"LINESTRING (138.7827496 -35.5032354, 138.7819874 -35.5027495, 138.7818399 -35.502681)",,,
