osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,name,ref
32973275,,residential,,roundabout,True,False,14.758999999999999,"LINESTRING (117.8822395 -35.0261201, 117.8822381 -35.0261472, 117.8822256 -35.0261723, 117.8822032 -35.0261924, 117.8821739 -35.026205, 117.8821447 -35.0262087)",,
43438193,,residential,,,False,False,50.489,"LINESTRING (117.8822395 -35.0261201, 117.8824678 -35.0260511, 117.8827584 -35.0259601)",Peels Place,
43438144,,residential,,,False,False,45.446,"LINESTRING (117.8846813 -35.0258857, 117.8851685 -35.0259744)",Peels Place,
43438144,,residential,,,False,True,81.694,"LINESTRING (117.8846813 -35.0258857, 117.8843744 -35.0258482, 117.884047 -35.0258623, 117.8837893 -35.0258837)",Peels Place,
43438151,,residential,,,True,False,66.22,"LINESTRING (117.8846813 -35.0258857, 117.884727 -35.0257964, 117.8851347 -35.0257976, 117.8852979 -35.0257011)",Peels Place,
43438189,,residential,,,False,True,64.533,"LINESTRING (117.8827584 -35.0259601, 117.8826645 -35.0258765, 117.8821287 -35.0258898, 117.8820948 -35.0258882)",Peels Place,
43438193,,residential,,,False,False,75.92500000000001,"LINESTRING (117.8827584 -35.0259601, 117.8828989 -35.0259273, 117.8829966 -35.0259044, 117.8835824 -35.0258891)",Peels Place,
43438193,,residential,,,False,True,50.489,"LINESTRING (117.8827584 -35.0259601, 117.8824678 -35.0260511, 117.8822395 -35.0261201)",Peels Place,
43438016,,secondary_link,,,False,False,10.868,"LINESTRING (117.8868253 -35.0286855, 117.8867709 -35.0287725)",,
43437975,,secondary,60,,True,False,11.347,"LINESTRING (117.8839227 -35.0282852, 117.8837988 -35.0282961)",Princess Royal Drive,
375751704,,secondary,,,False,True,12.389,"LINESTRING (117.88182 -35.0289907, 117.8817219 -35.0289135)",Residency Road,
375751704,,secondary,,,False,False,12.389,"LINESTRING (117.8817219 -35.0289135, 117.88182 -35.0289907)",Residency Road,
43437955,,secondary,60,,True,False,147.19099999999997,"LINESTRING (117.8817219 -35.0289135, 117.8819669 -35.0286767, 117.8823046 -35.0284629, 117.882582 -35.0283545, 117.8830798 -35.0282938)",Princess Royal Drive,
"[375751704, 43437828]",,secondary,,,False,True,157.73499999999999,"LINESTRING (117.8817219 -35.0289135, 117.8815513 -35.0287767, 117.8812004 -35.0284319, 117.8810853 -35.0283188, 117.8809673 -35.0281448, 117.8809153 -35.028068, 117.8808353 -35.0279304, 117.8807368 -35.0277609)",Residency Road,257
43437955,,secondary,60,,True,False,65.515,"LINESTRING (117.8830798 -35.0282938, 117.8837952 -35.0282309)",Princess Royal Drive,
43438035,,secondary_link,,,True,False,74.918,"LINESTRING (117.8830798 -35.0282938, 117.8832237 -35.0282651, 117.883615 -35.0281855, 117.8837157 -35.0281099, 117.883775 -35.0280107)",,
43437861,,residential,,,False,False,72.139,"LINESTRING (117.8871519 -35.0221721, 117.8873857 -35.0226203, 117.8874631 -35.0227687)",Rowley Street,
43437643,,residential,,,False,True,58.983,"LINESTRING (117.8851775 -35.0220015, 117.8858233 -35.0219606)",Serpentine Road,
