osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,junction
140172835,,,Via Luigi Settembrini,tertiary,False,False,120.553,"LINESTRING (13.6291063 42.5801866, 13.6286147 42.5803965, 13.6281239 42.5806256, 13.6278514 42.5807533)",,
140173511,,,Via Dei Mulini,residential,False,False,126.655,"LINESTRING (13.6265376 42.5814017, 13.627036 42.5817051, 13.6271218 42.581871, 13.6271471 42.5819683, 13.62717 42.5820566, 13.6271446 42.5823524)",,
638983931,,,Via O. Zanella,tertiary,False,False,44.902,"LINESTRING (13.6265376 42.5814017, 13.6265149 42.5814712, 13.6265074 42.5814942, 13.6264834 42.5815679, 13.6264258 42.5817969)",,
"[140172832, 638983929, 638983931]",,,Via O. Zanella,tertiary,False,True,59.105999999999995,"LINESTRING (13.6265376 42.5814017, 13.626552 42.5813439, 13.6265567 42.5813249, 13.626705 42.5809495, 13.6267323 42.5808903)",yes,
140169654,,,Via Giuseppe Urbani,residential,True,False,248.052,"LINESTRING (13.6271446 42.5823524, 13.6273234 42.5823526, 13.6274869 42.5823454, 13.6276305 42.5823171, 13.6277619 42.5822977, 13.6278062 42.5823033, 13.6278738 42.582317, 13.6282678 42.58238, 13.6284432 42.5824188, 13.6287683 42.5825019, 13.6288028 42.5825107, 13.6290295 42.5825687, 13.6292294 42.5826198, 13.6293735 42.5826686, 13.6294939 42.5827094, 13.6297398 42.5827927, 13.6298058 42.5828138, 13.6298768 42.5828294, 13.630033 42.5828636)",,
140173511,,,Via Dei Mulini,residential,False,True,126.655,"LINESTRING (13.6271446 42.5823524, 13.62717 42.5820566, 13.6271471 42.5819683, 13.6271218 42.581871, 13.627036 42.5817051, 13.6265376 42.5814017)",,
140167096,,,Via Antonio Gramsci,tertiary,False,False,98.45299999999999,"LINESTRING (13.6317596 42.5836841, 13.6326221 42.583301, 13.6327089 42.5832354, 13.632749 42.5831924)",,
"[140167096, 648289506, 648289507]",,,Via Antonio Gramsci,tertiary,False,True,180.551,"LINESTRING (13.6317596 42.5836841, 13.6316425 42.5837305, 13.6313912 42.5838298, 13.6310771 42.5840007, 13.6308572 42.5841626, 13.6306373 42.5843246, 13.6305246 42.5843621, 13.6304028 42.5843729, 13.629971 42.5843196, 13.6298809 42.5843147)",yes,
140174165,,,,tertiary,False,True,49.019999999999996,"LINESTRING (13.6317596 42.5836841, 13.6320073 42.5840381, 13.6320101 42.58406, 13.6320059 42.5840804)",,
140176528,,,Via Camillo Benso Di Cavour,residential,False,True,84.61,"LINESTRING (13.6317596 42.5836841, 13.6315969 42.5834457, 13.6314601 42.5832699, 13.6313376 42.58311, 13.631297 42.5830063)",,
140174165,,,,tertiary,False,False,49.02,"LINESTRING (13.6320059 42.5840804, 13.6320101 42.58406, 13.6320073 42.5840381, 13.6317596 42.5836841)",,
140169046,,,Via Marcacci,residential,False,False,77.457,"LINESTRING (13.6334864 42.5820868, 13.6335461 42.5813916)",,
140169046,,,Via Marcacci,residential,False,True,39.419,"LINESTRING (13.6334864 42.5820868, 13.6334871 42.5824413)",,
140176529,,,,residential,False,True,64.059,"LINESTRING (13.6334864 42.5820868, 13.6331204 42.5820633, 13.6327057 42.5820514)",,
"[140169041, 823877463]",,,Via Italia,"['residential', 'tertiary']",False,False,61.592,"LINESTRING (13.6327057 42.5820514, 13.6329258 42.5815504, 13.6329399 42.5815251)",,
140169041,,,Via Italia,tertiary,False,True,60.648,"LINESTRING (13.6327057 42.5820514, 13.6326074 42.5822862, 13.6325902 42.5823931, 13.6325494 42.5825828)",,
140176529,,,,residential,False,False,64.059,"LINESTRING (13.6327057 42.5820514, 13.6331204 42.5820633, 13.6334864 42.5820868)",,
140317781,,,,residential,False,True,162.04099999999997,"LINESTRING (13.6327057 42.5820514, 13.6326483 42.5820317, 13.6324297 42.5819691, 13.6322621 42.5819211, 13.632026 42.5819527, 13.6318429 42.5820126, 13.6317552 42.582087, 13.6315165 42.582247, 13.6314507 42.5823319, 13.6314328 42.5824474, 13.6314543 42.5825145, 13.6315319 42.5825501, 13.6316463 42.5825937)",,
140313051,,,Via Speranza,residential,False,True,35.612,"LINESTRING (13.6282508 42.5829903, 13.6284045 42.5826907)",,
140169658,,,Via Beretra,residential,False,False,127.27499999999999,"LINESTRING (13.6282508 42.5829903, 13.628621 42.583101, 13.6287494 42.5831398, 13.6289631 42.5832102, 13.6291788 42.5832755, 13.6296684 42.5834224, 13.6296868 42.5834285)",,
140169658,,,Via Beretra,residential,False,True,58.013000000000005,"LINESTRING (13.6282508 42.5829903, 13.6281986 42.5829722, 13.6280723 42.5829485, 13.6279353 42.5829211, 13.6277881 42.5828916, 13.6275714 42.5828443)",,
140314848,,,,residential,False,False,17.8,"LINESTRING (13.6352757 42.5825045, 13.6353208 42.5823479)",,
140314848,,,,residential,False,True,17.321,"LINESTRING (13.6352757 42.5825045, 13.6352374 42.5826577)",,
140314851,,,,residential,False,False,25.015,"LINESTRING (13.6352757 42.5825045, 13.635577 42.5825418)",,
140314851,,,,residential,False,True,25.533,"LINESTRING (13.6352757 42.5825045, 13.6349665 42.5824746)",,
140169037,,,Via dei Mille,residential,False,False,17.165,"LINESTRING (13.6355143 42.5826891, 13.635577 42.5825418)",,
140169037,,,Via dei Mille,residential,False,True,25.748,"LINESTRING (13.6355143 42.5826891, 13.6354536 42.5829163)",,
140314853,,,,residential,False,True,22.938,"LINESTRING (13.6355143 42.5826891, 13.6352374 42.5826577)",,
140314850,,,,residential,False,False,16.747,"LINESTRING (13.6349367 42.5826236, 13.6349665 42.5824746)",,
140314853,,,,residential,False,False,24.91,"LINESTRING (13.6349367 42.5826236, 13.6352374 42.5826577)",,
"[140314853, 140314847]",,,,residential,False,True,40.765,"LINESTRING (13.6349367 42.5826236, 13.6346451 42.5825905, 13.6346594 42.5824415)",,
140169037,,,Via dei Mille,residential,False,False,18.916,"LINESTRING (13.635577 42.5825418, 13.6356458 42.5823794)",,
140169037,,,Via dei Mille,residential,False,True,17.165,"LINESTRING (13.635577 42.5825418, 13.6355143 42.5826891)",,
140314851,,,,residential,False,True,25.015,"LINESTRING (13.635577 42.5825418, 13.6352757 42.5825045)",,
140314850,,,,residential,False,False,19.267,"LINESTRING (13.6349665 42.5824746, 13.6350001 42.5823031)",,
140314850,,,,residential,False,True,16.747,"LINESTRING (13.6349665 42.5824746, 13.6349367 42.5826236)",,
140314851,,,,residential,False,False,25.533,"LINESTRING (13.6349665 42.5824746, 13.6352757 42.5825045)",,
140314851,,,,residential,False,True,25.411,"LINESTRING (13.6349665 42.5824746, 13.6346594 42.5824415)",,
140314844,,,,residential,False,False,26.838,"LINESTRING (13.6353208 42.5823479, 13.6356458 42.5823794)",,
140314844,,,,residential,False,True,26.725,"LINESTRING (13.6353208 42.5823479, 13.6350001 42.5823031)",,
140314848,,,,residential,False,True,17.8,"LINESTRING (13.6353208 42.5823479, 13.6352757 42.5825045)",,
140314844,,,,residential,False,False,26.725,"LINESTRING (13.6350001 42.5823031, 13.6353208 42.5823479)",,
140314850,,,,residential,False,True,19.267,"LINESTRING (13.6350001 42.5823031, 13.6349665 42.5824746)",,
"[140314844, 140314847]",,,,residential,False,"[False, True]",46.753,"LINESTRING (13.6350001 42.5823031, 13.6346746 42.5822642, 13.6346594 42.5824415)",,
140169037,,,Via dei Mille,residential,False,False,32.312,"LINESTRING (13.6356458 42.5823794, 13.6357917 42.5821094)",,
140169037,,,Via dei Mille,residential,False,True,18.916,"LINESTRING (13.6356458 42.5823794, 13.635577 42.5825418)",,
140314844,,,,residential,False,True,26.838,"LINESTRING (13.6356458 42.5823794, 13.6353208 42.5823479)",,
140314851,,,,residential,False,False,25.411,"LINESTRING (13.6346594 42.5824415, 13.6349665 42.5824746)",,
"[140314853, 140314847]",,,,residential,False,False,40.765,"LINESTRING (13.6346594 42.5824415, 13.6346451 42.5825905, 13.6349367 42.5826236)",,
"[140314844, 140314847]",,,,residential,False,"[False, True]",46.753,"LINESTRING (13.6346594 42.5824415, 13.6346746 42.5822642, 13.6350001 42.5823031)",,
