osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,junction,bridge
"[1067493659, 1182490567]","['Vico 2° San Leonardo', 'Via Ippolito Nievo']",unclassified,False,"[False, True]",86.215,,"LINESTRING (14.4859834 41.0081678, 14.4857081 41.0081403, 14.4855749 41.0081518, 14.4854219 41.0081805, 14.4852002 41.0081715, 14.4849788 41.0081098)",,,
620874178,Via Antonio De Curtis,unclassified,False,False,144.103,,"LINESTRING (14.4845804 41.0090158, 14.482922 41.0086791)",,,
620874192,Via Elevata,residential,False,True,36.882,,"LINESTRING (14.4845804 41.0090158, 14.4845703 41.0093474)",,,
620874192,Via Elevata,residential,False,False,45.168,,"LINESTRING (14.4845804 41.0090158, 14.4845965 41.0088883, 14.4847348 41.0086305)",,,
1062811199,Via Roma,residential,True,False,98.279,30,"LINESTRING (14.4833 41.0121417, 14.4844001 41.0124452)",,,
620874192,Via Elevata,residential,False,False,96.09700000000001,,"LINESTRING (14.4833 41.0121417, 14.4834011 41.0119699, 14.4834863 41.0117742, 14.4836231 41.0114528, 14.4836699 41.0113249)",,,
1063152600,Corso Abatemarco,residential,True,False,37.259,30,"LINESTRING (14.4869254 41.0150144, 14.4871287 41.0153123)",,,
171462178,Via Roma,residential,False,True,107.34,,"LINESTRING (14.4869254 41.0150144, 14.4874691 41.0152049, 14.4880249 41.0155004)",,,
620874241,Via Enrico De Nicola,residential,False,False,143.357,,"LINESTRING (14.4869254 41.0150144, 14.4863426 41.0155935, 14.4858805 41.0160344)",,,
620874192,Via Elevata,residential,False,False,36.882,,"LINESTRING (14.4845703 41.0093474, 14.4845804 41.0090158)",,,
1063152590,Via Rione S. Leonardo,unclassified,False,True,36.999,,"LINESTRING (14.4845703 41.0093474, 14.4850061 41.0093981)",,,
171462199,Via Caravaggio,unclassified,False,False,149.175,,"LINESTRING (14.4845703 41.0093474, 14.4843497 41.0093275, 14.4841515 41.0093741, 14.482853 41.0091008)",,,
620874192,Via Elevata,residential,False,True,65.19200000000001,,"LINESTRING (14.4845703 41.0093474, 14.484567 41.0094105, 14.4843524 41.0098699, 14.4843318 41.0099024)",,,
171462181,Via Vincenzo Monti,unclassified,False,False,50.264,,"LINESTRING (14.4819357 41.0098335, 14.482499 41.0099873)",,,
171462199,Via Caravaggio,unclassified,False,True,149.175,,"LINESTRING (14.482853 41.0091008, 14.4841515 41.0093741, 14.4843497 41.0093275, 14.4845703 41.0093474)",,,
171462201,Vico Tre Giri,unclassified,False,False,139.695,,"LINESTRING (14.4844001 41.0124452, 14.4844248 41.0122359, 14.4844278 41.0120417, 14.4845723 41.0118595, 14.4853687 41.0120786)",,,
363477846,Via Laurenza,residential,False,False,158.187,,"LINESTRING (14.4844001 41.0124452, 14.4841515 41.0127778, 14.4839675 41.0130021, 14.4834145 41.0136575)",,,
1062811199,Via Roma,residential,True,False,46.431,30,"LINESTRING (14.4844001 41.0124452, 14.4846972 41.0125573, 14.4849104 41.0126018)",,,
171462176,Via Campo Sportivo,residential,False,False,38.397,,"LINESTRING (14.4860069 41.0165864, 14.4861463 41.0162575)",,,
171462210,Via Campo Sportivo,residential,False,True,92.601,,"LINESTRING (14.4860069 41.0165864, 14.4849639 41.016314)",,,
1184491860,Via Crocella Santa,residential,False,True,44.718,30,"LINESTRING (14.4802029 41.0120624, 14.4796773 41.012129)",,,
"[171462179, 1184491861]",Via Crocella Santa,residential,True,False,111.238,"['20', '30']","LINESTRING (14.4802029 41.0120624, 14.4803183 41.0120457, 14.480647 41.0119954, 14.4811225 41.0119283, 14.481505 41.0118743)",,,
171534466,,residential,False,True,42.06,,"LINESTRING (14.4810661 41.0156976, 14.4814995 41.0155075)",,,
171534454,Via Laurenza,residential,False,True,12.24,,"LINESTRING (14.4819546 41.0158405, 14.4820101 41.0157387)",,,
1182491150,,residential,False,True,199.976,,"LINESTRING (14.4819546 41.0158405, 14.4825379 41.0159955, 14.4825701 41.0159834, 14.4827095 41.0157367, 14.4830688 41.0147363)",,,
171534464,Via S.Antonio,unclassified,False,False,103.508,,"LINESTRING (14.4812867 41.01478, 14.4817334 41.0139123)",,,
1062811203,Via Padre Vittorio De Marino,tertiary,False,False,18.788,30,"LINESTRING (14.4825035 41.0144506, 14.4826838 41.0145508)",SP338,,
1062811203,Via Padre Vittorio De Marino,tertiary,False,True,81.5,30,"LINESTRING (14.4825035 41.0144506, 14.4817909 41.0139525)",SP338,,
386465663,Via Fosse,residential,False,True,134.675,,"LINESTRING (14.4825035 41.0144506, 14.4818312 41.0147395, 14.4811199 41.0150644)",,,
171534477,Viale della Repubblica,residential,False,True,46.161,,"LINESTRING (14.4845153 41.0152975, 14.4848325 41.0149583)",,,
1062811204,Via Giuseppe Alberti,tertiary,False,True,14.92,30,"LINESTRING (14.4845153 41.0152975, 14.4843545 41.0152402)",SP338,,
1062811204,Via Giuseppe Alberti,tertiary,False,False,78.31,30,"LINESTRING (14.4845153 41.0152975, 14.4852297 41.0155992, 14.4853117 41.0156597)",SP338,,
171534464,Via S.Antonio,unclassified,False,True,103.508,,"LINESTRING (14.4817334 41.0139123, 14.4812867 41.01478)",,,
1062811203,Via Padre Vittorio De Marino,tertiary,False,False,6.577,30,"LINESTRING (14.4817334 41.0139123, 14.4817909 41.0139525)",SP338,,
1062811203,Via Padre Vittorio De Marino,tertiary,False,True,55.42,30,"LINESTRING (14.4817334 41.0139123, 14.4814774 41.0136808, 14.4813316 41.0135175)",SP338,,
171534483,Viale Papa Giovanni XXIII,residential,True,False,160.846,,"LINESTRING (14.4850042 41.0126757, 14.4839996 41.0139077)",,,
1062811199,Via Roma,residential,True,False,50.869,30,"LINESTRING (14.4850042 41.0126757, 14.4853329 41.0130601)",,,
1101695607,,residential,False,True,58.668,,"LINESTRING (14.4811199 41.0150644, 14.4814995 41.0155075)",,,
386465663,Via Fosse,residential,False,False,134.675,,"LINESTRING (14.4811199 41.0150644, 14.4818312 41.0147395, 14.4825035 41.0144506)",,,
"[1032872094, 386465662, 386465663]",Via Fosse,"['residential', 'unclassified']",False,True,89.676,,"LINESTRING (14.4811199 41.0150644, 14.4805651 41.015322, 14.4803071 41.0154324, 14.4802054 41.0154816)",,,yes
171534454,Via Laurenza,residential,False,False,70.206,,"LINESTRING (14.4823139 41.0151504, 14.4820101 41.0157387)",,,
171534454,Via Laurenza,residential,False,True,73.542,,"LINESTRING (14.4823139 41.0151504, 14.4826838 41.0145508)",,,
171534466,,residential,False,False,79.028,,"LINESTRING (14.4823139 41.0151504, 14.4814995 41.0155075)",,,
171534454,Via Laurenza,residential,False,False,73.542,,"LINESTRING (14.4826838 41.0145508, 14.4823139 41.0151504)",,,
363477846,Via Laurenza,residential,False,True,63.277,,"LINESTRING (14.4826838 41.0145508, 14.4830655 41.01406)",,,
1062811203,Via Padre Vittorio De Marino,tertiary,False,True,18.788,30,"LINESTRING (14.4826838 41.0145508, 14.4825035 41.0144506)",SP338,,
1062811204,Via Giuseppe Alberti,tertiary,False,False,38.326,30,"LINESTRING (14.4826838 41.0145508, 14.4830688 41.0147363)",SP338,,
171534477,Viale della Repubblica,residential,False,False,58.142,,"LINESTRING (14.4852321 41.0145311, 14.4848325 41.0149583)",,,
171534477,Viale della Repubblica,residential,False,True,103.189,,"LINESTRING (14.4852321 41.0145311, 14.4859104 41.013757)",,,
171534463,Via I Maggio,residential,False,False,124.496,,"LINESTRING (14.4852321 41.0145311, 14.4850279 41.0144275, 14.4840493 41.013931, 14.4839996 41.0139077)",,,
171534463,Via I Maggio,residential,False,False,6.114,,"LINESTRING (14.4839996 41.0139077, 14.4839362 41.0138806)",,,
171534463,Via I Maggio,residential,False,True,124.496,,"LINESTRING (14.4839996 41.0139077, 14.4840493 41.013931, 14.4850279 41.0144275, 14.4852321 41.0145311)",,,
171534463,Via I Maggio,residential,False,True,50.313,,"LINESTRING (14.4834145 41.0136575, 14.4839362 41.0138806)",,,
363477846,Via Laurenza,residential,False,False,53.484,,"LINESTRING (14.4834145 41.0136575, 14.4830655 41.01406)",,,
363477846,Via Laurenza,residential,False,True,158.187,,"LINESTRING (14.4834145 41.0136575, 14.4839675 41.0130021, 14.4841515 41.0127778, 14.4844001 41.0124452)",,,
363477842,Via Porchiera,unclassified,False,False,96.268,,"LINESTRING (14.4784947 41.0117973, 14.4783491 41.0119063, 14.4781643 41.0120086, 14.4777035 41.0124192)",,,
