osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,name,width,tunnel,access,junction
18833077,True,1,motorway_link,80,False,295.685,"LINESTRING (6.7789472 51.4469881, 6.7790104 51.4471293, 6.7790812 51.4472244, 6.7791708 51.4472924, 6.7792795 51.4473537, 6.779381 51.4473918, 6.7795071 51.4474258, 6.7796702 51.4474561, 6.7804052 51.4475682, 6.7806209 51.4475971, 6.7808316 51.4475825, 6.780962 51.4475572, 6.7810973 51.4475034, 6.7811998 51.4474146, 6.781248 51.4473391, 6.7812694 51.4472459, 6.7812143 51.4471172, 6.7811237 51.4470339, 6.7809675 51.4469686, 6.7807613 51.4469282, 6.7803564 51.4468444)",,,,,,,
24937306,True,1,motorway_link,80,False,71.637,"LINESTRING (6.7789472 51.4469881, 6.7789428 51.4470992, 6.7788421 51.4476286)",,,,,,,
4309099,True,2,motorway_link,,False,203.80900000000003,"LINESTRING (6.6803468 51.4375559, 6.6793303 51.4376139, 6.6788023 51.4376322, 6.6774119 51.4376516)",,,,,,,
"[287754369, 287754366]",True,"['1', '2']",motorway_link,,False,155.543,"LINESTRING (6.6756759 51.437246, 6.6766638 51.4372745, 6.6779074 51.4373798)",,,,,,,
4279020,True,2,primary,50,False,10.761,"LINESTRING (6.7689333 51.4265827, 6.7688019 51.4265312)",L 60,,Mercatorstraße,,,,
199120154,True,1,motorway_link,,False,7.17,"LINESTRING (6.7689333 51.4265827, 6.7689136 51.4265194)",,,,,,,
191559261,True,1,residential,30,False,58.855000000000004,"LINESTRING (6.7689333 51.4265827, 6.7688442 51.426612, 6.7687704 51.4266434, 6.7687522 51.4266571, 6.7687114 51.4267051, 6.7684975 51.4270164)",,,Kölner Straße,,,,
"[161192851, 1203462694]",False,"['3', '4']",primary,30,True,209.31,"LINESTRING (6.7637108 51.4263575, 6.7634409 51.42642, 6.7632209 51.426479, 6.7629663 51.4265532, 6.7626904 51.4266367, 6.7621636 51.4268224, 6.7615827 51.4270326, 6.7610364 51.4272245)",L 60,,Kremerstraße,,,,
562225257,True,2,primary,30,False,97.14800000000001,"LINESTRING (6.7637108 51.4263575, 6.7638574 51.426312, 6.7640407 51.4262649, 6.76427 51.4262193, 6.7645693 51.4261641, 6.7648267 51.4261146, 6.7648572 51.4261068, 6.7649139 51.4260894, 6.765019 51.4260522)",L 60,,Kremerstraße,,,,
"[236514208, 231701793, 9858042]",True,"['3', '2']",primary,50,False,108.035,"LINESTRING (6.7602519 51.4276067, 6.7599958 51.4277602, 6.7598 51.4278772, 6.7596168 51.4279805, 6.75934 51.4281366, 6.7591167 51.4282721)",L 60,,Kremerstraße,,,,
202799861,False,4,primary,50,False,22.956,"LINESTRING (6.7602519 51.4276067, 6.7603749 51.4275404, 6.7605039 51.4274728)",L 60,,Kremerstraße,,,,
209750455,False,4,secondary,50,True,35.887,"LINESTRING (6.7783185 51.4352002, 6.778063 51.4349195)",,,Saarstraße,11.5,,,
"[238447985, 145161325, 237750305]",False,2,residential,30,True,286.629,"LINESTRING (6.7783185 51.4352002, 6.7782516 51.4352223, 6.7781658 51.4352458, 6.7779713 51.4353263, 6.7778847 51.4354004, 6.7778481 51.4354752, 6.777768 51.4363091, 6.777733 51.436673, 6.77767 51.4372124, 6.7776446 51.4374914, 6.7776426 51.437507, 6.7776312 51.4376276)",,,Falkstraße,5.5,,,
"[19751151, 186191440, 237750323, 912908634, 912908636]",False,2,secondary,50,False,285.319,"LINESTRING (6.7783185 51.4352002, 6.7784231 51.4353106, 6.7786179 51.4355173, 6.778815 51.435738, 6.779438 51.4364446, 6.779645 51.4366793, 6.7797596 51.4368093, 6.7798404 51.4369011, 6.7799264 51.4369969, 6.7802269 51.4373208, 6.7803334 51.4374375)",,,Oranienstraße,6,,,
9703160,False,2,secondary,50,False,20.271,"LINESTRING (6.7797851 51.4377541, 6.779908 51.4377662, 6.7800753 51.437776)",K 38,,Kardinal-Galen-Straße,8,,,
"[232861650, 237750322, 9658797]",False,"['3', '4', '2']",secondary,50,True,150.036,"LINESTRING (6.7797851 51.4377541, 6.7795109 51.4377239, 6.7793824 51.4377179, 6.7790742 51.4377016, 6.7783333 51.4376672, 6.7780873 51.4376536, 6.7778324 51.4376387, 6.7777698 51.4376355, 6.7776312 51.4376276)",K 38,,Kardinal-Galen-Straße,12,,,
