osmid,oneway,lanes,highway,reversed,length,geometry,name
144864648,False,,residential,True,128.725,"LINESTRING (-66.5882765 -18.4257478, -66.5883244 -18.4258272, -66.5884558 -18.4260937, -66.5885634 -18.4262127, -66.5890176 -18.4265529, -66.5890571 -18.4264984)",Calle Sucre
148319500,False,,residential,False,200.70100000000002,"LINESTRING (-66.5882765 -18.4257478, -66.5877318 -18.4261486, -66.5876091 -18.4262602, -66.5868117 -18.4268983)",Calle Topater
144864648,False,,residential,False,63.686,"LINESTRING (-66.5893989 -18.4260263, -66.5890571 -18.4264984)",Calle Sucre
141031663,False,,residential,False,103.93299999999999,"LINESTRING (-66.5893989 -18.4260263, -66.5889907 -18.4257016, -66.5886466 -18.4254228)",
600838254,False,,residential,False,40.001,"LINESTRING (-66.5826177 -18.4260839, -66.5829248 -18.4258729)",Calle Ayacucho
621837305,False,,residential,False,42.383,"LINESTRING (-66.5826177 -18.4260839, -66.5828739 -18.4263775)",
621837305,False,,residential,True,73.666,"LINESTRING (-66.5826177 -18.4260839, -66.5820495 -18.4256988)",
600838254,False,,residential,True,123.47399999999999,"LINESTRING (-66.5826177 -18.4260839, -66.582314 -18.4262889, -66.582124 -18.4264748, -66.581809 -18.426873)",Calle Ayacucho
148318362,False,,residential,False,88.788,"LINESTRING (-66.5863779 -18.4262423, -66.585702 -18.4257665)",Calle Juana Azurduy
148318362,False,,residential,True,46.114,"LINESTRING (-66.5863779 -18.4262423, -66.5867218 -18.4264983)",Calle Juana Azurduy
144864643,False,,residential,True,173.793,"LINESTRING (-66.5863779 -18.4262423, -66.5868015 -18.4254897, -66.5872106 -18.4250116, -66.587274 -18.4249394)",Calle Oblitas
148318338,False,,residential,True,103.38300000000001,"LINESTRING (-66.5833832 -18.4272118, -66.5837188 -18.4268573, -66.5840067 -18.4264956)",
621837305,False,,residential,True,107.852,"LINESTRING (-66.5833832 -18.4272118, -66.5831989 -18.4268174, -66.5830499 -18.426583, -66.5828739 -18.4263775)",
148318344,False,,residential,False,23.756,"LINESTRING (-66.5864572 -18.4201855, -66.5862773 -18.420314)",Calle Cochabamba
144864674,False,,residential,False,111.044,"LINESTRING (-66.5862773 -18.420314, -66.5857641 -18.4194421)",Calle Buch
144864674,False,,residential,True,69.732,"LINESTRING (-66.5862773 -18.420314, -66.5866199 -18.4208503)",Calle Buch
148318344,False,,residential,False,120.893,"LINESTRING (-66.5862773 -18.420314, -66.5852573 -18.4208095)",Calle Cochabamba
148318344,False,,residential,True,23.756,"LINESTRING (-66.5862773 -18.420314, -66.5864572 -18.4201855)",Calle Cochabamba
141031660,False,,residential,False,136.704,"LINESTRING (-66.5852573 -18.4208095, -66.5844163 -18.4198742)",Calle Ballivian
141031660,False,,residential,True,93.214,"LINESTRING (-66.5852573 -18.4208095, -66.5858163 -18.4214587)",Calle Ballivian
148318344,False,,residential,True,120.893,"LINESTRING (-66.5852573 -18.4208095, -66.5862773 -18.420314)",Calle Cochabamba
148318344,False,,residential,False,71.006,"LINESTRING (-66.5852573 -18.4208095, -66.5850158 -18.4210712, -66.5847918 -18.4212696)",Calle Cochabamba
141032040,False,,residential,False,90.207,"LINESTRING (-66.5847918 -18.4212696, -66.5853659 -18.4218708)",Calle Campero
141032040,False,,residential,True,126.226,"LINESTRING (-66.5847918 -18.4212696, -66.5840216 -18.4204009)",Calle Campero
148318344,False,,residential,False,59.558,"LINESTRING (-66.5847918 -18.4212696, -66.5844003 -18.4216555)",Calle Cochabamba
148318344,False,,residential,True,71.006,"LINESTRING (-66.5847918 -18.4212696, -66.5850158 -18.4210712, -66.5852573 -18.4208095)",Calle Cochabamba
148318360,False,,residential,False,47.336,"LINESTRING (-66.5814549 -18.4214837, -66.5813244 -18.421891)",
148318360,False,,residential,True,69.184,"LINESTRING (-66.5814549 -18.4214837, -66.5816656 -18.4208945)",
600875276,False,,residential,True,83.224,"LINESTRING (-66.5814549 -18.4214837, -66.5807161 -18.4212213)",
141032042,False,,residential,False,82.515,"LINESTRING (-66.5844003 -18.4216555, -66.5849583 -18.4221755)",Calle Oruro
141032042,False,,residential,True,70.06,"LINESTRING (-66.5844003 -18.4216555, -66.5839545 -18.4211885)",Calle Oruro
148318344,False,,residential,False,67.04,"LINESTRING (-66.5844003 -18.4216555, -66.5839579 -18.4220883)",Calle Cochabamba
148318344,False,,residential,True,59.558,"LINESTRING (-66.5844003 -18.4216555, -66.5847918 -18.4212696)",Calle Cochabamba
621837298,False,,residential,True,60.778,"LINESTRING (-66.5807517 -18.4218316, -66.5813244 -18.421891)",Calle Catavi
148318360,False,,residential,True,47.336,"LINESTRING (-66.5813244 -18.421891, -66.5814549 -18.4214837)",
621837298,False,,residential,False,60.778,"LINESTRING (-66.5813244 -18.421891, -66.5807517 -18.4218316)",Calle Catavi
621837298,False,,residential,True,54.448,"LINESTRING (-66.5813244 -18.421891, -66.5818405 -18.4218946)",Calle Catavi
621837298,False,,residential,False,60.35,"LINESTRING (-66.5824125 -18.4218871, -66.5818405 -18.4218946)",Calle Catavi
141031664,False,,residential,False,171.69899999999998,"LINESTRING (-66.5824125 -18.4218871, -66.5828722 -18.4208453, -66.5830613 -18.4204714)",Calle 23 de Marzo
