osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction,lanes
505375023,L 364,Theodor-Heuss-Ring,secondary,True,False,21.769000000000002,"LINESTRING (6.1230129 50.9611594, 6.1230451 50.9611787, 6.1230686 50.9612024, 6.1230819 50.9612291, 6.1230843 50.961257, 6.1230755 50.9612844, 6.1230562 50.9613096, 6.1230274 50.9613309)",,,roundabout,
37053757,,Hartbaumpfad,residential,False,False,19.529,"LINESTRING (6.1157168 50.9679297, 6.1157595 50.9678757, 6.1158129 50.967837, 6.115896 50.9678001)",30,,,
38294468,,Hartbaumpfad,residential,False,False,37.487,"LINESTRING (6.1157168 50.9679297, 6.1156446 50.9679134, 6.1153177 50.9679962, 6.1152223 50.9680257)",30,,,
12995738,,An der Linde,tertiary,False,False,115.611,"LINESTRING (6.1167182 50.9674319, 6.116659 50.96738, 6.1165608 50.9672938, 6.1164767 50.96722, 6.1164039 50.9671561, 6.1163782 50.9671336, 6.1163518 50.9671106, 6.1163391 50.9670996, 6.1163321 50.9670935, 6.116242 50.9670154, 6.116236 50.9670101, 6.1162159 50.9669927, 6.1160715 50.9668674, 6.1160531 50.9668503, 6.1160124 50.9668124, 6.1159762 50.9667788, 6.1158146 50.966626, 6.1157802 50.9665965, 6.1157656 50.9665829)",,,,
12995738,,An der Linde,tertiary,False,True,50.86000000000001,"LINESTRING (6.1167182 50.9674319, 6.1167489 50.9674554, 6.116771 50.9674707, 6.1168592 50.9675444, 6.1169391 50.9676091, 6.116977 50.9676399, 6.1170429 50.9676932, 6.11708 50.9677233, 6.1171652 50.9677923)",,,,
37053757,,Hartbaumpfad,residential,False,True,70.675,"LINESTRING (6.1167182 50.9674319, 6.1165989 50.9674827, 6.1162561 50.9676284, 6.116108 50.967699, 6.1159762 50.9677619, 6.115896 50.9678001)",30,,,
"[745625736, 244060290, 24943830]",,Konrad-Adenauer-Straße,tertiary,False,False,171.37,"LINESTRING (6.1214246 50.9635289, 6.1213014 50.9636035, 6.121258 50.9636423, 6.1211065 50.9637591, 6.1209783 50.9638463, 6.1208166 50.9639535, 6.1206553 50.9640279, 6.1205389 50.9640732, 6.1204441 50.9641062, 6.1202127 50.9642385, 6.1199138 50.9644143, 6.1197693 50.9644811, 6.1195902 50.9645247)",30,,,
505375089,,Synagogenplatz,tertiary,True,False,15.796,"LINESTRING (6.1214246 50.9635289, 6.121387 50.9635132, 6.1213595 50.9634907, 6.1213452 50.9634637, 6.1213454 50.9634353, 6.1213603 50.9634085)",30,,roundabout,
"[812568922, 37343071]",,Synagogenplatz,tertiary,True,False,27.400999999999996,"LINESTRING (6.121569 50.9633839, 6.1215942 50.9634016, 6.1216109 50.963423, 6.1216176 50.9634464, 6.1216135 50.9634713, 6.1215983 50.9634944, 6.1215732 50.9635137, 6.1215404 50.9635278, 6.1215025 50.9635353, 6.1214628 50.9635357, 6.1214246 50.9635289)",30,,roundabout,
24693495,,Haihover Straße,residential,False,False,143.518,"LINESTRING (6.1214185 50.9622547, 6.1214928 50.9621837, 6.1215782 50.9621048, 6.1216242 50.9620638, 6.1218075 50.9618768, 6.1219737 50.9617272, 6.1219974 50.9617059, 6.1220378 50.9616641, 6.12241 50.9614511, 6.12246 50.9614225, 6.122519 50.9613887, 6.1226369 50.96134, 6.1227437 50.9612891)",,,,
55454690,,Konrad-Adenauer-Straße,tertiary,False,True,153.62699999999998,"LINESTRING (6.1151479 50.965962, 6.1152826 50.9659044, 6.1153263 50.9658866, 6.1153936 50.9658606, 6.1154382 50.9658468, 6.1157224 50.9657586, 6.1157438 50.9657516, 6.1157734 50.9657434, 6.115846 50.9657233, 6.1161439 50.9656409, 6.1162756 50.9656044, 6.1163084 50.9655953, 6.1164065 50.9655681, 6.1164898 50.9655451, 6.1165572 50.9655308, 6.1165844 50.965525, 6.1167665 50.9654864, 6.1171479 50.9654055)",30,,,
505375092,,Konrad-Adenauer-Straße,tertiary,True,False,9.181000000000001,"LINESTRING (6.1151479 50.965962, 6.1151608 50.9659883, 6.1151567 50.9660157, 6.1151362 50.96604)",,,roundabout,1
"[434566800, 37344158]",,Sittarder Straße,tertiary,False,False,35.792,"LINESTRING (6.114945 50.9660192, 6.114802 50.9660536, 6.1147025 50.9660717, 6.1144486 50.9660823)",,,,
616170876,,Konrad-Adenauer-Straße,tertiary,True,False,6.075999999999999,"LINESTRING (6.114945 50.9660192, 6.1149397 50.966006, 6.1149386 50.9659923, 6.1149417 50.9659788, 6.1149489 50.9659659)",,,roundabout,1
12995738,,An der Linde,tertiary,False,False,35.599000000000004,"LINESTRING (6.1174915 50.9680378, 6.1174681 50.9680202, 6.1174357 50.9679958, 6.1173603 50.9679391, 6.1172682 50.9678698, 6.1172011 50.9678194, 6.1171652 50.9677923)",,,,
"[38294464, 38294463]",,"['Akazienweg', 'Erlenweg']",residential,False,True,148.851,"LINESTRING (6.1152223 50.9680257, 6.1151462 50.9679677, 6.1150495 50.9678936, 6.1150157 50.9678677, 6.1148809 50.9677643, 6.1148134 50.9677126, 6.1147871 50.9676924, 6.1145169 50.9674852, 6.1141404 50.9677928, 6.1138976 50.9679914)",30,,,
38294468,,Hartbaumpfad,residential,False,True,37.487,"LINESTRING (6.1152223 50.9680257, 6.1153177 50.9679962, 6.1156446 50.9679134, 6.1157168 50.9679297)",30,,,
38313856,,Ulmenweg,residential,False,False,129.75799999999998,"LINESTRING (6.114757 50.9672269, 6.1148387 50.9671492, 6.1149239 50.9670871, 6.1149753 50.9670723, 6.1149933 50.967073, 6.1150311 50.9670743, 6.1150841 50.9670825, 6.1151273 50.9670925, 6.1151708 50.9671264, 6.1152417 50.9671881, 6.1152525 50.9671975, 6.1153342 50.967274, 6.1153653 50.9673031, 6.1154425 50.9673754, 6.115608 50.9675304, 6.115896 50.9678001)",30,,,
"[38294464, 38294463]",,"['Akazienweg', 'Erlenweg']",residential,False,False,148.851,"LINESTRING (6.1138976 50.9679914, 6.1141404 50.9677928, 6.1145169 50.9674852, 6.1147871 50.9676924, 6.1148134 50.9677126, 6.1148809 50.9677643, 6.1150157 50.9678677, 6.1150495 50.9678936, 6.1151462 50.9679677, 6.1152223 50.9680257)",30,,,
38294473,L 364,Theodor-Heuss-Ring,secondary,False,False,114.12099999999998,"LINESTRING (6.1216145 50.9604569, 6.1220367 50.9607252, 6.1220573 50.9607383, 6.122347 50.9609224, 6.1224983 50.9610185, 6.1225808 50.961071, 6.1226787 50.9611253, 6.1227815 50.9611715)",,,,
"[38294472, 38294473, 24043674, 93515132]",L 364,Theodor-Heuss-Ring,secondary,False,True,621.216,"LINESTRING (6.1216145 50.9604569, 6.1212388 50.9602181, 6.1207518 50.9599105, 6.1205606 50.9597871, 6.1203947 50.9596817, 6.1203198 50.9596302, 6.1202586 50.9595881, 6.1201707 50.9595277, 6.1201485 50.9595137, 6.1200941 50.9594899, 6.1198132 50.9593328, 6.1196319 50.959246, 6.119452 50.9591769, 6.1190832 50.959063, 6.1188131 50.9589873, 6.1184398 50.958917, 6.1181394 50.9588737, 6.1178234 50.9588572, 6.1175564 50.9588546, 6.117278 50.9588638, 6.1170496 50.9588848, 6.1168504 50.9589032, 6.1166471 50.95894, 6.1163248 50.9589998, 6.1161006 50.9590602, 6.1158774 50.9591239, 6.1157387 50.9591699, 6.1154738 50.9592816, 6.1149275 50.9595253, 6.1148348 50.9595703, 6.1147 50.9596358, 6.1146539 50.9596582, 6.1144066 50.9597784, 6.114287 50.9598366, 6.1141256 50.959915)",50,yes,,
39534658,,In der Au,residential,False,False,74.07100000000001,"LINESTRING (6.1216145 50.9604569, 6.1212909 50.9606758, 6.1212454 50.9607033, 6.1211606 50.9607546, 6.1211391 50.9607675, 6.1210097 50.9608457, 6.1208704 50.9609299)",,,,
39534658,,In der Au,residential,False,False,71.112,"LINESTRING (6.1208704 50.9609299, 6.1208379 50.9609571, 6.1207433 50.9610164, 6.1206598 50.9610688, 6.1205506 50.9611373, 6.1204462 50.9612027, 6.1204205 50.9612189, 6.1203382 50.9612705, 6.1202962 50.9612934, 6.1201444 50.961376)",,,,
